FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市深坑區賴仲里11鄰深南路1號,65,6501800,6501800-008,11鄰,深南路,,,,,,1號,121.62201004109,25.005199963042
新北市深坑區賴仲里11鄰深南路88巷1號,65,6501800,6501800-008,11鄰,深南路,,88巷,,,,1號,121.62149903362,25.010746022397
新北市深坑區賴仲里11鄰深南路88巷1之1號,65,6501800,6501800-008,11鄰,深南路,,88巷,,,,1之1號,121.62147403867,25.011202990097
新北市深坑區賴仲里11鄰深南路88巷3號,65,6501800,6501800-008,11鄰,深南路,,88巷,,,,3號,121.62149637886,25.010803189924
新北市深坑區賴仲里11鄰深南路88巷12號,65,6501800,6501800-008,11鄰,深南路,,88巷,,,,12號,121.62226203688,25.010663014928
新北市深坑區賴仲里11鄰深南路88巷13號,65,6501800,6501800-008,11鄰,深南路,,88巷,,,,13號,121.6218689794,25.010747003708
新北市深坑區賴仲里11鄰深南路88巷14號,65,6501800,6501800-008,11鄰,深南路,,88巷,,,,14號,121.6224079822,25.010663036136
新北市深坑區賴仲里11鄰深南路88巷16號,65,6501800,6501800-008,11鄰,深南路,,88巷,,,,16號,121.62254101305,25.010662027902
新北市深坑區賴仲里11鄰深南路88巷18號,65,6501800,6501800-008,11鄰,深南路,,88巷,,,,18號,121.62245201072,25.010497982062
新北市深坑區賴仲里11鄰深南路21號,65,6501800,6501800-008,11鄰,深南路,,,,,,21號,121.61990173871,25.009913091628
新北市深坑區賴仲里12鄰深南路23號,65,6501800,6501800-008,12鄰,深南路,,,,,,23號,121.62020302271,25.010107039493
新北市深坑區賴仲里11鄰深南路88巷25號,65,6501800,6501800-008,11鄰,深南路,,88巷,,,,25號,121.622527263,25.010776280948
新北市深坑區賴仲里12鄰深南路25號,65,6501800,6501800-008,12鄰,深南路,,,,,,25號,121.62011403228,25.010138015608
新北市深坑區賴仲里11鄰深南路88巷25之4號,65,6501800,6501800-008,11鄰,深南路,,88巷,,,,25之4號,121.62243810513,25.010770081745
新北市深坑區賴仲里12鄰深南路27號,65,6501800,6501800-008,12鄰,深南路,,,,,,27號,121.62007598191,25.010047975235
新北市深坑區賴仲里12鄰深南路29號,65,6501800,6501800-008,12鄰,深南路,,,,,,29號,121.62017102545,25.010014987734
新北市深坑區賴仲里11鄰深南路30號,65,6501800,6501800-008,11鄰,深南路,,,,,,30號,121.62115200025,25.008428036557
新北市深坑區賴仲里13鄰深南路31號,65,6501800,6501800-008,13鄰,深南路,,,,,,31號,121.62016602924,25.009899982459
新北市深坑區賴仲里13鄰深南路33號,65,6501800,6501800-008,13鄰,深南路,,,,,,33號,121.62012897106,25.009826007849
新北市深坑區賴仲里11鄰深南路34號,65,6501800,6501800-008,11鄰,深南路,,,,,,34號,121.62110197812,25.008880955981
新北市深坑區賴仲里13鄰深南路35號,65,6501800,6501800-008,13鄰,深南路,,,,,,35號,121.6202230287,25.009794017511
新北市深坑區賴仲里14鄰深南路37號,65,6501800,6501800-008,14鄰,深南路,,,,,,37號,121.62030700112,25.009770004818
新北市深坑區賴仲里11鄰深南路38號,65,6501800,6501800-008,11鄰,深南路,,,,,,38號,121.62083803285,25.008980021203
