FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市鶯歌區鳳祥里32鄰福德五街1號,65,6500800,6500800-019,32鄰,福德五街,,,,,,1號,121.32971049092,24.968230926417
新北市鶯歌區鳳祥里33鄰福德五街2號,65,6500800,6500800-019,33鄰,福德五街,,,,,,2號,121.32963487419,24.968306037955
新北市鶯歌區鳳祥里32鄰福德五街3號,65,6500800,6500800-019,32鄰,福德五街,,,,,,3號,121.32965032218,24.96818609858
新北市鶯歌區鳳祥里33鄰福德五街4號,65,6500800,6500800-019,33鄰,福德五街,,,,,,4號,121.32956325438,24.968253109941
新北市鶯歌區鳳祥里32鄰福德五街5號,65,6500800,6500800-019,32鄰,福德五街,,,,,,5號,121.32959326336,24.968141254806
新北市鶯歌區鳳祥里33鄰福德五街6號,65,6500800,6500800-019,33鄰,福德五街,,,,,,6號,121.32951028377,24.968211146151
新北市鶯歌區鳳祥里32鄰福德五街7號,65,6500800,6500800-019,32鄰,福德五街,,,,,,7號,121.32953112453,24.968093000517
新北市鶯歌區鳳祥里33鄰福德五街8號,65,6500800,6500800-019,33鄰,福德五街,,,,,,8號,121.32944986587,24.968161985188
新北市鶯歌區鳳祥里32鄰福德五街9號,65,6500800,6500800-019,32鄰,福德五街,,,,,,9號,121.32946907944,24.968046452347
新北市鶯歌區鳳祥里33鄰福德五街10號,65,6500800,6500800-019,33鄰,福德五街,,,,,,10號,121.32939133934,24.96812012393
新北市鶯歌區鳳祥里32鄰福德五街11號,65,6500800,6500800-019,32鄰,福德五街,,,,,,11號,121.32940090376,24.967999926741
新北市鶯歌區鳳祥里33鄰福德五街12號,65,6500800,6500800-019,33鄰,福德五街,,,,,,12號,121.32932193366,24.96806917713
新北市鶯歌區鳳祥里32鄰福德五街13號,65,6500800,6500800-019,32鄰,福德五街,,,,,,13號,121.3293448225,24.967953907025
新北市鶯歌區鳳祥里33鄰福德五街14號,65,6500800,6500800-019,33鄰,福德五街,,,,,,14號,121.32926684901,24.968029204158
新北市鶯歌區鳳祥里32鄰福德五街15號,65,6500800,6500800-019,32鄰,福德五街,,,,,,15號,121.32929416045,24.96791591954
新北市鶯歌區鳳祥里33鄰福德五街16號,65,6500800,6500800-019,33鄰,福德五街,,,,,,16號,121.32919301536,24.967974204342
新北市鶯歌區鳳祥里32鄰福德五街17號,65,6500800,6500800-019,32鄰,福德五街,,,,,,17號,121.32922195766,24.967859643136
新北市鶯歌區鳳祥里33鄰福德五街18號,65,6500800,6500800-019,33鄰,福德五街,,,,,,18號,121.32913677927,24.967933240751
新北市鶯歌區鳳祥里32鄰福德五街19號,65,6500800,6500800-019,32鄰,福德五街,,,,,,19號,121.32916613563,24.967821667015
新北市鶯歌區鳳祥里33鄰福德五街20號,65,6500800,6500800-019,33鄰,福德五街,,,,,,20號,121.32908283374,24.967893274219
新北市鶯歌區鳳祥里32鄰福德五街21號,65,6500800,6500800-019,32鄰,福德五街,,,,,,21號,121.32909901899,24.967771067152
新北市鶯歌區鳳祥里33鄰福德五街22號,65,6500800,6500800-019,33鄰,福德五街,,,,,,22號,121.32901189446,24.967850266559
新北市鶯歌區鳳祥里32鄰福德五街23號,65,6500800,6500800-019,32鄰,福德五街,,,,,,23號,121.32902166913,24.967715894452
新北市鶯歌區鳳祥里33鄰福德五街24號,65,6500800,6500800-019,33鄰,福德五街,,,,,,24號,121.32894065197,24.967786322847
