FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市太平區中平里14鄰中平七街36巷1號,66,6602700,6602700-003,14鄰,中平七街,,36巷,,,,1號,120.71903089635,24.12573596862
臺中市太平區中平里15鄰中平七街1號,66,6602700,6602700-003,15鄰,中平七街,,,,,,1號,120.71884610493,24.126378879937
臺中市太平區中平里16鄰中平七街27巷1號,66,6602700,6602700-003,16鄰,中平七街,,27巷,,,,1號,120.71938105552,24.126090743757
臺中市太平區中平里16鄰中平七街27巷2號,66,6602700,6602700-003,16鄰,中平七街,,27巷,,,,2號,120.71947563012,24.126032768433
臺中市太平區中平里14鄰中平七街36巷5弄2號,66,6602700,6602700-003,14鄰,中平七街,,36巷,5弄,,,2號,120.71898936709,24.125561083861
臺中市太平區中平里14鄰中平七街36巷5弄3號,66,6602700,6602700-003,14鄰,中平七街,,36巷,5弄,,,3號,120.71907710732,24.1256141573
臺中市太平區中平里15鄰中平七街3號,66,6602700,6602700-003,15鄰,中平七街,,,,,,3號,120.71887815133,24.126346072069
臺中市太平區中平里16鄰中平七街27巷3號,66,6602700,6602700-003,16鄰,中平七街,,27巷,,,,3號,120.7194152188,24.126124756905
臺中市太平區中平里16鄰中平七街27巷5號,66,6602700,6602700-003,16鄰,中平七街,,27巷,,,,5號,120.71945262756,24.126159317767
臺中市太平區中平里15鄰中平七街5號,66,6602700,6602700-003,15鄰,中平七街,,,,,,5號,120.71890969713,24.126317236189
臺中市太平區中平里14鄰中平七街36巷5弄5號,66,6602700,6602700-003,14鄰,中平七街,,36巷,5弄,,,5號,120.71911003635,24.125582524818
臺中市太平區中平里14鄰中平七街36巷5弄6號,66,6602700,6602700-003,14鄰,中平七街,,36巷,5弄,,,6號,120.71901717412,24.125532241076
臺中市太平區中平里14鄰中平七街6號,66,6602700,6602700-003,14鄰,中平七街,,,,,,6號,120.71885717798,24.126219080712
臺中市太平區中平里16鄰中平七街27巷6號,66,6602700,6602700-003,16鄰,中平七街,,27巷,,,,6號,120.7195113949,24.126054233694
臺中市太平區中平里16鄰中平七街27巷7號,66,6602700,6602700-003,16鄰,中平七街,,27巷,,,,7號,120.71950107436,24.126185140417
臺中市太平區中平里15鄰中平七街7號,66,6602700,6602700-003,15鄰,中平七街,,,,,,7號,120.71893966897,24.126288307113
臺中市太平區中平里14鄰中平七街36巷5弄7號,66,6602700,6602700-003,14鄰,中平七街,,36巷,5弄,,,7號,120.71914187981,24.125552425323
