FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市大里區大元里12鄰內元路1號,66,6602800,6602800-012,12鄰,內元路,,,,,,1號,120.68738251016,24.097704502969
臺中市大里區大元里12鄰內元路87巷1號,66,6602800,6602800-012,12鄰,內元路,,87巷,,,,1號,120.68852394912,24.097927691458
臺中市大里區大元里1鄰內元路153巷1號,66,6602800,6602800-012,1鄰,內元路,,153巷,,,,1號,120.68951428228,24.098284018751
臺中市大里區大元里19鄰內元路87巷2號,66,6602800,6602800-012,19鄰,內元路,,87巷,,,,2號,120.68865256001,24.097743393065
臺中市大里區大元里12鄰內元路2號,66,6602800,6602800-012,12鄰,內元路,,,,,,2號,120.68735389659,24.097578936167
臺中市大里區大元里12鄰內元路2之3號,66,6602800,6602800-012,12鄰,內元路,,,,,,2之3號,120.68735618739,24.097567202667
臺中市大里區大元里12鄰內元路2之4號,66,6602800,6602800-012,12鄰,內元路,,,,,,2之4號,120.68735618739,24.097567202667
臺中市大里區大元里12鄰內元路2之5號,66,6602800,6602800-012,12鄰,內元路,,,,,,2之5號,120.68735618739,24.097567202667
臺中市大里區大元里12鄰內元路87巷3號,66,6602800,6602800-012,12鄰,內元路,,87巷,,,,3號,120.68852276694,24.097969133872
臺中市大里區大元里12鄰內元路3號,66,6602800,6602800-012,12鄰,內元路,,,,,,3號,120.68742353136,24.097702690685
臺中市大里區大元里1鄰內元路153巷3號,66,6602800,6602800-012,1鄰,內元路,,153巷,,,,3號,120.68946894085,24.098282572244
臺中市大里區大元里12鄰內元路4號,66,6602800,6602800-012,12鄰,內元路,,,,,,4號,120.68740062598,24.097575781157
臺中市大里區大元里12鄰內元路5號,66,6602800,6602800-012,12鄰,內元路,,,,,,5號,120.68746602228,24.097703229031
臺中市大里區大元里12鄰內元路87巷5號,66,6602800,6602800-012,12鄰,內元路,,87巷,,,,5號,120.68852217601,24.098010126022
臺中市大里區大元里1鄰內元路153巷5號,66,6602800,6602800-012,1鄰,內元路,,153巷,,,,5號,120.68941778889,24.098284093612
