FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市中區繼光里14鄰公園路1號,66,6600100,6600100-001,14鄰,公園路,,,,,,1號,120.68547904928,24.141387879314
臺中市中區繼光里25鄰公園路2號,66,6600100,6600100-001,25鄰,公園路,,,,,,2號,120.68558431694,24.141635400209
臺中市中區繼光里12鄰公園路2號,66,6600100,6600100-001,12鄰,公園路,,,,,,2號,120.68558431694,24.141635400209
臺中市中區繼光里12鄰公園路2之1號,66,6600100,6600100-001,12鄰,公園路,,,,,,2之1號,120.68558431694,24.141635400209
臺中市中區繼光里12鄰公園路2之2號,66,6600100,6600100-001,12鄰,公園路,,,,,,2之2號,120.68544952038,24.141633406952
臺中市中區繼光里13鄰公園路2之2之10號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之10號,120.68544952038,24.141633406952
臺中市中區繼光里13鄰公園路2之2之11號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之11號,120.68544952038,24.141633406952
臺中市中區繼光里13鄰公園路2之2之14號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之14號,120.68533419135,24.141597232581
臺中市中區繼光里13鄰公園路2之2之15號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之15號,120.68533419135,24.141597232581
臺中市中區繼光里13鄰公園路2之2之18號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之18號,120.68527559545,24.141658159021
臺中市中區繼光里13鄰公園路2之2之19號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之19號,120.68527559545,24.141658159021
臺中市中區繼光里13鄰公園路2之2之21號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之21號,120.68527559545,24.141658159021
臺中市中區繼光里13鄰公園路2之2之22號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之22號,120.68525401009,24.141673193483
臺中市中區繼光里13鄰公園路2之2之24號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之24號,120.68525401009,24.141673193483
臺中市中區繼光里13鄰公園路2之2之25號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之25號,120.68525401009,24.141673193483
臺中市中區繼光里13鄰公園路2之2之26號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之26號,120.68525401009,24.141673193483
臺中市中區繼光里13鄰公園路2之2之28號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之28號,120.6852284655,24.141697790857
臺中市中區繼光里13鄰公園路2之2之29號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之29號,120.6852284655,24.141697790857
臺中市中區繼光里13鄰公園路2之2之31號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之31號,120.6852284655,24.141697790857
臺中市中區繼光里13鄰公園路2之2之32號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之32號,120.68519671472,24.141725355103
臺中市中區繼光里13鄰公園路2之2之35號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之35號,120.68519671472,24.141725355103
臺中市中區繼光里13鄰公園路2之2之36號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之36號,120.68519671472,24.141725355103
臺中市中區繼光里13鄰公園路2之2之37號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之37號,120.68513045012,24.141783728433
臺中市中區繼光里13鄰公園路2之2之39號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之39號,120.68513045012,24.141783728433
臺中市中區繼光里13鄰公園路2之2之40號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之40號,120.68513045012,24.141783728433
臺中市中區繼光里13鄰公園路2之2之42號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之42號,120.68509810053,24.141814722565
臺中市中區繼光里13鄰公園路2之2之43號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之43號,120.68509810053,24.141814722565
臺中市中區繼光里13鄰公園路2之2之46號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之46號,120.68509810053,24.141814722565
臺中市中區繼光里13鄰公園路2之2之47號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之47號,120.68506181403,24.141846160034
臺中市中區繼光里13鄰公園路2之2之48號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之48號,120.68506181403,24.141846160034
臺中市中區繼光里13鄰公園路2之2之49號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之49號,120.68506181403,24.141846160034
臺中市中區繼光里13鄰公園路2之2之50號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之50號,120.68506181403,24.141846160034
臺中市中區繼光里13鄰公園路2之2之51號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之51號,120.68506181403,24.141846160034
臺中市中區繼光里13鄰公園路2之2之52號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之52號,120.68502720531,24.141875524212
臺中市中區繼光里13鄰公園路2之2之54號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之54號,120.68502720531,24.141875524212
臺中市中區繼光里13鄰公園路2之2之56號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之56號,120.68502720531,24.141875524212
臺中市中區繼光里13鄰公園路2之2之60號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之60號,120.68499387174,24.141906507262
臺中市中區繼光里13鄰公園路2之2之62號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之62號,120.6849581731,24.141938948173
臺中市中區繼光里13鄰公園路2之2之64號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之64號,120.6849581731,24.141938948173
臺中市中區繼光里13鄰公園路2之2之66號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之66號,120.6849581731,24.141938948173
臺中市中區繼光里13鄰公園路2之2之7號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之7號,120.68544952038,24.141633406952
臺中市中區繼光里13鄰公園路2之2之8號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之2之8號,120.68544952038,24.141633406952
臺中市中區繼光里13鄰公園路2之3之10號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之3之10號,120.68544952038,24.141633406952
臺中市中區繼光里13鄰公園路2之3之11號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之3之11號,120.68544952038,24.141633406952
臺中市中區繼光里13鄰公園路2之3之13號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之3之13號,120.68533419135,24.141597232581
臺中市中區繼光里13鄰公園路2之3之14號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之3之14號,120.68533419135,24.141597232581
臺中市中區繼光里13鄰公園路2之3之15號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之3之15號,120.68533419135,24.141597232581
臺中市中區繼光里13鄰公園路2之3之16號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之3之16號,120.68533419135,24.141597232581
臺中市中區繼光里13鄰公園路2之3之18號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之3之18號,120.68527559545,24.141658159021
臺中市中區繼光里13鄰公園路2之3之19號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之3之19號,120.68527559545,24.141658159021
臺中市中區繼光里13鄰公園路2之3之1號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之3之1號,120.68558431694,24.141635400209
臺中市中區繼光里13鄰公園路2之3之20號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之3之20號,120.68527559545,24.141658159021
臺中市中區繼光里13鄰公園路2之3之21號,66,6600100,6600100-001,13鄰,公園路,,,,,,2之3之21號,120.68527559545,24.141658159021
