FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市大里區祥興里29鄰吉善路1號,66,6602800,6602800-005,29鄰,吉善路,,,,,,1號,120.69447664756,24.124026071094
臺中市大里區祥興里29鄰吉善路2號,66,6602800,6602800-005,29鄰,吉善路,,,,,,2號,120.69454705192,24.124083096784
臺中市大里區祥興里29鄰吉善路3號,66,6602800,6602800-005,29鄰,吉善路,,,,,,3號,120.6944869862,24.123981035338
臺中市大里區祥興里29鄰吉善路4號,66,6602800,6602800-005,29鄰,吉善路,,,,,,4號,120.69456052181,24.124045200468
臺中市大里區祥興里29鄰吉善路5號,66,6602800,6602800-005,29鄰,吉善路,,,,,,5號,120.69449888094,24.123943587343
臺中市大里區祥興里29鄰吉善路6號,66,6602800,6602800-005,29鄰,吉善路,,,,,,6號,120.69457212246,24.124007300413
臺中市大里區祥興里29鄰吉善路7號,66,6602800,6602800-005,29鄰,吉善路,,,,,,7號,120.69451558819,24.123909580124
臺中市大里區祥興里29鄰吉善路8號,66,6602800,6602800-005,29鄰,吉善路,,,,,,8號,120.69458529419,24.123970667606
臺中市大里區祥興里29鄰吉善路9號,66,6602800,6602800-005,29鄰,吉善路,,,,,,9號,120.69452453962,24.123868695089
臺中市大里區祥興里29鄰吉善路10號,66,6602800,6602800-005,29鄰,吉善路,,,,,,10號,120.69459905021,24.123936564183
臺中市大里區祥興里29鄰吉善路11號,66,6602800,6602800-005,29鄰,吉善路,,,,,,11號,120.69454026926,24.123832067401
臺中市大里區祥興里29鄰吉善路12號,66,6602800,6602800-005,29鄰,吉善路,,,,,,12號,120.69461164107,24.1238959573
臺中市大里區祥興里29鄰吉善路13號,66,6602800,6602800-005,29鄰,吉善路,,,,,,13號,120.69455718162,24.123794539142
臺中市大里區祥興里29鄰吉善路14號,66,6602800,6602800-005,29鄰,吉善路,,,,,,14號,120.69464081074,24.12379253931
臺中市大里區祥興里29鄰吉善路15號,66,6602800,6602800-005,29鄰,吉善路,,,,,,15號,120.694568079,24.123762777634
臺中市大里區祥興里29鄰吉善路16號,66,6602800,6602800-005,29鄰,吉善路,,,,,,16號,120.69465378631,24.123755635224
臺中市大里區祥興里29鄰吉善路17號,66,6602800,6602800-005,29鄰,吉善路,,,,,,17號,120.69457840151,24.123724513847
臺中市大里區祥興里29鄰吉善路18號,66,6602800,6602800-005,29鄰,吉善路,,,,,,18號,120.69466666371,24.123718640646
臺中市大里區祥興里29鄰吉善路19號,66,6602800,6602800-005,29鄰,吉善路,,,,,,19號,120.69459355113,24.123683550907
臺中市大里區祥興里29鄰吉善路20號,66,6602800,6602800-005,29鄰,吉善路,,,,,,20號,120.69467963949,24.123681646264
臺中市大里區祥興里29鄰吉善路21號,66,6602800,6602800-005,29鄰,吉善路,,,,,,21號,120.69461136216,24.123640426242
臺中市大里區祥興里29鄰吉善路22號,66,6602800,6602800-005,29鄰,吉善路,,,,,,22號,120.69469173175,24.123643837473
臺中市大里區祥興里29鄰吉善路23號,66,6602800,6602800-005,29鄰,吉善路,,,,,,23號,120.69462394914,24.123601444631
臺中市大里區祥興里29鄰吉善路24號,66,6602800,6602800-005,29鄰,吉善路,,,,,,24號,120.69470460913,24.123606842892
臺中市大里區祥興里29鄰吉善路25號,66,6602800,6602800-005,29鄰,吉善路,,,,,,25號,120.69463878986,24.12356625985
