FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市東區新庄里18鄰和平街110巷1號,66,6600200,6600200-001,18鄰,和平街,,110巷,,,,1號,120.6862214714,24.134004746509
臺中市東區新庄里22鄰和平街188巷1號,66,6600200,6600200-001,22鄰,和平街,,188巷,,,,1號,120.6878853536,24.134633202967
臺中市東區新庄里22鄰和平街204巷1號,66,6600200,6600200-001,22鄰,和平街,,204巷,,,,1號,120.68823726259,24.134889722804
臺中市東區新庄里23鄰和平街228巷1號,66,6600200,6600200-001,23鄰,和平街,,228巷,,,,1號,120.68928316848,24.135085262999
臺中市東區新庄里24鄰和平街260巷1號,66,6600200,6600200-001,24鄰,和平街,,260巷,,,,1號,120.68982718452,24.135686196493
臺中市東區新庄里23鄰和平街228巷1之1號,66,6600200,6600200-001,23鄰,和平街,,228巷,,,,1之1號,120.68928316848,24.135085262999
臺中市東區新庄里13鄰和平街38巷2號,66,6600200,6600200-001,13鄰,和平街,,38巷,,,,2號,120.68411144814,24.133221390622
臺中市東區新庄里24鄰和平街260巷2號,66,6600200,6600200-001,24鄰,和平街,,260巷,,,,2號,120.69001287014,24.135799349915
臺中市東區新庄里22鄰和平街204巷2號,66,6600200,6600200-001,22鄰,和平街,,204巷,,,,2號,120.6881230342,24.134848135201
臺中市東區新庄里22鄰和平街188巷3號,66,6600200,6600200-001,22鄰,和平街,,188巷,,,,3號,120.68789852112,24.134680633863
臺中市東區新庄里22鄰和平街204巷3號,66,6600200,6600200-001,22鄰,和平街,,204巷,,,,3號,120.68824737101,24.134855702871
臺中市東區新庄里24鄰和平街260巷3號,66,6600200,6600200-001,24鄰,和平街,,260巷,,,,3號,120.6898268732,24.13557052112
臺中市東區新庄里23鄰和平街228巷3號,66,6600200,6600200-001,23鄰,和平街,,228巷,,,,3號,120.68938186254,24.135081671487
臺中市東區新庄里22鄰和平街188巷4號,66,6600200,6600200-001,22鄰,和平街,,188巷,,,,4號,120.68800138056,24.134703877893
臺中市東區新庄里22鄰和平街188巷4之1號,66,6600200,6600200-001,22鄰,和平街,,188巷,,,,4之1號,120.68798714393,24.134732101574
臺中市東區新庄里22鄰和平街188巷5號,66,6600200,6600200-001,22鄰,和平街,,188巷,,,,5號,120.68797760806,24.134769373219
臺中市東區新庄里22鄰和平街204巷5號,66,6600200,6600200-001,22鄰,和平街,,204巷,,,,5號,120.68825505642,24.134814644142
臺中市東區新庄里23鄰和平街228巷5號,66,6600200,6600200-001,23鄰,和平街,,228巷,,,,5號,120.68941090061,24.135112972039
臺中市東區新庄里24鄰和平街260巷5號,66,6600200,6600200-001,24鄰,和平街,,260巷,,,,5號,120.69013878131,24.13568889688
臺中市東區新庄里13鄰和平街38巷6號,66,6600200,6600200-001,13鄰,和平街,,38巷,,,,6號,120.68414613689,24.13313853702
臺中市東區新庄里24鄰和平街260巷6號,66,6600200,6600200-001,24鄰,和平街,,260巷,,,,6號,120.69006177334,24.135716469653
臺中市東區新庄里23鄰和平街228巷6號,66,6600200,6600200-001,23鄰,和平街,,228巷,,,,6號,120.68948267174,24.134687023919
臺中市東區新庄里22鄰和平街204巷6號,66,6600200,6600200-001,22鄰,和平街,,204巷,,,,6號,120.68811807139,24.134744287774
臺中市東區新庄里22鄰和平街188巷6號,66,6600200,6600200-001,22鄰,和平街,,188巷,,,,6號,120.68796344722,24.134806906292
臺中市東區新庄里18鄰和平街110巷7號,66,6600200,6600200-001,18鄰,和平街,,110巷,,,,7號,120.68633315595,24.133870493139
臺中市東區新庄里22鄰和平街204巷7號,66,6600200,6600200-001,22鄰,和平街,,204巷,,,,7號,120.68823380071,24.134775494716
臺中市東區新庄里23鄰和平街228巷7號,66,6600200,6600200-001,23鄰,和平街,,228巷,,,,7號,120.68946659925,24.135113004063
臺中市東區新庄里24鄰和平街260巷7號,66,6600200,6600200-001,24鄰,和平街,,260巷,,,,7號,120.69001626764,24.135696061282
臺中市東區新庄里21鄰和平街158巷7號,66,6600200,6600200-001,21鄰,和平街,,158巷,,,,7號,120.68728708916,24.134372214112
臺中市東區新庄里18鄰和平街110巷8號,66,6600200,6600200-001,18鄰,和平街,,110巷,,,,8號,120.68613927179,24.133773029445
臺中市東區新庄里13鄰和平街38巷8號,66,6600200,6600200-001,13鄰,和平街,,38巷,,,,8號,120.68417484981,24.133105224008
臺中市東區新庄里22鄰和平街204巷8號,66,6600200,6600200-001,22鄰,和平街,,204巷,,,,8號,120.68812330062,24.134697716143
臺中市東區新庄里18鄰和平街110巷8之1號,66,6600200,6600200-001,18鄰,和平街,,110巷,,,,8之1號,120.68613927179,24.133773029445
臺中市東區新庄里18鄰和平街110巷8之2號,66,6600200,6600200-001,18鄰,和平街,,110巷,,,,8之2號,120.68613927179,24.133773029445
臺中市東區新庄里18鄰和平街110巷8之3號,66,6600200,6600200-001,18鄰,和平街,,110巷,,,,8之3號,120.68613927179,24.133773029445
臺中市東區新庄里18鄰和平街110巷8之4號,66,6600200,6600200-001,18鄰,和平街,,110巷,,,,8之4號,120.68613927179,24.133773029445
臺中市東區新庄里18鄰和平街110巷9號,66,6600200,6600200-001,18鄰,和平街,,110巷,,,,9號,120.68635650783,24.133816365128
臺中市東區新庄里22鄰和平街204巷9號,66,6600200,6600200-001,22鄰,和平街,,204巷,,,,9號,120.68824085794,24.134745983217
臺中市東區新庄里21鄰和平街158巷9號,66,6600200,6600200-001,21鄰,和平街,,158巷,,,,9號,120.68724504996,24.134221419469
臺中市東區新庄里22鄰和平街204巷10號,66,6600200,6600200-001,22鄰,和平街,,204巷,,,,10號,120.68813163015,24.13467100634
臺中市東區新庄里21鄰和平街158巷10號,66,6600200,6600200-001,21鄰,和平街,,158巷,,,,10號,120.68708043205,24.13406469421
臺中市東區新庄里13鄰和平街38巷10號,66,6600200,6600200-001,13鄰,和平街,,38巷,,,,10號,120.68418399497,24.133007094112
臺中市東區新庄里21鄰和平街158巷10之1號,66,6600200,6600200-001,21鄰,和平街,,158巷,,,,10之1號,120.68708043205,24.13406469421
臺中市東區新庄里21鄰和平街158巷10之2號,66,6600200,6600200-001,21鄰,和平街,,158巷,,,,10之2號,120.68708043205,24.13406469421
臺中市東區新庄里21鄰和平街158巷10之3號,66,6600200,6600200-001,21鄰,和平街,,158巷,,,,10之3號,120.68708043205,24.13406469421
臺中市東區新庄里21鄰和平街158巷11號,66,6600200,6600200-001,21鄰,和平街,,158巷,,,,11號,120.68726363557,24.134185078366
臺中市東區新庄里22鄰和平街204巷11號,66,6600200,6600200-001,22鄰,和平街,,204巷,,,,11號,120.68824250419,24.134716280084
臺中市東區新庄里24鄰和平街228巷11號,66,6600200,6600200-001,24鄰,和平街,,228巷,,,,11號,120.68957735219,24.135367757048
臺中市東區新庄里18鄰和平街110巷11號,66,6600200,6600200-001,18鄰,和平街,,110巷,,,,11號,120.68637883177,24.133780293662
臺中市東區新庄里13鄰和平街38巷12號,66,6600200,6600200-001,13鄰,和平街,,38巷,,,,12號,120.68414900471,24.132992403256
臺中市東區新庄里23鄰和平街228巷12號,66,6600200,6600200-001,23鄰,和平街,,228巷,,,,12號,120.68892940132,24.135233806535
臺中市東區新庄里22鄰和平街204巷12號,66,6600200,6600200-001,22鄰,和平街,,204巷,,,,12號,120.68814005784,24.134644387031
臺中市東區新庄里21鄰和平街158巷12號,66,6600200,6600200-001,21鄰,和平街,,158巷,,,,12號,120.68712492939,24.133973408574
臺中市東區新庄里21鄰和平街158巷12之1號,66,6600200,6600200-001,21鄰,和平街,,158巷,,,,12之1號,120.68712492939,24.133973408574
臺中市東區新庄里21鄰和平街158巷12之2號,66,6600200,6600200-001,21鄰,和平街,,158巷,,,,12之2號,120.68712492939,24.133973408574
