FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市太平區豐年里12鄰大源三二街2號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,2號,120.72342862074,24.140013620493
臺中市太平區豐年里12鄰大源三二街4號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,4號,120.72326777504,24.140000236472
臺中市太平區豐年里12鄰大源三二街6號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,6號,120.72315389997,24.140015560482
臺中市太平區豐年里12鄰大源三二街8號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,8號,120.72301473475,24.140032192926
臺中市太平區豐年里12鄰大源三二街10號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,10號,120.72285913636,24.140049427465
臺中市太平區豐年里12鄰大源三二街12號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,12號,120.72279426991,24.140060867255
臺中市太平區豐年里12鄰大源三二街14號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,14號,120.72273107205,24.140074206209
臺中市太平區豐年里12鄰大源三二街16號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,16號,120.72266531749,24.140086818146
臺中市太平區豐年里12鄰大源三二街18號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,18號,120.72260507142,24.14010016241
臺中市太平區豐年里12鄰大源三二街20號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,20號,120.72253636405,24.140113220392
臺中市太平區豐年里12鄰大源三二街22號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,22號,120.7224724805,24.140125113298
臺中市太平區豐年里12鄰大源三二街24號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,24號,120.72240721533,24.140138899826
臺中市太平區豐年里12鄰大源三二街26號,66,6602700,6602700-034,12鄰,大源三二街,,,,,,26號,120.72236502201,24.140176204576
