FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市沙鹿區斗抵里17鄰天仁一街26號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,26號,120.55624594568,24.223025657517
臺中市沙鹿區斗抵里17鄰天仁一街28號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,28號,120.55625389108,24.223062609829
臺中市沙鹿區斗抵里17鄰天仁一街30號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,30號,120.55626115293,24.223097934904
臺中市沙鹿區斗抵里17鄰天仁一街32號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,32號,120.55638212743,24.223134674799
臺中市沙鹿區斗抵里17鄰天仁一街35號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,35號,120.55599068504,24.223100035814
臺中市沙鹿區斗抵里17鄰天仁一街36號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,36號,120.55640558755,24.22321203253
臺中市沙鹿區斗抵里17鄰天仁一街37號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,37號,120.55599725763,24.223135358891
臺中市沙鹿區斗抵里17鄰天仁一街39號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,39號,120.55601110531,24.223173773085
臺中市沙鹿區斗抵里17鄰天仁一街40號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,40號,120.55638381884,24.223328535229
臺中市沙鹿區斗抵里17鄰天仁一街42號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,42號,120.55637192705,24.223407595794
臺中市沙鹿區斗抵里17鄰天仁一街45號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,45號,120.55588338874,24.223377729928
臺中市沙鹿區斗抵里17鄰天仁一街46號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,46號,120.55638164754,24.223443740647
臺中市沙鹿區斗抵里17鄰天仁一街47號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,47號,120.55612624143,24.223446246834
臺中市沙鹿區斗抵里17鄰天仁一街47之1號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,47之1號,120.55613596184,24.223482391702
臺中市沙鹿區斗抵里17鄰天仁一街48號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,48號,120.55639136834,24.22347979521
臺中市沙鹿區斗抵里17鄰天仁一街50號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,50號,120.55641093444,24.223515968744
臺中市沙鹿區斗抵里17鄰天仁一街52號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,52號,120.55642065495,24.223552113595
臺中市沙鹿區斗抵里17鄰天仁一街55號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,55號,120.55614568227,24.223518536569
臺中市沙鹿區斗抵里17鄰天仁一街57號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,57號,120.55615543399,24.223545652394
臺中市沙鹿區斗抵里16鄰天仁一街58號,66,6601300,6601300-006,16鄰,天仁一街,,,,,,58號,120.55643988024,24.223658261916
臺中市沙鹿區斗抵里17鄰天仁一街59號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,59號,120.55617500004,24.223581825958
臺中市沙鹿區斗抵里16鄰天仁一街60號,66,6601300,6601300-006,16鄰,天仁一街,,,,,,60號,120.55644960045,24.223694497055
臺中市沙鹿區斗抵里17鄰天仁一街61號,66,6601300,6601300-006,17鄰,天仁一街,,,,,,61號,120.55618472048,24.223617970822
臺中市沙鹿區斗抵里16鄰天仁一街62號,66,6601300,6601300-006,16鄰,天仁一街,,,,,,62號,120.55645932098,24.223730641903
