FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市北區明德里26鄰太原八街1號,66,6600500,6600500-022,26鄰,太原八街,,,,,,1號,120.66953919324,24.166412399391
臺中市北區明德里27鄰太原八街2號,66,6600500,6600500-022,27鄰,太原八街,,,,,,2號,120.66956771838,24.166158151472
臺中市北區明德里26鄰太原八街5號,66,6600500,6600500-022,26鄰,太原八街,,,,,,5號,120.66966752937,24.166410781212
臺中市北區明德里27鄰太原八街6號,66,6600500,6600500-022,27鄰,太原八街,,,,,,6號,120.66963221322,24.166137388378
臺中市北區明德里27鄰太原八街8號,66,6600500,6600500-022,27鄰,太原八街,,,,,,8號,120.66967334999,24.166137477464
臺中市北區明德里27鄰太原八街10號,66,6600500,6600500-022,27鄰,太原八街,,,,,,10號,120.66971389628,24.166137565261
臺中市北區明德里27鄰太原八街12號,66,6600500,6600500-022,27鄰,太原八街,,,,,,12號,120.66975188382,24.166137647507
臺中市北區明德里27鄰太原八街14號,66,6600500,6600500-022,27鄰,太原八街,,,,,,14號,120.66979430275,24.166136655823
臺中市北區明德里27鄰太原八街16號,66,6600500,6600500-022,27鄰,太原八街,,,,,,16號,120.66989741423,24.16620429161
臺中市北區明德里26鄰太原八街17號,66,6600500,6600500-022,26鄰,太原八街,,,,,,17號,120.66989151577,24.166412358641
臺中市北區明德里27鄰太原八街18號,66,6600500,6600500-022,27鄰,太原八街,,,,,,18號,120.67004666977,24.166196253413
臺中市北區明德里26鄰太原八街19號,66,6600500,6600500-022,26鄰,太原八街,,,,,,19號,120.66998242389,24.16642266814
臺中市北區明德里26鄰太原八街21號,66,6600500,6600500-022,26鄰,太原八街,,,,,,21號,120.67007072035,24.166415265516
臺中市北區明德里27鄰太原八街22號,66,6600500,6600500-022,27鄰,太原八街,,,,,,22號,120.66996691973,24.166137029387
臺中市北區明德里26鄰太原八街23號,66,6600500,6600500-022,26鄰,太原八街,,,,,,23號,120.67012855293,24.166428853249
臺中市北區明德里26鄰太原八街25號,66,6600500,6600500-022,26鄰,太原八街,,,,,,25號,120.67015427134,24.166416267869
臺中市北區明德里26鄰太原八街27號,66,6600500,6600500-022,26鄰,太原八街,,,,,,27號,120.67018093494,24.166418844692
臺中市北區明新里1鄰太原八街29號,66,6600500,6600500-033,1鄰,太原八街,,,,,,29號,120.67042048889,24.166375028686
臺中市北區明新里2鄰太原八街30號,66,6600500,6600500-033,2鄰,太原八街,,,,,,30號,120.67060911302,24.166158733338
臺中市北區明新里2鄰太原八街30之1號,66,6600500,6600500-033,2鄰,太原八街,,,,,,30之1號,120.67060911302,24.166158733338
臺中市北區明新里2鄰太原八街30之2號,66,6600500,6600500-033,2鄰,太原八街,,,,,,30之2號,120.67060911302,24.166158733338
臺中市北區明新里2鄰太原八街30之3號,66,6600500,6600500-033,2鄰,太原八街,,,,,,30之3號,120.67060911302,24.166158733338
臺中市北區明新里2鄰太原八街30之4號,66,6600500,6600500-033,2鄰,太原八街,,,,,,30之4號,120.67060911302,24.166158733338
臺中市北區明新里2鄰太原八街32號,66,6600500,6600500-033,2鄰,太原八街,,,,,,32號,120.67067127248,24.166173594309
臺中市北區明新里1鄰太原八街33號,66,6600500,6600500-033,1鄰,太原八街,,,,,,33號,120.67066129335,24.166342411311
臺中市北區明新里2鄰太原八街34號,66,6600500,6600500-033,2鄰,太原八街,,,,,,34號,120.6707211653,24.166136402051
臺中市北區明新里1鄰太原八街35號,66,6600500,6600500-033,1鄰,太原八街,,,,,,35號,120.6707846738,24.166431173635
臺中市北區明新里2鄰太原八街36號,66,6600500,6600500-033,2鄰,太原八街,,,,,,36號,120.67075911464,24.166189765759
臺中市北區明新里1鄰太原八街37號,66,6600500,6600500-033,1鄰,太原八街,,,,,,37號,120.67083091938,24.166434704563
臺中市北區明新里2鄰太原八街38號,66,6600500,6600500-033,2鄰,太原八街,,,,,,38號,120.67079887043,24.166191106631
臺中市北區明新里1鄰太原八街39號,66,6600500,6600500-033,1鄰,太原八街,,,,,,39號,120.67087816056,24.166356974086
臺中市北區明新里2鄰太原八街40號,66,6600500,6600500-033,2鄰,太原八街,,,,,,40號,120.67084523424,24.166186872627
臺中市北區明新里1鄰太原八街41號,66,6600500,6600500-033,1鄰,太原八街,,,,,,41號,120.67092698278,24.166391923417
臺中市北區明新里2鄰太原八街42號,66,6600500,6600500-033,2鄰,太原八街,,,,,,42號,120.67088312964,24.166184516486
臺中市北區明新里1鄰太原八街43號,66,6600500,6600500-033,1鄰,太原八街,,,,,,43號,120.67097000692,24.166423618713
臺中市北區明新里2鄰太原八街44號,66,6600500,6600500-033,2鄰,太原八街,,,,,,44號,120.67092406196,24.166187584457
臺中市北區明新里1鄰太原八街45號,66,6600500,6600500-033,1鄰,太原八街,,,,,,45號,120.67101201181,24.166392206146
臺中市北區明新里2鄰太原八街46號,66,6600500,6600500-033,2鄰,太原八街,,,,,,46號,120.67096578924,24.166187674469
臺中市北區明新里2鄰太原八街48號,66,6600500,6600500-033,2鄰,太原八街,,,,,,48號,120.67100917209,24.166156165551
臺中市北區明新里1鄰太原八街49號,66,6600500,6600500-033,1鄰,太原八街,,,,,,49號,120.67109782867,24.166392291883
臺中市北區明新里2鄰太原八街50號,66,6600500,6600500-033,2鄰,太原八街,,,,,,50號,120.67105109618,24.166156255964
臺中市北區明新里1鄰太原八街51號,66,6600500,6600500-033,1鄰,太原八街,,,,,,51號,120.67114183939,24.166384630617
臺中市北區明新里2鄰太原八街52號,66,6600500,6600500-033,2鄰,太原八街,,,,,,52號,120.67109350933,24.166157521227
臺中市北區明新里1鄰太原八街53號,66,6600500,6600500-033,1鄰,太原八街,,,,,,53號,120.67118079681,24.166390312754
臺中市北區明新里2鄰太原八街54號,66,6600500,6600500-033,2鄰,太原八街,,,,,,54號,120.67113533801,24.166156437604
臺中市北區明新里1鄰太原八街55號,66,6600500,6600500-033,1鄰,太原八街,,,,,,55號,120.67122380352,24.166390405453
臺中市北區明新里2鄰太原八街56號,66,6600500,6600500-033,2鄰,太原八街,,,,,,56號,120.67118070657,24.166156535407
臺中市北區明新里1鄰太原八街57號,66,6600500,6600500-033,1鄰,太原八街,,,,,,57號,120.67126623449,24.166423182902
臺中市北區明新里2鄰太原八街58號,66,6600500,6600500-033,2鄰,太原八街,,,,,,58號,120.6712448055,24.166182677899
臺中市北區明新里1鄰太原八街59號,66,6600500,6600500-033,1鄰,太原八街,,,,,,59號,120.67131032076,24.166424451711
臺中市北區明新里1鄰太原八街61號,66,6600500,6600500-033,1鄰,太原八街,,,,,,61號,120.67135303525,24.166423369938
臺中市北區明新里3鄰太原八街62號,66,6600500,6600500-033,3鄰,太原八街,,,,,,62號,120.67140606738,24.166159278348
臺中市北區明新里3鄰太原八街62之1號,66,6600500,6600500-033,3鄰,太原八街,,,,,,62之1號,120.67141155182,24.166154342115
臺中市北區明新里1鄰太原八街63號,66,6600500,6600500-033,1鄰,太原八街,,,,,,63號,120.6713937667,24.166389597879
臺中市北區明新里3鄰太原八街64號,66,6600500,6600500-033,3鄰,太原八街,,,,,,64號,120.67146575508,24.166178639283
臺中市北區明新里1鄰太原八街65號,66,6600500,6600500-033,1鄰,太原八街,,,,,,65號,120.67143836584,24.166421197115
臺中市北區明新里3鄰太原八街66號,66,6600500,6600500-033,3鄰,太原八街,,,,,,66號,120.67153690795,24.16617879251
臺中市北區明新里1鄰太原八街67號,66,6600500,6600500-033,1鄰,太原八街,,,,,,67號,120.67147634816,24.166423355656
臺中市北區明新里3鄰太原八街68號,66,6600500,6600500-033,3鄰,太原八街,,,,,,68號,120.67160156554,24.166178931721
臺中市北區明新里1鄰太原八街69號,66,6600500,6600500-033,1鄰,太原八街,,,,,,69號,120.67152067668,24.166422259254
臺中市北區明新里1鄰太原八街69之1號,66,6600500,6600500-033,1鄰,太原八街,,,,,,69之1號,120.67157802533,24.166421181842
臺中市北區明新里3鄰太原八街70號,66,6600500,6600500-033,3鄰,太原八街,,,,,,70號,120.67164209428,24.166185890252
臺中市北區明新里1鄰太原八街71號,66,6600500,6600500-033,1鄰,太原八街,,,,,,71號,120.67164572434,24.166421201174
臺中市北區明新里3鄰太原八街72號,66,6600500,6600500-033,3鄰,太原八街,,,,,,72號,120.67167674318,24.166183075462
臺中市北區明新里1鄰太原八街73號,66,6600500,6600500-033,1鄰,太原八街,,,,,,73號,120.67169010635,24.166422280894
臺中市北區明新里1鄰太原八街73之1號,66,6600500,6600500-033,1鄰,太原八街,,,,,,73之1號,120.67173439153,24.166422737373
臺中市北區明新里1鄰太原八街73之2號,66,6600500,6600500-033,1鄰,太原八街,,,,,,73之2號,120.67173439153,24.166422737373
臺中市北區明新里1鄰太原八街73之3號,66,6600500,6600500-033,1鄰,太原八街,,,,,,73之3號,120.67173439153,24.166422737373
臺中市北區明新里1鄰太原八街73之4號,66,6600500,6600500-033,1鄰,太原八街,,,,,,73之4號,120.67173439153,24.166422737373
臺中市北區明新里3鄰太原八街74號,66,6600500,6600500-033,3鄰,太原八街,,,,,,74號,120.67171138009,24.166184946836
臺中市北區明新里1鄰太原八街75號,66,6600500,6600500-033,1鄰,太原八街,,,,,,75號,120.67180769448,24.166467328202
臺中市北區明新里1鄰太原八街75之1號,66,6600500,6600500-033,1鄰,太原八街,,,,,,75之1號,120.67180769448,24.166467328202
臺中市北區明新里1鄰太原八街75之2號,66,6600500,6600500-033,1鄰,太原八街,,,,,,75之2號,120.67180769448,24.166467328202
臺中市北區明新里1鄰太原八街75之3號,66,6600500,6600500-033,1鄰,太原八街,,,,,,75之3號,120.67180769448,24.166467328202
臺中市北區明新里1鄰太原八街75之4號,66,6600500,6600500-033,1鄰,太原八街,,,,,,75之4號,120.67180769448,24.166467328202
臺中市北區明新里3鄰太原八街76號,66,6600500,6600500-033,3鄰,太原八街,,,,,,76號,120.67174907242,24.16618502795
臺中市北區明新里1鄰太原八街77號,66,6600500,6600500-033,1鄰,太原八街,,,,,,77號,120.6718033259,24.166366822887
臺中市北區明新里1鄰太原八街77之1號,66,6600500,6600500-033,1鄰,太原八街,,,,,,77之1號,120.6718033259,24.166366822887
臺中市北區明新里1鄰太原八街77之2號,66,6600500,6600500-033,1鄰,太原八街,,,,,,77之2號,120.6718033259,24.166366822887
臺中市北區明新里1鄰太原八街77之3號,66,6600500,6600500-033,1鄰,太原八街,,,,,,77之3號,120.6718033259,24.166366822887
臺中市北區明新里1鄰太原八街77之4號,66,6600500,6600500-033,1鄰,太原八街,,,,,,77之4號,120.6718033259,24.166366822887
臺中市北區明新里3鄰太原八街78號,66,6600500,6600500-033,3鄰,太原八街,,,,,,78號,120.67178528231,24.166187543771
臺中市北區明新里1鄰太原八街79號,66,6600500,6600500-033,1鄰,太原八街,,,,,,79號,120.67189555116,24.16636240732
臺中市北區明新里1鄰太原八街79之1號,66,6600500,6600500-033,1鄰,太原八街,,,,,,79之1號,120.67189610619,24.166449459829
臺中市北區明新里1鄰太原八街79之2號,66,6600500,6600500-033,1鄰,太原八街,,,,,,79之2號,120.67189610619,24.166449459829
臺中市北區明新里1鄰太原八街79之3號,66,6600500,6600500-033,1鄰,太原八街,,,,,,79之3號,120.67189610619,24.166449459829
臺中市北區明新里1鄰太原八街79之4號,66,6600500,6600500-033,1鄰,太原八街,,,,,,79之4號,120.67189610619,24.166449459829
臺中市北區明新里3鄰太原八街80號,66,6600500,6600500-033,3鄰,太原八街,,,,,,80號,120.67182111194,24.166184821781
臺中市北區明新里1鄰太原八街81號,66,6600500,6600500-033,1鄰,太原八街,,,,,,81號,120.67199905418,24.16636203398
臺中市北區明新里3鄰太原八街82號,66,6600500,6600500-033,3鄰,太原八街,,,,,,82號,120.67186206575,24.166179492314
臺中市北區明新里9鄰太原八街82之1號,66,6600500,6600500-033,9鄰,太原八街,,,,,,82之1號,120.6718651879,24.166178541926
臺中市北區明新里9鄰太原八街82之3號,66,6600500,6600500-033,9鄰,太原八街,,,,,,82之3號,120.67221371573,24.16616896175
臺中市北區明新里9鄰太原八街84號,66,6600500,6600500-033,9鄰,太原八街,,,,,,84號,120.67229106865,24.166169127948
臺中市北區明新里8鄰太原八街85號,66,6600500,6600500-033,8鄰,太原八街,,,,,,85號,120.67241800608,24.16640706036
臺中市北區明新里9鄰太原八街86號,66,6600500,6600500-033,9鄰,太原八街,,,,,,86號,120.67233348481,24.166169219065
臺中市北區明新里8鄰太原八街87號,66,6600500,6600500-033,8鄰,太原八街,,,,,,87號,120.67246798361,24.166413659733
臺中市北區明新里9鄰太原八街88號,66,6600500,6600500-033,9鄰,太原八街,,,,,,88號,120.67237589522,24.166171567479
臺中市北區明新里8鄰太原八街89號,66,6600500,6600500-033,8鄰,太原八街,,,,,,89號,120.67250593432,24.166389633029
臺中市北區明新里9鄰太原八街90號,66,6600500,6600500-033,9鄰,太原八街,,,,,,90號,120.67241811456,24.166171658151
臺中市北區明新里8鄰太原八街91號,66,6600500,6600500-033,8鄰,太原八街,,,,,,91號,120.67254521237,24.166385383295
臺中市北區明新里2鄰太原八街92號,66,6600500,6600500-033,2鄰,太原八街,,,,,,92號,120.67246013868,24.166171116341
臺中市北區明新里8鄰太原八街93號,66,6600500,6600500-033,8鄰,太原八街,,,,,,93號,120.67258863367,24.166377268882
臺中市北區明新里9鄰太原八街94號,66,6600500,6600500-033,9鄰,太原八街,,,,,,94號,120.67258005793,24.166228267301
臺中市北區明新里10鄰太原八街95號,66,6600500,6600500-033,10鄰,太原八街,,,,,,95號,120.6728418172,24.166236855956
臺中市北區明新里10鄰太原八街95之1號,66,6600500,6600500-033,10鄰,太原八街,,,,,,95之1號,120.6728418172,24.166236855956
臺中市北區明新里10鄰太原八街95之2號,66,6600500,6600500-033,10鄰,太原八街,,,,,,95之2號,120.6728418172,24.166236855956
臺中市北區明新里9鄰太原八街96號,66,6600500,6600500-033,9鄰,太原八街,,,,,,96號,120.67257146573,24.16620151315
臺中市北區明新里10鄰太原八街97號,66,6600500,6600500-033,10鄰,太原八街,,,,,,97號,120.67284162037,24.166236855534
臺中市北區明新里9鄰太原八街98號,66,6600500,6600500-033,9鄰,太原八街,,,,,,98號,120.67257154422,24.166170732491
臺中市北區明新里10鄰太原八街99號,66,6600500,6600500-033,10鄰,太原八街,,,,,,99號,120.6728418172,24.166236855956
臺中市北區明新里10鄰太原八街99之1號,66,6600500,6600500-033,10鄰,太原八街,,,,,,99之1號,120.6728418172,24.166236855956
臺中市北區明新里10鄰太原八街99之2號,66,6600500,6600500-033,10鄰,太原八街,,,,,,99之2號,120.6728418172,24.166236855956
臺中市北區明新里9鄰太原八街100號,66,6600500,6600500-033,9鄰,太原八街,,,,,,100號,120.67257339394,24.166140036898
臺中市北區明新里10鄰太原八街101號,66,6600500,6600500-033,10鄰,太原八街,,,,,,101號,120.67280858462,24.166143448974
臺中市北區明新里10鄰太原八街101之1號,66,6600500,6600500-033,10鄰,太原八街,,,,,,101之1號,120.67283939284,24.166060499818
臺中市北區明新里9鄰太原八街102號,66,6600500,6600500-033,9鄰,太原八街,,,,,,102號,120.67256914595,24.166107793237
臺中市北區明新里10鄰太原八街103號,66,6600500,6600500-033,10鄰,太原八街,,,,,,103號,120.67282386463,24.166021288452
臺中市北區明新里9鄰太原八街104號,66,6600500,6600500-033,9鄰,太原八街,,,,,,104號,120.6725537858,24.16607217586
臺中市北區明新里10鄰太原八街105號,66,6600500,6600500-033,10鄰,太原八街,,,,,,105號,120.6728243703,24.165977325954
