FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市北屯區廍子里3鄰太和五街1號,66,6600800,6600800-013,3鄰,太和五街,,,,,,1號,120.72657835988,24.164511730187
臺中市北屯區廍子里3鄰太和五街9號,66,6600800,6600800-013,3鄰,太和五街,,,,,,9號,120.72630702894,24.164496254966
臺中市北屯區廍子里3鄰太和五街17號,66,6600800,6600800-013,3鄰,太和五街,,,,,,17號,120.72609398051,24.164544296801
臺中市北屯區廍子里3鄰太和五街19號,66,6600800,6600800-013,3鄰,太和五街,,,,,,19號,120.72602713165,24.164542849449
臺中市北屯區廍子里3鄰太和五街20號,66,6600800,6600800-013,3鄰,太和五街,,,,,,20號,120.72609954363,24.164778301484
臺中市北屯區廍子里3鄰太和五街22號,66,6600800,6600800-013,3鄰,太和五街,,,,,,22號,120.72606047851,24.164780615077
臺中市北屯區廍子里3鄰太和五街26號,66,6600800,6600800-013,3鄰,太和五街,,,,,,26號,120.72601620732,24.164782928339
臺中市北屯區廍子里3鄰太和五街28號,66,6600800,6600800-013,3鄰,太和五街,,,,,,28號,120.72596412216,24.164785227552
臺中市北屯區廍子里3鄰太和五街30號,66,6600800,6600800-013,3鄰,太和五街,,,,,,30號,120.72590943382,24.164789905808
臺中市北屯區廍子里3鄰太和五街32號,66,6600800,6600800-013,3鄰,太和五街,,,,,,32號,120.72585475057,24.164792191286
臺中市北屯區廍子里14鄰太和五街33號,66,6600800,6600800-013,14鄰,太和五街,,,,,,33號,120.72489904292,24.164634868624
臺中市北屯區廍子里14鄰太和五街35號,66,6600800,6600800-013,14鄰,太和五街,,,,,,35號,120.72482082692,24.164647386652
臺中市北屯區廍子里14鄰太和五街37號,66,6600800,6600800-013,14鄰,太和五街,,,,,,37號,120.72474416645,24.164645839774
臺中市北屯區廍子里14鄰太和五街39號,66,6600800,6600800-013,14鄰,太和五街,,,,,,39號,120.72466903217,24.164648521332
臺中市北屯區廍子里14鄰太和五街41號,66,6600800,6600800-013,14鄰,太和五街,,,,,,41號,120.72459326133,24.16466809555
臺中市北屯區廍子里14鄰太和五街43號,66,6600800,6600800-013,14鄰,太和五街,,,,,,43號,120.72452217561,24.164664418678
臺中市北屯區廍子里14鄰太和五街45號,66,6600800,6600800-013,14鄰,太和五街,,,,,,45號,120.72444841894,24.164671761741
臺中市北屯區廍子里14鄰太和五街47號,66,6600800,6600800-013,14鄰,太和五街,,,,,,47號,120.72437197098,24.16467666199
臺中市北屯區廍子里14鄰太和五街49號,66,6600800,6600800-013,14鄰,太和五街,,,,,,49號,120.72430090097,24.164684000806
臺中市北屯區廍子里14鄰太和五街51號,66,6600800,6600800-013,14鄰,太和五街,,,,,,51號,120.72422847812,24.1646888902
臺中市北屯區廍子里14鄰太和五街53號,66,6600800,6600800-013,14鄰,太和五街,,,,,,53號,120.72414533016,24.164697462183
臺中市北屯區廍子里14鄰太和五街55號,66,6600800,6600800-013,14鄰,太和五街,,,,,,55號,120.72406083599,24.164691340993
臺中市北屯區廍子里14鄰太和五街67號,66,6600800,6600800-013,14鄰,太和五街,,,,,,67號,120.72350833501,24.164723342743
臺中市北屯區廍子里14鄰太和五街68號,66,6600800,6600800-013,14鄰,太和五街,,,,,,68號,120.72480745097,24.164841014222
臺中市北屯區廍子里14鄰太和五街72號,66,6600800,6600800-013,14鄰,太和五街,,,,,,72號,120.72468776977,24.164827660623
