FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市西屯區大河里14鄰富強巷1弄1號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,1號,120.66089255943,24.174424751598
臺中市西屯區大河里14鄰富強巷1號,66,6600600,6600600-011,14鄰,富強巷,,,,,,1號,120.66100423378,24.174552592442
臺中市西屯區大河里14鄰富強巷2弄1號,66,6600600,6600600-011,14鄰,富強巷,,,2弄,,,1號,120.66050030111,24.174456311987
臺中市西屯區大河里14鄰富強巷2弄2號,66,6600600,6600600-011,14鄰,富強巷,,,2弄,,,2號,120.66046671501,24.174395000731
臺中市西屯區大河里14鄰富強巷2號,66,6600600,6600600-011,14鄰,富強巷,,,,,,2號,120.66094724324,24.174558289625
臺中市西屯區大河里14鄰富強巷1弄2號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,2號,120.66066809211,24.174450978933
臺中市西屯區大河里14鄰富強巷1弄2之1號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,2之1號,120.66065978629,24.174391096415
臺中市西屯區大河里14鄰富強巷1弄3號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,3號,120.66087874392,24.174364134498
臺中市西屯區大河里14鄰富強巷2弄3號,66,6600600,6600600-011,14鄰,富強巷,,,2弄,,,3號,120.66044810231,24.174347185443
臺中市西屯區大河里14鄰富強巷2弄5號,66,6600600,6600600-011,14鄰,富強巷,,,2弄,,,5號,120.66045559263,24.174268846146
臺中市西屯區大河里14鄰富強巷1弄5號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,5號,120.66087043538,24.174305245204
臺中市西屯區大河里14鄰富強巷1弄6號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,6號,120.6606516766,24.174331485211
臺中市西屯區大河里14鄰富強巷2弄6號,66,6600600,6600600-011,14鄰,富強巷,,,2弄,,,6號,120.66044728524,24.174209595662
臺中市西屯區大河里14鄰富強巷2弄7號,66,6600600,6600600-011,14鄰,富強巷,,,2弄,,,7號,120.66043926957,24.174151691187
臺中市西屯區大河里14鄰富強巷1弄7號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,7號,120.66086222336,24.174247078465
臺中市西屯區大河里14鄰富強巷1弄8號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,8號,120.66064356474,24.174272695665
臺中市西屯區大河里14鄰富強巷2弄8號,66,6600600,6600600-011,14鄰,富強巷,,,2弄,,,8號,120.66043125196,24.174094518077
臺中市西屯區大河里14鄰富強巷1弄9號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,9號,120.66085400989,24.174189462507
臺中市西屯區大河里14鄰富強巷2弄10號,66,6600600,6600600-011,14鄰,富強巷,,,2弄,,,10號,120.66041620502,24.173978639081
臺中市西屯區大河里14鄰富強巷1弄10號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,10號,120.66065120432,24.174212306871
臺中市西屯區大河里14鄰富強巷1弄11號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,11號,120.66084569994,24.174131114963
臺中市西屯區大河里14鄰富強巷1弄12號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,12號,120.66064308915,24.174154772385
臺中市西屯區大河里14鄰富強巷1弄12之1號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,12之1號,120.66063487798,24.174096325728
臺中市西屯區大河里14鄰富強巷1弄13號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,13號,120.66083739264,24.174071765175
臺中市西屯區大河里14鄰富強巷1弄15號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,15號,120.66082908223,24.174013598214
臺中市西屯區大河里14鄰富強巷1弄16號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,16號,120.66063395529,24.174035836616
臺中市西屯區大河里14鄰富強巷1弄17號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,17號,120.66082096723,24.173955973443
臺中市西屯區大河里14鄰富強巷1弄18號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,18號,120.66061845488,24.173979730376
臺中市西屯區大河里14鄰富強巷1弄19號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,19號,120.66080026175,24.173895611887
臺中市西屯區大河里14鄰富強巷1弄20號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,20號,120.66059567315,24.17392296685
臺中市西屯區大河里14鄰富強巷1弄21號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,21號,120.66079152107,24.173814058164
臺中市西屯區大河里14鄰富強巷1弄22號,66,6600600,6600600-011,14鄰,富強巷,,,1弄,,,22號,120.66058716862,24.173863815254
