FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市東區東勢里27鄰富榮街2號,66,6600200,6600200-012,27鄰,富榮街,,,,,,2號,120.69207873358,24.145489584948
臺中市東區東勢里27鄰富榮街8號,66,6600200,6600200-012,27鄰,富榮街,,,,,,8號,120.69183499663,24.145512027533
臺中市東區富仁里17鄰富榮街86巷2弄1號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,1號,120.68871410621,24.146005422411
臺中市東區富仁里17鄰富榮街86巷6弄1號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,1號,120.68873226299,24.146248275819
臺中市東區富仁里17鄰富榮街86巷8弄1號,66,6600200,6600200-015,17鄰,富榮街,,86巷,8弄,,,1號,120.68876312978,24.146403056098
臺中市東區富仁里4鄰富榮街1號,66,6600200,6600200-015,4鄰,富榮街,,,,,,1號,120.69209462725,24.145242150453
臺中市東區富仁里17鄰富榮街86巷8弄2號,66,6600200,6600200-015,17鄰,富榮街,,86巷,8弄,,,2號,120.68883603258,24.146399376305
臺中市東區富仁里17鄰富榮街86巷6弄2號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,2號,120.68872009528,24.146112459115
臺中市東區富仁里17鄰富榮街86巷2弄2號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,2號,120.68869779923,24.145860134534
臺中市東區富仁里17鄰富榮街86巷2弄3號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,3號,120.68875993888,24.145997868043
臺中市東區富仁里17鄰富榮街86巷6弄3號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,3號,120.68877183379,24.146246352002
臺中市東區富仁里17鄰富榮街86巷8弄3號,66,6600200,6600200-015,17鄰,富榮街,,86巷,8弄,,,3號,120.68888603284,24.146393744612
臺中市東區富仁里4鄰富榮街3號,66,6600200,6600200-015,4鄰,富榮街,,,,,,3號,120.69198776568,24.145246810688
臺中市東區富仁里4鄰富榮街5號,66,6600200,6600200-015,4鄰,富榮街,,,,,,5號,120.69188038711,24.145257799359
臺中市東區富仁里17鄰富榮街86巷8弄5號,66,6600200,6600200-015,17鄰,富榮街,,86巷,8弄,,,5號,120.68892145046,24.146388083183
臺中市東區富仁里17鄰富榮街86巷6弄5號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,5號,120.68882600144,24.14624264304
臺中市東區富仁里17鄰富榮街86巷2弄5號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,5號,120.6888036774,24.146001785653
臺中市東區富仁里17鄰富榮街86巷2弄6號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,6號,120.68874361332,24.145860227964
臺中市東區富仁里17鄰富榮街86巷6弄6號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,6號,120.68876592336,24.146106818951
臺中市東區富仁里17鄰富榮街86巷8弄6號,66,6600200,6600200-015,17鄰,富榮街,,86巷,8弄,,,6號,120.68897350901,24.146393922887
臺中市東區富仁里17鄰富榮街86巷6弄7號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,7號,120.68886558186,24.146240809511
臺中市東區富仁里17鄰富榮街86巷2弄7號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,7號,120.68883909954,24.145994210036
臺中市東區富仁里4鄰富榮街7號,66,6600200,6600200-015,4鄰,富榮街,,,,,,7號,120.69176839858,24.145262629678
臺中市東區富仁里4鄰富榮街7之1號,66,6600200,6600200-015,4鄰,富榮街,,,,,,7之1號,120.69208419396,24.145079150187
臺中市東區富仁里4鄰富榮街7之2號,66,6600200,6600200-015,4鄰,富榮街,,,,,,7之2號,120.69197860077,24.145084264442
臺中市東區富仁里4鄰富榮街7之3號,66,6600200,6600200-015,4鄰,富榮街,,,,,,7之3號,120.69186964754,24.145095430515
臺中市東區富仁里4鄰富榮街7之5號,66,6600200,6600200-015,4鄰,富榮街,,,,,,7之5號,120.69175707579,24.145101433461
臺中市東區富仁里17鄰富榮街86巷2弄8號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,8號,120.68879153255,24.145856506271
臺中市東區富仁里17鄰富榮街86巷6弄8號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,8號,120.68881175663,24.146103092999
臺中市東區富仁里17鄰富榮街86巷6弄9號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,9號,120.68892388805,24.146242842566
臺中市東區富仁里17鄰富榮街86巷2弄9號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,9號,120.68889127484,24.145992402174
臺中市東區富仁里4鄰富榮街9號,66,6600200,6600200-015,4鄰,富榮街,,,,,,9號,120.69150955865,24.145284761339
臺中市東區富仁里17鄰富榮街86巷6弄10號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,10號,120.68885759917,24.146095538622
臺中市東區富仁里17鄰富榮街86巷2弄10號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,10號,120.68883526985,24.145852776038
臺中市東區富仁里4鄰富榮街11號,66,6600200,6600200-015,4鄰,富榮街,,,,,,11號,120.69139855406,24.145289593375
臺中市東區富仁里17鄰富榮街86巷2弄11號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,11號,120.68892866611,24.145992478381
臺中市東區富仁里17鄰富榮街86巷6弄11號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,11號,120.68899054707,24.146237244788
臺中市東區富仁里17鄰富榮街86巷6弄12號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,12號,120.68890968535,24.146089911172
臺中市東區富仁里17鄰富榮街86巷2弄12號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,12號,120.6888811123,24.145845221653
臺中市東區富仁里4鄰富榮街13號,66,6600200,6600200-015,4鄰,富榮街,,,,,,13號,120.69129088848,24.145297140879
臺中市東區富仁里17鄰富榮街86巷2弄13號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,13號,120.68897032263,24.145990658084
臺中市東區富仁里4鄰富榮街15號,66,6600200,6600200-015,4鄰,富榮街,,,,,,15號,120.69118244177,24.145302158518
臺中市東區富仁里17鄰富榮街86巷2弄15號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,15號,120.68902240356,24.145983116369
臺中市東區富仁里4鄰富榮街15之1號,66,6600200,6600200-015,4鄰,富榮街,,,,,,15之1號,120.6914825871,24.145125158756
臺中市東區富仁里4鄰富榮街15之2號,66,6600200,6600200-015,4鄰,富榮街,,,,,,15之2號,120.69138260335,24.145129931793
臺中市東區富仁里4鄰富榮街15之3號,66,6600200,6600200-015,4鄰,富榮街,,,,,,15之3號,120.69127739371,24.145139199824
臺中市東區富仁里4鄰富榮街15之5號,66,6600200,6600200-015,4鄰,富榮街,,,,,,15之5號,120.6911630431,24.145144286773
臺中市東區富仁里5鄰富榮街16號,66,6600200,6600200-015,5鄰,富榮街,,,,,,16號,120.69156582513,24.145578959965
臺中市東區富仁里17鄰富榮街86巷2弄16號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,16號,120.68892276416,24.145845306546
臺中市東區富仁里17鄰富榮街86巷6弄16號,66,6600200,6600200-015,17鄰,富榮街,,86巷,6弄,,,16號,120.68899926063,24.146080540692
臺中市東區富仁里6鄰富榮街17號,66,6600200,6600200-015,6鄰,富榮街,,,,,,17號,120.69081330381,24.145321645948
臺中市東區富仁里5鄰富榮街18號,66,6600200,6600200-015,5鄰,富榮街,,,,,,18號,120.69145983773,24.145584154325
臺中市東區富仁里17鄰富榮街86巷2弄18號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,18號,120.6889602775,24.145839649377
臺中市東區富仁里6鄰富榮街19號,66,6600200,6600200-015,6鄰,富榮街,,,,,,19號,120.69070485361,24.145328098902
臺中市東區富仁里17鄰富榮街86巷2弄20號,66,6600200,6600200-015,17鄰,富榮街,,86巷,2弄,,,20號,120.68901858351,24.145841682394
臺中市東區富仁里5鄰富榮街20號,66,6600200,6600200-015,5鄰,富榮街,,,,,,20號,120.69134744054,24.145595132472
臺中市東區富仁里6鄰富榮街21號,66,6600200,6600200-015,6鄰,富榮街,,,,,,21號,120.69060555001,24.145336385211
臺中市東區富仁里5鄰富榮街22號,66,6600200,6600200-015,5鄰,富榮街,,,,,,22號,120.69122807167,24.145600028732
臺中市東區富仁里5鄰富榮街22之1號,66,6600200,6600200-015,5鄰,富榮街,,,,,,22之1號,120.69131963693,24.1457410713
臺中市東區富仁里5鄰富榮街22之2號,66,6600200,6600200-015,5鄰,富榮街,,,,,,22之2號,120.69120981291,24.145745824319
臺中市東區富仁里6鄰富榮街23號,66,6600200,6600200-015,6鄰,富榮街,,,,,,23號,120.69050742696,24.145344764142
臺中市東區富仁里6鄰富榮街23之1號,66,6600200,6600200-015,6鄰,富榮街,,,,,,23之1號,120.69061488737,24.145177217248
臺中市東區富仁里6鄰富榮街23之2號,66,6600200,6600200-015,6鄰,富榮街,,,,,,23之2號,120.69060073302,24.145089252023
臺中市東區富仁里6鄰富榮街23之3號,66,6600200,6600200-015,6鄰,富榮街,,,,,,23之3號,120.69059767282,24.145011593677
臺中市東區富仁里6鄰富榮街23之5號,66,6600200,6600200-015,6鄰,富榮街,,,,,,23之5號,120.69059783497,24.144944235286
臺中市東區富仁里6鄰富榮街23之6號,66,6600200,6600200-015,6鄰,富榮街,,,,,,23之6號,120.69017481086,24.1449492463
臺中市東區富仁里6鄰富榮街23之7號,66,6600200,6600200-015,6鄰,富榮街,,,,,,23之7號,120.69017776894,24.145028340107
臺中市東區富仁里6鄰富榮街23之8號,66,6600200,6600200-015,6鄰,富榮街,,,,,,23之8號,120.69019349383,24.145117771307
臺中市東區富仁里6鄰富榮街23之9號,66,6600200,6600200-015,6鄰,富榮街,,,,,,23之9號,120.69019966376,24.145211508157
臺中市東區富仁里6鄰富榮街25號,66,6600200,6600200-015,6鄰,富榮街,,,,,,25號,120.69020565851,24.145377930661
