FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市東區富臺里14鄰富臺東街10號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,10號,120.69094328707,24.143234781862
臺中市東區富臺里14鄰富臺東街12號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,12號,120.69094844567,24.143299171367
臺中市東區富臺里14鄰富臺東街16號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,16號,120.69094844567,24.143299171367
臺中市東區富臺里14鄰富臺東街18號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,18號,120.69094844567,24.143299171367
臺中市東區富臺里14鄰富臺東街20號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,20號,120.69095350807,24.143362648714
臺中市東區富臺里14鄰富臺東街28號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,28號,120.69096029839,24.143444106937
臺中市東區富臺里14鄰富臺東街30號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,30號,120.69096766474,24.143531534706
臺中市東區富臺里14鄰富臺東街32號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,32號,120.69096766474,24.143531534706
臺中市東區富臺里14鄰富臺東街36號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,36號,120.69096766474,24.143531534706
臺中市東區富臺里14鄰富臺東街38號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,38號,120.69097351433,24.143595013645
臺中市東區富臺里14鄰富臺東街40號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,40號,120.69097609419,24.143626982663
臺中市東區富臺里14鄰富臺東街42號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,42號,120.69097826017,24.143642833506
臺中市東區富臺里14鄰富臺東街46號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,46號,120.69097893752,24.143659864176
臺中市東區富臺里14鄰富臺東街48號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,48號,120.69097958151,24.143686682563
臺中市東區富臺里14鄰富臺東街50號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,50號,120.69098375425,24.143715034048
臺中市東區富臺里14鄰富臺東街52號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,52號,120.69107053598,24.143851922645
臺中市東區富臺里14鄰富臺東街52之1號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,52之1號,120.69107053598,24.143851922645
臺中市東區富臺里14鄰富臺東街52之2號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,52之2號,120.69107053598,24.143851922645
臺中市東區富臺里14鄰富臺東街52之3號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,52之3號,120.69107053598,24.143851922645
臺中市東區富臺里14鄰富臺東街52之5號,66,6600200,6600200-014,14鄰,富臺東街,,,,,,52之5號,120.69107053598,24.143851922645
臺中市東區富臺里15鄰富臺東街56號,66,6600200,6600200-014,15鄰,富臺東街,,,,,,56號,120.69099194203,24.144009252974
臺中市東區富臺里15鄰富臺東街70號,66,6600200,6600200-014,15鄰,富臺東街,,,,,,70號,120.69102890737,24.144460550013
臺中市東區富臺里15鄰富臺東街72號,66,6600200,6600200-014,15鄰,富臺東街,,,,,,72號,120.69104645308,24.144513163256
臺中市東區富臺里15鄰富臺東街76號,66,6600200,6600200-014,15鄰,富臺東街,,,,,,76號,120.69102891183,24.144524188669
臺中市東區富仁里6鄰富臺東街43號,66,6600200,6600200-015,6鄰,富臺東街,,,,,,43號,120.6908261087,24.145029835269
臺中市東區富仁里6鄰富臺東街45號,66,6600200,6600200-015,6鄰,富臺東街,,,,,,45號,120.69083408001,24.145152108394
