FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市豐原區南田里19鄰富陽路235巷252弄1號,66,6600900,6600900-031,19鄰,富陽路,,235巷,252弄,,,1號,120.74903702957,24.265105010972
臺中市豐原區南田里1鄰富陽路235巷236弄1號,66,6600900,6600900-031,1鄰,富陽路,,235巷,236弄,,,1號,120.74890741463,24.264855139443
臺中市豐原區南田里20鄰富陽路235巷156弄1號,66,6600900,6600900-031,20鄰,富陽路,,235巷,156弄,,,1號,120.7477292293,24.263381157886
臺中市豐原區南田里3鄰富陽路119巷1號,66,6600900,6600900-031,3鄰,富陽路,,119巷,,,,1號,120.74619012548,24.262188502292
臺中市豐原區南田里1鄰富陽路235巷226弄2號,66,6600900,6600900-031,1鄰,富陽路,,235巷,226弄,,,2號,120.74870122528,24.26457967892
臺中市豐原區南田里1鄰富陽路235巷236弄2號,66,6600900,6600900-031,1鄰,富陽路,,235巷,236弄,,,2號,120.7488325339,24.264769238321
臺中市豐原區南田里19鄰富陽路235巷300弄2號,66,6600900,6600900-031,19鄰,富陽路,,235巷,300弄,,,2號,120.74974326315,24.265553544907
臺中市豐原區南田里3鄰富陽路235巷115弄2號,66,6600900,6600900-031,3鄰,富陽路,,235巷,115弄,,,2號,120.747193871,24.262480463117
臺中市豐原區南田里3鄰富陽路117巷2號,66,6600900,6600900-031,3鄰,富陽路,,117巷,,,,2號,120.74615577661,24.262409777969
臺中市豐原區南田里19鄰富陽路235巷300弄3號,66,6600900,6600900-031,19鄰,富陽路,,235巷,300弄,,,3號,120.74974291807,24.265704630056
臺中市豐原區南田里1鄰富陽路235巷236弄3號,66,6600900,6600900-031,1鄰,富陽路,,235巷,236弄,,,3號,120.74897067617,24.264839442766
臺中市豐原區南田里1鄰富陽路235巷252弄3號,66,6600900,6600900-031,1鄰,富陽路,,235巷,252弄,,,3號,120.74915093602,24.265078743324
臺中市豐原區南田里2鄰富陽路235巷170弄3號,66,6600900,6600900-031,2鄰,富陽路,,235巷,170弄,,,3號,120.74809709283,24.263727496026
臺中市豐原區南田里3鄰富陽路119巷3號,66,6600900,6600900-031,3鄰,富陽路,,119巷,,,,3號,120.74623278775,24.26219486684
臺中市豐原區南田里3鄰富陽路235巷129弄3號,66,6600900,6600900-031,3鄰,富陽路,,235巷,129弄,,,3號,120.74714986956,24.262907065246
臺中市豐原區南田里3鄰富陽路235巷88弄5號,66,6600900,6600900-031,3鄰,富陽路,,235巷,88弄,,,5號,120.74782541036,24.261800257661
臺中市豐原區南田里3鄰富陽路119巷5號,66,6600900,6600900-031,3鄰,富陽路,,119巷,,,,5號,120.74627911802,24.262199097572
臺中市豐原區南田里3鄰富陽路235巷106弄5號,66,6600900,6600900-031,3鄰,富陽路,,235巷,106弄,,,5號,120.74754954004,24.262456539595
臺中市豐原區南田里2鄰富陽路235巷170弄5號,66,6600900,6600900-031,2鄰,富陽路,,235巷,170弄,,,5號,120.74814452048,24.263699945197
臺中市豐原區南田里1鄰富陽路235巷236弄5號,66,6600900,6600900-031,1鄰,富陽路,,235巷,236弄,,,5號,120.74903344666,24.264823022916
臺中市豐原區南田里1鄰富陽路235巷226弄5號,66,6600900,6600900-031,1鄰,富陽路,,235巷,226弄,,,5號,120.74886072603,24.264606668852
臺中市豐原區南田里20鄰富陽路235巷156弄5號,66,6600900,6600900-031,20鄰,富陽路,,235巷,156弄,,,5號,120.74769741703,24.263281512944
臺中市豐原區南田里1鄰富陽路235巷226弄6號,66,6600900,6600900-031,1鄰,富陽路,,235巷,226弄,,,6號,120.74874903359,24.264558990734
臺中市豐原區南田里1鄰富陽路235巷236弄6號,66,6600900,6600900-031,1鄰,富陽路,,235巷,236弄,,,6號,120.7489013181,24.264749848819
臺中市豐原區南田里1鄰富陽路235巷252弄6號,66,6600900,6600900-031,1鄰,富陽路,,235巷,252弄,,,6號,120.74907356261,24.265008187862
臺中市豐原區南田里3鄰富陽路117巷6號,66,6600900,6600900-031,3鄰,富陽路,,117巷,,,,6號,120.74615361352,24.262452572809
臺中市豐原區南田里3鄰富陽路235巷110弄6號,66,6600900,6600900-031,3鄰,富陽路,,235巷,110弄,,,6號,120.74763932182,24.26262625715
臺中市豐原區南田里3鄰富陽路235巷115弄6號,66,6600900,6600900-031,3鄰,富陽路,,235巷,115弄,,,6號,120.74715957488,24.262471756123
臺中市豐原區南田里3鄰富陽路121巷6號,66,6600900,6600900-031,3鄰,富陽路,,121巷,,,,6號,120.74618463465,24.262076955306
臺中市豐原區南田里3鄰富陽路235巷88弄6號,66,6600900,6600900-031,3鄰,富陽路,,235巷,88弄,,,6號,120.74786601351,24.261492383746
臺中市豐原區南田里3鄰富陽路235巷129弄6號,66,6600900,6600900-031,3鄰,富陽路,,235巷,129弄,,,6號,120.74726547795,24.262915835153
臺中市豐原區南田里1鄰富陽路235巷236弄7號,66,6600900,6600900-031,1鄰,富陽路,,235巷,236弄,,,7號,120.74909749981,24.264805431358
臺中市豐原區南田里1鄰富陽路235巷226弄7號,66,6600900,6600900-031,1鄰,富陽路,,235巷,226弄,,,7號,120.7489676059,24.264547252541
臺中市豐原區南田里20鄰富陽路235巷156弄7號,66,6600900,6600900-031,20鄰,富陽路,,235巷,156弄,,,7號,120.74804813452,24.263332387053
臺中市豐原區南田里3鄰富陽路235巷129弄7號,66,6600900,6600900-031,3鄰,富陽路,,235巷,129弄,,,7號,120.74711397538,24.262979239237
臺中市豐原區南田里3鄰富陽路119巷7號,66,6600900,6600900-031,3鄰,富陽路,,119巷,,,,7號,120.74632034496,24.262204159494
臺中市豐原區南田里3鄰富陽路235巷106弄7號,66,6600900,6600900-031,3鄰,富陽路,,235巷,106弄,,,7號,120.74766868559,24.262469378209
臺中市豐原區南田里1鄰富陽路235巷226弄8號,66,6600900,6600900-031,1鄰,富陽路,,235巷,226弄,,,8號,120.74878925694,24.264538922049
臺中市豐原區南田里1鄰富陽路235巷236弄8號,66,6600900,6600900-031,1鄰,富陽路,,235巷,236弄,,,8號,120.74896723988,24.264733614782
臺中市豐原區南田里1鄰富陽路235巷252弄8號,66,6600900,6600900-031,1鄰,富陽路,,235巷,252弄,,,8號,120.74912076165,24.264996888931
臺中市豐原區南田里3鄰富陽路235巷115弄8號,66,6600900,6600900-031,3鄰,富陽路,,235巷,115弄,,,8號,120.74711757752,24.262452815251
臺中市豐原區南田里3鄰富陽路119巷8號,66,6600900,6600900-031,3鄰,富陽路,,119巷,,,,8號,120.7465423971,24.262139203373
臺中市豐原區南田里3鄰富陽路121巷8號,66,6600900,6600900-031,3鄰,富陽路,,121巷,,,,8號,120.74623248848,24.262072755313
臺中市豐原區南田里3鄰富陽路117巷8號,66,6600900,6600900-031,3鄰,富陽路,,117巷,,,,8號,120.74615301221,24.262492517026
臺中市豐原區南田里3鄰富陽路235巷129弄8號,66,6600900,6600900-031,3鄰,富陽路,,235巷,129弄,,,8號,120.74724590976,24.262949933043
臺中市豐原區南田里3鄰富陽路235巷121弄8號,66,6600900,6600900-031,3鄰,富陽路,,235巷,121弄,,,8號,120.74714877725,24.262563050566
