FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市南屯區春社里34鄰嶺東南路12號,66,6600700,6600700-005,34鄰,嶺東南路,,,,,,12號,120.61051523649,24.132465314939
臺中市南屯區春社里26鄰嶺東南路13號,66,6600700,6600700-005,26鄰,嶺東南路,,,,,,13號,120.61027309818,24.132305050403
臺中市南屯區春社里26鄰嶺東南路15號,66,6600700,6600700-005,26鄰,嶺東南路,,,,,,15號,120.61025771662,24.132348441993
臺中市南屯區春社里34鄰嶺東南路16號,66,6600700,6600700-005,34鄰,嶺東南路,,,,,,16號,120.61050597278,24.132502844094
臺中市南屯區春社里26鄰嶺東南路17號,66,6600700,6600700-005,26鄰,嶺東南路,,,,,,17號,120.6102450142,24.132384346114
臺中市南屯區春社里34鄰嶺東南路18號,66,6600700,6600700-005,34鄰,嶺東南路,,,,,,18號,120.61050977974,24.13254529143
臺中市南屯區春社里26鄰嶺東南路19號,66,6600700,6600700-005,26鄰,嶺東南路,,,,,,19號,120.61023269656,24.132423140587
臺中市南屯區春社里34鄰嶺東南路20號,66,6600700,6600700-005,34鄰,嶺東南路,,,,,,20號,120.61050454299,24.132585106236
臺中市南屯區春社里26鄰嶺東南路21號,66,6600700,6600700-005,26鄰,嶺東南路,,,,,,21號,120.61021998811,24.132461031132
臺中市南屯區春社里26鄰嶺東南路23號,66,6600700,6600700-005,26鄰,嶺東南路,,,,,,23號,120.61020856059,24.132498292897
臺中市南屯區春社里26鄰嶺東南路25號,66,6600700,6600700-005,26鄰,嶺東南路,,,,,,25號,120.61019821834,24.132534564209
臺中市南屯區春社里26鄰嶺東南路27號,66,6600700,6600700-005,26鄰,嶺東南路,,,,,,27號,120.61018807011,24.132571738944
臺中市南屯區春社里26鄰嶺東南路29號,66,6600700,6600700-005,26鄰,嶺東南路,,,,,,29號,120.61017792325,24.132608462218
