FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市太平區德隆里18鄰工業二十路20號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,20號,120.71391959277,24.104756227292
臺中市太平區德隆里18鄰工業二十路22號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,22號,120.71435737078,24.104736368837
臺中市太平區德隆里18鄰工業二十路26號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,26號,120.71471929471,24.104899934843
臺中市太平區德隆里18鄰工業二十路31號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,31號,120.71227512368,24.103860766745
臺中市太平區德隆里18鄰工業二十路36號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,36號,120.71561249429,24.105245167394
臺中市太平區德隆里18鄰工業二十路40號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,40號,120.71596257397,24.105428302181
臺中市太平區德隆里18鄰工業二十路42號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,42號,120.71608664706,24.105547901119
臺中市太平區德隆里18鄰工業二十路53號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,53號,120.71553545833,24.105652339325
臺中市太平區德隆里18鄰工業二十路57號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,57號,120.71566241247,24.105803546791
臺中市太平區德隆里18鄰工業二十路58號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,58號,120.71729401257,24.106444409031
臺中市太平區德隆里18鄰工業二十路61號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,61號,120.7163483225,24.106120669067
臺中市太平區德隆里18鄰工業二十路61之1號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,61之1號,120.71657817055,24.106272247302
臺中市太平區德隆里18鄰工業二十路62號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,62號,120.71814744643,24.106764090412
臺中市太平區德隆里18鄰工業二十路63號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,63號,120.71671017043,24.106545269575
臺中市太平區德隆里18鄰工業二十路65號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,65號,120.71688490087,24.106711553348
臺中市太平區德隆里18鄰工業二十路66號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,66號,120.71852680186,24.107058244405
臺中市太平區德隆里18鄰工業二十路67號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,67號,120.71715634418,24.10682582614
臺中市太平區德隆里18鄰工業二十路69號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,69號,120.71732861176,24.107128629048
臺中市太平區德隆里18鄰工業二十路73號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,73號,120.71780762266,24.10732924416
臺中市太平區德隆里18鄰工業二十路75號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,75號,120.71811096937,24.10725025518
臺中市太平區德隆里18鄰工業二十路77號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,77號,120.71837907361,24.107497973861
臺中市太平區德隆里18鄰工業二十路80號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,80號,120.71941099336,24.107531294258
臺中市太平區德隆里18鄰工業二十路82號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,82號,120.72021323666,24.107919674017
臺中市太平區德隆里18鄰工業二十路83號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,83號,120.71901035478,24.107702567793
臺中市太平區德隆里18鄰工業二十路83之1號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,83之1號,120.71913225338,24.107919406666
臺中市太平區德隆里18鄰工業二十路86號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,86號,120.71990125159,24.107764068071
臺中市太平區德隆里18鄰工業二十路87號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,87號,120.71926293614,24.108168135281
臺中市太平區德隆里18鄰工業二十路89號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,89號,120.71973458412,24.108274735024
臺中市太平區德隆里18鄰工業二十路91號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,91號,120.71997163929,24.108372686882
臺中市太平區德隆里18鄰工業二十路95號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,95號,120.72053844037,24.108330473742
臺中市太平區德隆里18鄰工業二十路97號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,97號,120.72104229783,24.108100422823
臺中市太平區德隆里18鄰工業二十路99號,66,6602700,6602700-018,18鄰,工業二十路,,,,,,99號,120.72130947457,24.107689351189
臺中市大里區仁化里4鄰工業二十路9號,66,6602800,6602800-014,4鄰,工業二十路,,,,,,9號,120.71142623232,24.101660692805
