FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市西屯區協和里15鄰工業區三十四路1號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,1號,120.59515664129,24.173294123568
臺中市西屯區協和里15鄰工業區三十四路2號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,2號,120.59430984596,24.173948026883
臺中市西屯區協和里15鄰工業區三十四路2之3號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,2之3號,120.59427554272,24.173528979741
臺中市西屯區協和里15鄰工業區三十四路3號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,3號,120.59512304637,24.172836893848
臺中市西屯區協和里15鄰工業區三十四路4號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,4號,120.59428282103,24.173343638205
臺中市西屯區協和里15鄰工業區三十四路5號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,5號,120.59503153892,24.172549241678
臺中市西屯區協和里15鄰工業區三十四路6號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,6號,120.59403982083,24.173127093825
臺中市西屯區協和里15鄰工業區三十四路7號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,7號,120.59498441388,24.172231829614
臺中市西屯區協和里15鄰工業區三十四路8號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,8號,120.59402421806,24.172770307714
臺中市西屯區協和里15鄰工業區三十四路9號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,9號,120.59449602349,24.17213554442
臺中市西屯區協和里15鄰工業區三十四路10號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,10號,120.59385578956,24.172407977054
臺中市西屯區協和里15鄰工業區三十四路11號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,11號,120.59438557877,24.171814767457
臺中市西屯區協和里15鄰工業區三十四路12號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,12號,120.59358463141,24.17188464328
臺中市西屯區協和里15鄰工業區三十四路13號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,13號,120.59421992927,24.17135171452
臺中市西屯區協和里15鄰工業區三十四路16號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,16號,120.5934408006,24.171034167552
臺中市西屯區協和里15鄰工業區三十四路17號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,17號,120.594371696,24.170511551553
臺中市西屯區協和里15鄰工業區三十四路20號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,20號,120.5933294127,24.170686037781
臺中市西屯區協和里15鄰工業區三十四路21號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,21號,120.59403795517,24.17007585222
臺中市西屯區協和里15鄰工業區三十四路22號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,22號,120.59316179295,24.170333929545
臺中市西屯區協和里15鄰工業區三十四路23號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,23號,120.5940638311,24.169829242637
臺中市西屯區協和里15鄰工業區三十四路24號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,24號,120.59298775507,24.170035320209
臺中市西屯區協和里15鄰工業區三十四路25號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,25號,120.59358831792,24.169262123767
臺中市西屯區協和里15鄰工業區三十四路25之1號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,25之1號,120.59393886149,24.169543225267
臺中市西屯區協和里15鄰工業區三十四路26號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,26號,120.5928305855,24.16967186266
臺中市西屯區協和里15鄰工業區三十四路28號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,28號,120.59274021699,24.169266362661
臺中市西屯區協和里15鄰工業區三十四路35號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,35號,120.59277345443,24.166804993761
臺中市西屯區協和里15鄰工業區三十四路36號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,36號,120.59227587363,24.167765918406
臺中市西屯區協和里15鄰工業區三十四路38號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,38號,120.59195207966,24.167614264466
臺中市西屯區協和里15鄰工業區三十四路40號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,40號,120.59196575436,24.167337094739
臺中市西屯區協和里15鄰工業區三十四路40之1號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,40之1號,120.59187228942,24.167080414628
臺中市西屯區協和里15鄰工業區三十四路40之2號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,40之2號,120.59177744679,24.166823821061
臺中市西屯區協和里15鄰工業區三十四路52號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,52號,120.59180134022,24.166582813642
臺中市西屯區協和里15鄰工業區三十四路56號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,56號,120.59166950178,24.1663549152
臺中市西屯區協和里15鄰工業區三十四路56之1號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,56之1號,120.59160471616,24.166240440761
臺中市西屯區協和里15鄰工業區三十四路58號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,58號,120.59157225181,24.166051010918
臺中市西屯區協和里15鄰工業區三十四路60號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,60號,120.59147930368,24.165848949731
臺中市西屯區協和里15鄰工業區三十四路62號,66,6600600,6600600-020,15鄰,工業區三十四路,,,,,,62號,120.59143108786,24.165599442323
