FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市南屯區文山里29鄰文山六街1號,66,6600700,6600700-007,29鄰,文山六街,,,,,,1號,120.61357433144,24.148238246328
臺中市南屯區文山里4鄰文山六街2號,66,6600700,6600700-007,4鄰,文山六街,,,,,,2號,120.61363790633,24.148425204726
臺中市南屯區文山里29鄰文山六街3號,66,6600700,6600700-007,29鄰,文山六街,,,,,,3號,120.61341812302,24.148237850753
臺中市南屯區文山里29鄰文山六街5號,66,6600700,6600700-007,29鄰,文山六街,,,,,,5號,120.61333472858,24.148267499285
臺中市南屯區文山里4鄰文山六街6號,66,6600700,6600700-007,4鄰,文山六街,,,,,,6號,120.6135643108,24.148422679825
臺中市南屯區文山里29鄰文山六街7號,66,6600700,6600700-007,29鄰,文山六街,,,,,,7號,120.61313282207,24.148309994029
臺中市南屯區文山里4鄰文山六街8號,66,6600700,6600700-007,4鄰,文山六街,,,,,,8號,120.61351606398,24.148432941316
臺中市南屯區文山里29鄰文山六街9號,66,6600700,6600700-007,29鄰,文山六街,,,,,,9號,120.61304033344,24.148330481731
臺中市南屯區文山里4鄰文山六街10號,66,6600700,6600700-007,4鄰,文山六街,,,,,,10號,120.61346417126,24.148444900089
臺中市南屯區文山里29鄰文山六街11號,66,6600700,6600700-007,29鄰,文山六街,,,,,,11號,120.61302081498,24.148332400623
臺中市南屯區文山里4鄰文山六街12號,66,6600700,6600700-007,4鄰,文山六街,,,,,,12號,120.6134179563,24.14846664289
臺中市南屯區文山里9鄰文山六街12號,66,6600700,6600700-007,9鄰,文山六街,,,,,,12號,120.6134179563,24.14846664289
臺中市南屯區文山里29鄰文山六街13號,66,6600700,6600700-007,29鄰,文山六街,,,,,,13號,120.61296348026,24.148347785578
臺中市南屯區文山里29鄰文山六街15號,66,6600700,6600700-007,29鄰,文山六街,,,,,,15號,120.61290093113,24.148372710248
臺中市南屯區文山里4鄰文山六街16號,66,6600700,6600700-007,4鄰,文山六街,,,,,,16號,120.61334492729,24.148472047014
臺中市南屯區文山里29鄰文山六街17號,66,6600700,6600700-007,29鄰,文山六街,,,,,,17號,120.61283202846,24.148373736369
臺中市南屯區文山里26鄰文山六街20號,66,6600700,6600700-007,26鄰,文山六街,,,,,,20號,120.61307206931,24.148503057271
臺中市南屯區文山里26鄰文山六街22號,66,6600700,6600700-007,26鄰,文山六街,,,,,,22號,120.61302372294,24.148513679523
臺中市南屯區文山里26鄰文山六街26號,66,6600700,6600700-007,26鄰,文山六街,,,,,,26號,120.61297519339,24.148519777634
臺中市南屯區文山里26鄰文山六街28號,66,6600700,6600700-007,26鄰,文山六街,,,,,,28號,120.61292862146,24.148529320844
臺中市南屯區文山里26鄰文山六街30號,66,6600700,6600700-007,26鄰,文山六街,,,,,,30號,120.6128764337,24.148541197404
臺中市南屯區文山里26鄰文山六街32號,66,6600700,6600700-007,26鄰,文山六街,,,,,,32號,120.61260829442,24.148606259126
臺中市南屯區文山里26鄰文山六街36號,66,6600700,6600700-007,26鄰,文山六街,,,,,,36號,120.61252647807,24.14862149148
臺中市南屯區文山里21鄰文山六街40號,66,6600700,6600700-007,21鄰,文山六街,,,,,,40號,120.61213960729,24.148706648007
臺中市南屯區文山里21鄰文山六街42號,66,6600700,6600700-007,21鄰,文山六街,,,,,,42號,120.61205266097,24.148726201116
臺中市南屯區文山里18鄰文山六街186號,66,6600700,6600700-007,18鄰,文山六街,,,,,,186號,120.60965081448,24.150089400718
臺中市南屯區文山里18鄰文山六街188號,66,6600700,6600700-007,18鄰,文山六街,,,,,,188號,120.60943203978,24.15011511615
臺中市南屯區文山里18鄰文山六街190號,66,6600700,6600700-007,18鄰,文山六街,,,,,,190號,120.6094391412,24.150349254018
