FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市南屯區寶山里3鄰文山十一街39巷1號,66,6600700,6600700-023,3鄰,文山十一街,,39巷,,,,1號,120.61589704664,24.15313713106
臺中市南屯區寶山里3鄰文山十一街39巷2號,66,6600700,6600700-023,3鄰,文山十一街,,39巷,,,,2號,120.61588329092,24.153097268363
臺中市南屯區寶山里3鄰文山十一街39巷3號,66,6600700,6600700-023,3鄰,文山十一街,,39巷,,,,3號,120.6158707071,24.1530603973
臺中市南屯區寶山里3鄰文山十一街39巷5號,66,6600700,6600700-023,3鄰,文山十一街,,39巷,,,,5號,120.6158580254,24.153023354433
臺中市南屯區寶山里3鄰文山十一街39巷6號,66,6600700,6600700-023,3鄰,文山十一街,,39巷,,,,6號,120.6158454419,24.152986384047
臺中市南屯區寶山里3鄰文山十一街39巷7號,66,6600700,6600700-023,3鄰,文山十一街,,39巷,,,,7號,120.61583128309,24.15294969863
臺中市南屯區寶山里3鄰文山十一街39巷8號,66,6600700,6600700-023,3鄰,文山十一街,,39巷,,,,8號,120.61581850733,24.152911210842
臺中市南屯區寶山里3鄰文山十一街39巷9號,66,6600700,6600700-023,3鄰,文山十一街,,39巷,,,,9號,120.61580592814,24.15287280481
臺中市南屯區寶山里3鄰文山十一街39巷10號,66,6600700,6600700-023,3鄰,文山十一街,,39巷,,,,10號,120.61579038245,24.152835926283
臺中市南屯區寶山里4鄰文山十一街10號,66,6600700,6600700-023,4鄰,文山十一街,,,,,,10號,120.61691042456,24.153411504312
臺中市南屯區寶山里3鄰文山十一街39巷11號,66,6600700,6600700-023,3鄰,文山十一街,,39巷,,,,11號,120.6157786347,24.152799192756
臺中市南屯區寶山里4鄰文山十一街15號,66,6600700,6600700-023,4鄰,文山十一街,,,,,,15號,120.61719178975,24.153345664725
臺中市南屯區寶山里4鄰文山十一街17號,66,6600700,6600700-023,4鄰,文山十一街,,,,,,17號,120.61712519993,24.153322563341
臺中市南屯區寶山里4鄰文山十一街19號,66,6600700,6600700-023,4鄰,文山十一街,,,,,,19號,120.61705031942,24.15328797396
臺中市南屯區寶山里4鄰文山十一街23號,66,6600700,6600700-023,4鄰,文山十一街,,,,,,23號,120.61681432948,24.153148827542
臺中市南屯區寶山里5鄰文山十一街30號,66,6600700,6600700-023,5鄰,文山十一街,,,,,,30號,120.61631387326,24.153305482838
臺中市南屯區寶山里5鄰文山十一街36號,66,6600700,6600700-023,5鄰,文山十一街,,,,,,36號,120.6161745948,24.15331796317
臺中市南屯區寶山里6鄰文山十一街37號,66,6600700,6600700-023,6鄰,文山十一街,,,,,,37號,120.61616109045,24.153147808883
臺中市南屯區寶山里3鄰文山十一街55號,66,6600700,6600700-023,3鄰,文山十一街,,,,,,55號,120.61516368087,24.153256627651
