FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市南屯區文山里5鄰文山西巷4號,66,6600700,6600700-007,5鄰,文山西巷,,,,,,4號,120.61475254708,24.146896830126
臺中市南屯區文山里5鄰文山西巷4之1號,66,6600700,6600700-007,5鄰,文山西巷,,,,,,4之1號,120.6149032011,24.147019764563
臺中市南屯區文山里5鄰文山西巷4之2號,66,6600700,6600700-007,5鄰,文山西巷,,,,,,4之2號,120.61489734889,24.147035343343
臺中市南屯區文山里5鄰文山西巷4之3號,66,6600700,6600700-007,5鄰,文山西巷,,,,,,4之3號,120.61487117232,24.147200350373
臺中市南屯區文山里5鄰文山西巷4之5號,66,6600700,6600700-007,5鄰,文山西巷,,,,,,4之5號,120.61481800648,24.14728928994
臺中市南屯區文山里5鄰文山西巷4之6號,66,6600700,6600700-007,5鄰,文山西巷,,,,,,4之6號,120.61482471654,24.147246860285
臺中市南屯區文山里5鄰文山西巷5號,66,6600700,6600700-007,5鄰,文山西巷,,,,,,5號,120.61464644854,24.147029771086
臺中市南屯區文山里5鄰文山西巷5之1號,66,6600700,6600700-007,5鄰,文山西巷,,,,,,5之1號,120.61488848253,24.147104512254
臺中市南屯區文山里5鄰文山西巷13號,66,6600700,6600700-007,5鄰,文山西巷,,,,,,13號,120.6145475876,24.147249465391
臺中市南屯區文山里5鄰文山西巷14號,66,6600700,6600700-007,5鄰,文山西巷,,,,,,14號,120.61458271674,24.147380478481
