FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市東區旱溪里11鄰旱溪一街9號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,9號,120.69740796571,24.141123855265
臺中市東區旱溪里11鄰旱溪一街11號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,11號,120.69747098813,24.141119465506
臺中市東區旱溪里11鄰旱溪一街12號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,12號,120.69742974443,24.140858806404
臺中市東區旱溪里11鄰旱溪一街12之1號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,12之1號,120.69746811799,24.140858963718
臺中市東區旱溪里11鄰旱溪一街13號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,13號,120.69751288029,24.141112966139
臺中市東區旱溪里11鄰旱溪一街15號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,15號,120.69755558092,24.141114134261
臺中市東區旱溪里11鄰旱溪一街16號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,16號,120.69750917706,24.140846855487
臺中市東區旱溪里11鄰旱溪一街17號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,17號,120.69759798849,24.141114398857
臺中市東區旱溪里11鄰旱溪一街18號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,18號,120.69754853433,24.140847114053
臺中市東區旱溪里11鄰旱溪一街19號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,19號,120.69764049446,24.141114663637
臺中市東區旱溪里11鄰旱溪一街20號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,20號,120.69758572711,24.140847287056
臺中市東區旱溪里11鄰旱溪一街21號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,21號,120.69768280387,24.141114828693
臺中市東區旱溪里11鄰旱溪一街22號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,22號,120.69762449401,24.140847544433
臺中市東區旱溪里11鄰旱溪一街23號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,23號,120.69772530984,24.141115093449
臺中市東區旱溪里11鄰旱溪一街24號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,24號,120.69766589082,24.140859174932
臺中市東區旱溪里11鄰旱溪一街26號,66,6600200,6600200-007,11鄰,旱溪一街,,,,,,26號,120.69770662603,24.140859255599
臺中市東區旱溪里6鄰旱溪一街27號,66,6600200,6600200-007,6鄰,旱溪一街,,,,,,27號,120.69790034048,24.14107912396
