FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市東區東門里23鄰東昇路436巷1號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,1號,120.70036210248,24.124888159342
臺中市東區東門里23鄰東昇路436巷2號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,2號,120.70038892697,24.124763318018
臺中市東區東門里23鄰東昇路436巷3號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,3號,120.70042379087,24.124895503827
臺中市東區東門里23鄰東昇路436巷5號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,5號,120.70048547824,24.124890613518
臺中市東區東門里23鄰東昇路436巷6號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,6號,120.70048816115,24.124760867044
臺中市東區東門里23鄰東昇路436巷7號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,7號,120.70054716924,24.124905298819
臺中市東區東門里23鄰東昇路436巷8號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,8號,120.70055253431,24.124755972945
臺中市東區東門里23鄰東昇路436巷9號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,9號,120.70059813862,24.124897958556
臺中市東區東門里23鄰東昇路436巷10號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,10號,120.70060081364,24.124792690628
臺中市東區東門里23鄰東昇路436巷11號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,11號,120.7006464144,24.124915091561
臺中市東區東門里23鄰東昇路436巷12號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,12號,120.70080466106,24.124873478365
臺中市東區東門里23鄰東昇路436巷16號,66,6600200,6600200-009,23鄰,東昇路,,436巷,,,,16號,120.70079124953,24.124942020964
臺中市大里區內新里1鄰東昇路77巷9號,66,6602800,6602800-008,1鄰,東昇路,,77巷,,,,9號,120.6951285207,24.114767773432
臺中市大里區內新里1鄰東昇路77巷11號,66,6602800,6602800-008,1鄰,東昇路,,77巷,,,,11號,120.69504773907,24.115480389636
臺中市大里區內新里1鄰東昇路77巷13號,66,6602800,6602800-008,1鄰,東昇路,,77巷,,,,13號,120.69459381863,24.116482554037
臺中市大里區東昇里10鄰東昇路408巷1號,66,6602800,6602800-009,10鄰,東昇路,,408巷,,,,1號,120.70074159493,24.124113417726
臺中市大里區東昇里6鄰東昇路2巷1號,66,6602800,6602800-009,6鄰,東昇路,,2巷,,,,1號,120.69405074101,24.113313427456
臺中市大里區東昇里9鄰東昇路355巷1號,66,6602800,6602800-009,9鄰,東昇路,,355巷,,,,1號,120.69925063315,24.122928186308
臺中市大里區東昇里9鄰東昇路365巷1號,66,6602800,6602800-009,9鄰,東昇路,,365巷,,,,1號,120.69951747199,24.123168260116
臺中市大里區東昇里7鄰東昇路22巷2號,66,6602800,6602800-009,7鄰,東昇路,,22巷,,,,2號,120.6943272719,24.113975110522
臺中市大里區東昇里9鄰東昇路365巷2號,66,6602800,6602800-009,9鄰,東昇路,,365巷,,,,2號,120.69955972354,24.123232812784
臺中市大里區東昇里9鄰東昇路390巷2號,66,6602800,6602800-009,9鄰,東昇路,,390巷,,,,2號,120.70043523691,24.123393719791
臺中市大里區東昇里9鄰東昇路355巷2號,66,6602800,6602800-009,9鄰,東昇路,,355巷,,,,2號,120.69940907229,24.122950710383
臺中市大里區東昇里10鄰東昇路426巷2號,66,6602800,6602800-009,10鄰,東昇路,,426巷,,,,2號,120.70075869481,24.124206002058
臺中市大里區東昇里9鄰東昇路355巷3號,66,6602800,6602800-009,9鄰,東昇路,,355巷,,,,3號,120.69919433331,24.122939271841
臺中市大里區東昇里9鄰東昇路365巷3號,66,6602800,6602800-009,9鄰,東昇路,,365巷,,,,3號,120.6994714178,24.12317331624
臺中市大里區東昇里6鄰東昇路2巷3號,66,6602800,6602800-009,6鄰,東昇路,,2巷,,,,3號,120.69408924438,24.11329689053
臺中市大里區東昇里6鄰東昇路3號,66,6602800,6602800-009,6鄰,東昇路,,,,,,3號,120.69387445284,24.113190455673
臺中市大里區東昇里10鄰東昇路408巷4號,66,6602800,6602800-009,10鄰,東昇路,,408巷,,,,4號,120.70084931497,24.123947669296
臺中市大里區東昇里10鄰東昇路426巷5號,66,6602800,6602800-009,10鄰,東昇路,,426巷,,,,5號,120.70053262276,24.124328629011
臺中市大里區東昇里6鄰東昇路5號,66,6602800,6602800-009,6鄰,東昇路,,,,,,5號,120.69389207864,24.113266066715
臺中市大里區東昇里6鄰東昇路2巷5號,66,6602800,6602800-009,6鄰,東昇路,,2巷,,,,5號,120.69412568986,24.113277008613
臺中市大里區東昇里9鄰東昇路365巷5號,66,6602800,6602800-009,9鄰,東昇路,,365巷,,,,5號,120.69942820314,24.123184156722
臺中市大里區東昇里9鄰東昇路365巷6號,66,6602800,6602800-009,9鄰,東昇路,,365巷,,,,6號,120.69948796811,24.123248021524
臺中市大里區東昇里9鄰東昇路390巷6號,66,6602800,6602800-009,9鄰,東昇路,,390巷,,,,6號,120.70072570487,24.12341614021
臺中市大里區東昇里9鄰東昇路355巷6號,66,6602800,6602800-009,9鄰,東昇路,,355巷,,,,6號,120.69934822901,24.122969461979
臺中市大里區東昇里7鄰東昇路22巷6號,66,6602800,6602800-009,7鄰,東昇路,,22巷,,,,6號,120.69437201886,24.113939263193
臺中市大里區東昇里8鄰東昇路177巷6號,66,6602800,6602800-009,8鄰,東昇路,,177巷,,,,6號,120.69659972346,24.117351472678
臺中市大里區東昇里10鄰東昇路426巷7號,66,6602800,6602800-009,10鄰,東昇路,,426巷,,,,7號,120.70050923104,24.12427639351
臺中市大里區東昇里6鄰東昇路2巷7號,66,6602800,6602800-009,6鄰,東昇路,,2巷,,,,7號,120.69416262804,24.113256766498
臺中市大里區東昇里9鄰東昇路355巷7號,66,6602800,6602800-009,9鄰,東昇路,,355巷,,,,7號,120.69908763517,24.122961996231
臺中市大里區東昇里9鄰東昇路365巷7號,66,6602800,6602800-009,9鄰,東昇路,,365巷,,,,7號,120.69938548291,24.123193914643
臺中市大里區東昇里9鄰東昇路365巷8號,66,6602800,6602800-009,9鄰,東昇路,,365巷,,,,8號,120.69941798162,24.123264046352
臺中市大里區東昇里9鄰東昇路390巷8號,66,6602800,6602800-009,9鄰,東昇路,,390巷,,,,8號,120.7008491893,24.123409339211
臺中市大里區東昇里9鄰東昇路355巷8號,66,6602800,6602800-009,9鄰,東昇路,,355巷,,,,8號,120.69929182762,24.12298190175
臺中市大里區東昇里8鄰東昇路177巷8號,66,6602800,6602800-009,8鄰,東昇路,,177巷,,,,8號,120.69655011373,24.117363292897
臺中市大里區東昇里7鄰東昇路22巷8號,66,6602800,6602800-009,7鄰,東昇路,,22巷,,,,8號,120.69441064605,24.113912071794
臺中市大里區東昇里6鄰東昇路2巷9號,66,6602800,6602800-009,6鄰,東昇路,,2巷,,,,9號,120.69419877923,24.113236522799
臺中市大里區東昇里9鄰東昇路355巷9號,66,6602800,6602800-009,9鄰,東昇路,,355巷,,,,9號,120.69903084805,24.122971094286
臺中市大里區東昇里9鄰東昇路390巷10號,66,6602800,6602800-009,9鄰,東昇路,,390巷,,,,10號,120.70050913101,24.12330501589
臺中市大里區東昇里9鄰東昇路355巷10號,66,6602800,6602800-009,9鄰,東昇路,,355巷,,,,10號,120.69922698131,24.122987552859
臺中市大里區東昇里7鄰東昇路22巷10號,66,6602800,6602800-009,7鄰,東昇路,,22巷,,,,10號,120.69444976296,24.113885784301
臺中市大里區東昇里9鄰東昇路365巷10號,66,6602800,6602800-009,9鄰,東昇路,,365巷,,,,10號,120.69934582504,24.123282504801
臺中市大里區東昇里8鄰東昇路177巷10號,66,6602800,6602800-009,8鄰,東昇路,,177巷,,,,10號,120.69650187083,24.117379540198
臺中市大里區東昇里10鄰東昇路390巷11號,66,6602800,6602800-009,10鄰,東昇路,,390巷,,,,11號,120.70059893387,24.123566952798
臺中市大里區東昇里6鄰東昇路2巷11號,66,6602800,6602800-009,6鄰,東昇路,,2巷,,,,11號,120.69423159172,24.11321374419
臺中市大里區東昇里9鄰東昇路355巷11號,66,6602800,6602800-009,9鄰,東昇路,,355巷,,,,11號,120.69897474092,24.122983895693
臺中市大里區東昇里9鄰東昇路355巷12號,66,6602800,6602800-009,9鄰,東昇路,,355巷,,,,12號,120.69917010721,24.122991774946
臺中市大里區東昇里9鄰東昇路390巷12號,66,6602800,6602800-009,9鄰,東昇路,,390巷,,,,12號,120.7007044714,24.123197407743
