FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市大雅區上楓里11鄰樹德街170巷7弄1號,66,6601800,6601800-009,11鄰,樹德街,,170巷,7弄,,,1號,120.66843061777,24.237354826563
臺中市大雅區上楓里11鄰樹德街170巷1號,66,6601800,6601800-009,11鄰,樹德街,,170巷,,,,1號,120.66841265385,24.237249669518
臺中市大雅區上楓里11鄰樹德街170巷21弄1號,66,6601800,6601800-009,11鄰,樹德街,,170巷,21弄,,,1號,120.66858876817,24.237651400885
臺中市大雅區上楓里11鄰樹德街192巷13弄1號,66,6601800,6601800-009,11鄰,樹德街,,192巷,13弄,,,1號,120.66794764862,24.237768719437
臺中市大雅區上楓里16鄰樹德街282巷1號,66,6601800,6601800-009,16鄰,樹德街,,282巷,,,,1號,120.66612543174,24.238826006602
臺中市大雅區上楓里16鄰樹德街323巷1號,66,6601800,6601800-009,16鄰,樹德街,,323巷,,,,1號,120.6644516791,24.238587413249
臺中市大雅區上楓里16鄰樹德街336巷1號,66,6601800,6601800-009,16鄰,樹德街,,336巷,,,,1號,120.66469211099,24.239489742763
臺中市大雅區上楓里20鄰樹德街85巷2弄1號,66,6601800,6601800-009,20鄰,樹德街,,85巷,2弄,,,1號,120.67034945753,24.235560883668
臺中市大雅區上楓里20鄰樹德街95巷1號,66,6601800,6601800-009,20鄰,樹德街,,95巷,,,,1號,120.67032938171,24.236026629522
臺中市大雅區上楓里8鄰樹德街86巷1號,66,6601800,6601800-009,8鄰,樹德街,,86巷,,,,1號,120.67089420055,24.236130360293
臺中市大雅區上楓里8鄰樹德街8巷1號,66,6601800,6601800-009,8鄰,樹德街,,8巷,,,,1號,120.67172060282,24.235941159203
臺中市大雅區上楓里9鄰樹德街142巷1號,66,6601800,6601800-009,9鄰,樹德街,,142巷,,,,1號,120.66945925992,24.236832440414
臺中市大雅區上楓里20鄰樹德街95巷2號,66,6601800,6601800-009,20鄰,樹德街,,95巷,,,,2號,120.67025086936,24.236070287191
臺中市大雅區上楓里20鄰樹德街85巷2弄2號,66,6601800,6601800-009,20鄰,樹德街,,85巷,2弄,,,2號,120.67043567752,24.235648012538
臺中市大雅區上楓里16鄰樹德街282巷2號,66,6601800,6601800-009,16鄰,樹德街,,282巷,,,,2號,120.66605837553,24.23884801713
臺中市大雅區上楓里11鄰樹德街170巷21弄2號,66,6601800,6601800-009,11鄰,樹德街,,170巷,21弄,,,2號,120.66862249895,24.237706426017
臺中市大雅區上楓里11鄰樹德街170巷7弄2號,66,6601800,6601800-009,11鄰,樹德街,,170巷,7弄,,,2號,120.66846168332,24.237431344443
臺中市大雅區上楓里11鄰樹德街192巷13弄2號,66,6601800,6601800-009,11鄰,樹德街,,192巷,13弄,,,2號,120.66799289827,24.237847191569
臺中市大雅區上楓里11鄰樹德街192巷2號,66,6601800,6601800-009,11鄰,樹德街,,192巷,,,,2號,120.66809337887,24.237466396691
臺中市大雅區上楓里8鄰樹德街8巷2號,66,6601800,6601800-009,8鄰,樹德街,,8巷,,,,2號,120.67184450595,24.23598666267
臺中市大雅區上楓里9鄰樹德街96巷2號,66,6601800,6601800-009,9鄰,樹德街,,96巷,,,,2號,120.67051105076,24.2361771875
臺中市大雅區上楓里8鄰樹德街2號,66,6601800,6601800-009,8鄰,樹德街,,,,,,2號,120.67214526112,24.236215036236
臺中市大雅區上楓里20鄰樹德街85巷2弄3號,66,6601800,6601800-009,20鄰,樹德街,,85巷,2弄,,,3號,120.67029045206,24.235585342382
臺中市大雅區上楓里20鄰樹德街95巷3號,66,6601800,6601800-009,20鄰,樹德街,,95巷,,,,3號,120.67030634029,24.235984584809
臺中市大雅區上楓里16鄰樹德街282巷3號,66,6601800,6601800-009,16鄰,樹德街,,282巷,,,,3號,120.66594304468,24.238894490115
臺中市大雅區上楓里11鄰樹德街192巷13弄3號,66,6601800,6601800-009,11鄰,樹德街,,192巷,13弄,,,3號,120.66790125279,24.237790441779
臺中市大雅區上楓里11鄰樹德街170巷7弄3號,66,6601800,6601800-009,11鄰,樹德街,,170巷,7弄,,,3號,120.66838627734,24.237373844774
臺中市大雅區上楓里11鄰樹德街170巷21弄3號,66,6601800,6601800-009,11鄰,樹德街,,170巷,21弄,,,3號,120.66854704326,24.2376680321
臺中市大雅區上楓里11鄰樹德街170巷3號,66,6601800,6601800-009,11鄰,樹德街,,170巷,,,,3號,120.66843599385,24.237290333691
臺中市大雅區上楓里15鄰樹德街256巷3號,66,6601800,6601800-009,15鄰,樹德街,,256巷,,,,3號,120.66682544935,24.238074623141
臺中市大雅區上楓里8鄰樹德街86巷3號,66,6601800,6601800-009,8鄰,樹德街,,86巷,,,,3號,120.67091449942,24.236162999592
臺中市大雅區上楓里8鄰樹德街3號,66,6601800,6601800-009,8鄰,樹德街,,,,,,3號,120.67226880132,24.236056352235
臺中市大雅區上楓里9鄰樹德街142巷3號,66,6601800,6601800-009,9鄰,樹德街,,142巷,,,,3號,120.66950144714,24.23686160604
臺中市大雅區上楓里8鄰樹德街8巷3號,66,6601800,6601800-009,8鄰,樹德街,,8巷,,,,3號,120.67168367738,24.23596040205
臺中市大雅區上楓里20鄰樹德街85巷2弄4號,66,6601800,6601800-009,20鄰,樹德街,,85巷,2弄,,,4號,120.67039665084,24.235664902931
臺中市大雅區上楓里15鄰樹德街255巷4號,66,6601800,6601800-009,15鄰,樹德街,,255巷,,,,4號,120.66657632535,24.237714489909
臺中市大雅區上楓里11鄰樹德街192巷13弄4號,66,6601800,6601800-009,11鄰,樹德街,,192巷,13弄,,,4號,120.66795704151,24.237863997946
臺中市大雅區上楓里11鄰樹德街192巷4號,66,6601800,6601800-009,11鄰,樹德街,,192巷,,,,4號,120.66811288789,24.237499648617
臺中市大雅區上楓里9鄰樹德街96巷4號,66,6601800,6601800-009,9鄰,樹德街,,96巷,,,,4號,120.67053255843,24.236214533679
臺中市大雅區上楓里11鄰樹德街170巷5號,66,6601800,6601800-009,11鄰,樹德街,,170巷,,,,5號,120.66846711507,24.237345353174
臺中市大雅區上楓里15鄰樹德街256巷5號,66,6601800,6601800-009,15鄰,樹德街,,256巷,,,,5號,120.66684548253,24.238106910248
臺中市大雅區上楓里20鄰樹德街95巷5號,66,6601800,6601800-009,20鄰,樹德街,,95巷,,,,5號,120.67028418794,24.235945259807
臺中市大雅區上楓里8鄰樹德街5號,66,6601800,6601800-009,8鄰,樹德街,,,,,,5號,120.6722086308,24.236012882506
臺中市大雅區上楓里8鄰樹德街86巷5號,66,6601800,6601800-009,8鄰,樹德街,,86巷,,,,5號,120.67093618528,24.236196192667
臺中市大雅區上楓里9鄰樹德街142巷5號,66,6601800,6601800-009,9鄰,樹德街,,142巷,,,,5號,120.66953345512,24.236882235022
臺中市大雅區上楓里20鄰樹德街95巷6號,66,6601800,6601800-009,20鄰,樹德街,,95巷,,,,6號,120.67022903063,24.236023892998
臺中市大雅區上楓里20鄰樹德街85巷2弄6號,66,6601800,6601800-009,20鄰,樹德街,,85巷,2弄,,,6號,120.67035453345,24.235681335161
