FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市清水區秀水里2鄰民有路278巷1號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,1號,120.56453907758,24.280071127667
臺中市清水區秀水里2鄰民有路278巷3號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,3號,120.56446531376,24.280148141996
臺中市清水區秀水里2鄰民有路278巷15號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15號,120.56428896483,24.280394473403
臺中市清水區秀水里2鄰民有路278巷15之1號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之1號,120.56423531893,24.280406698479
臺中市清水區秀水里2鄰民有路278巷15之2號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之2號,120.56418436059,24.280416475334
臺中市清水區秀水里2鄰民有路278巷15之3號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之3號,120.56413608144,24.280426259854
臺中市清水區秀水里2鄰民有路278巷15之5號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之5號,120.56408779397,24.280438482185
臺中市清水區秀水里2鄰民有路278巷15之6號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之6號,120.56404220389,24.280448265358
臺中市清水區秀水里2鄰民有路278巷15之7號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之7號,120.56400196244,24.280458036772
臺中市清水區秀水里2鄰民有路278巷15之8號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之8號,120.56394563874,24.280472709972
臺中市清水區秀水里2鄰民有路278巷15之9號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之9號,120.563870537,24.280352904445
臺中市清水區秀水里2鄰民有路278巷15之10號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之10號,120.56392149833,24.280348021461
臺中市清水區秀水里2鄰民有路278巷15之11號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之11號,120.56396441065,24.28034068655
臺中市清水區秀水里2鄰民有路278巷15之12號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之12號,120.56400732833,24.280326011007
臺中市清水區秀水里2鄰民有路278巷15之13號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之13號,120.5640503615,24.280315010615
臺中市清水區秀水里2鄰民有路278巷15之15號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之15號,120.5640959515,24.280305236467
臺中市清水區秀水里2鄰民有路278巷15之16號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之16號,120.56414691818,24.280293003757
臺中市清水區秀水里2鄰民有路278巷15之17號,66,6601200,6601200-013,2鄰,民有路,,278巷,,,,15之17號,120.56420056252,24.280278340858
