FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市后里區后里里18鄰泉州路23巷1弄1號,66,6601500,6601500-004,18鄰,泉州路,,23巷,1弄,,,1號,120.72732108776,24.311636557249
臺中市后里區后里里18鄰泉州路23巷2弄1號,66,6601500,6601500-004,18鄰,泉州路,,23巷,2弄,,,1號,120.72723072521,24.31125154586
臺中市后里區后里里1鄰泉州路4之30巷1號,66,6601500,6601500-004,1鄰,泉州路,,4之30巷,,,,1號,120.72936893479,24.313554145699
臺中市后里區后里里1鄰泉州路1之1號,66,6601500,6601500-004,1鄰,泉州路,,,,,,1之1號,120.7300400177,24.313842223106
臺中市后里區后里里19鄰泉州路33巷1之1號,66,6601500,6601500-004,19鄰,泉州路,,33巷,,,,1之1號,120.72517262088,24.312594459236
臺中市后里區后里里1鄰泉州路1之2號,66,6601500,6601500-004,1鄰,泉州路,,,,,,1之2號,120.73005168939,24.313741650203
臺中市后里區后里里1鄰泉州路1之3號,66,6601500,6601500-004,1鄰,泉州路,,,,,,1之3號,120.73011010097,24.313828081643
臺中市后里區后里里1鄰泉州路1之4號,66,6601500,6601500-004,1鄰,泉州路,,,,,,1之4號,120.73013900172,24.313724460416
臺中市后里區后里里1鄰泉州路1之5號,66,6601500,6601500-004,1鄰,泉州路,,,,,,1之5號,120.7301744884,24.313814372454
臺中市后里區后里里1鄰泉州路1之6號,66,6601500,6601500-004,1鄰,泉州路,,,,,,1之6號,120.73022730023,24.313706829903
臺中市后里區后里里1鄰泉州路1之7號,66,6601500,6601500-004,1鄰,泉州路,,,,,,1之7號,120.73023676367,24.313802384051
臺中市后里區后里里1鄰泉州路1之8號,66,6601500,6601500-004,1鄰,泉州路,,,,,,1之8號,120.73031543294,24.313688386422
臺中市后里區后里里1鄰泉州路1之9號,66,6601500,6601500-004,1鄰,泉州路,,,,,,1之9號,120.73029709642,24.313791114504
臺中市后里區后里里1鄰泉州路1之10號,66,6601500,6601500-004,1鄰,泉州路,,,,,,1之10號,120.73039730856,24.313670202654
臺中市后里區后里里1鄰泉州路1之11號,66,6601500,6601500-004,1鄰,泉州路,,,,,,1之11號,120.73035547724,24.313775688061
