FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市西屯區西平里15鄰華夏巷東一弄1號,66,6600600,6600600-024,15鄰,華夏巷,,,東一弄,,,1號,120.644127287,24.180759324499
臺中市西屯區西平里15鄰華夏巷東二弄1號,66,6600600,6600600-024,15鄰,華夏巷,,,東二弄,,,1號,120.64420459864,24.180493503264
臺中市西屯區西平里16鄰華夏巷東三弄1號,66,6600600,6600600-024,16鄰,華夏巷,,,東三弄,,,1號,120.64429800794,24.180243421395
臺中市西屯區西平里16鄰華夏巷東五弄1號,66,6600600,6600600-024,16鄰,華夏巷,,,東五弄,,,1號,120.64446496466,24.179771237931
臺中市西屯區西平里16鄰華夏巷東六弄1號,66,6600600,6600600-024,16鄰,華夏巷,,,東六弄,,,1號,120.64455192187,24.179540463424
臺中市西屯區西平里17鄰華夏巷西一弄1號,66,6600600,6600600-024,17鄰,華夏巷,,,西一弄,,,1號,120.64402544606,24.180536055303
臺中市西屯區西平里16鄰華夏巷東四弄1號,66,6600600,6600600-024,16鄰,華夏巷,,,東四弄,,,1號,120.64438989966,24.180008080682
臺中市西屯區西平里18鄰華夏巷西二弄1號,66,6600600,6600600-024,18鄰,華夏巷,,,西二弄,,,1號,120.64411755441,24.180293834989
臺中市西屯區西平里19鄰華夏巷西三弄1號,66,6600600,6600600-024,19鄰,華夏巷,,,西三弄,,,1號,120.64421223115,24.180048117252
臺中市西屯區西平里20鄰華夏巷西四弄1號,66,6600600,6600600-024,20鄰,華夏巷,,,西四弄,,,1號,120.64431049418,24.179822254101
臺中市西屯區西平里21鄰華夏巷西五弄1號,66,6600600,6600600-024,21鄰,華夏巷,,,西五弄,,,1號,120.64440379458,24.179575693292
臺中市西屯區西平里20鄰華夏巷西四弄2號,66,6600600,6600600-024,20鄰,華夏巷,,,西四弄,,,2號,120.64424169958,24.179962850575
臺中市西屯區西平里21鄰華夏巷西六弄2號,66,6600600,6600600-024,21鄰,華夏巷,,,西六弄,,,2號,120.64443126201,24.179502078667
臺中市西屯區西平里21鄰華夏巷西五弄2號,66,6600600,6600600-024,21鄰,華夏巷,,,西五弄,,,2號,120.64434679147,24.179723378193
臺中市西屯區西平里19鄰華夏巷西三弄2號,66,6600600,6600600-024,19鄰,華夏巷,,,西三弄,,,2號,120.64415056765,24.18020806194
臺中市西屯區西平里18鄰華夏巷西二弄2號,66,6600600,6600600-024,18鄰,華夏巷,,,西二弄,,,2號,120.64405963254,24.180453156319
臺中市西屯區西平里17鄰華夏巷西一弄2號,66,6600600,6600600-024,17鄰,華夏巷,,,西一弄,,,2號,120.64393866612,24.180702352017
臺中市西屯區西平里16鄰華夏巷東四弄2號,66,6600600,6600600-024,16鄰,華夏巷,,,東四弄,,,2號,120.64443264317,24.179856127802
臺中市西屯區西平里16鄰華夏巷東五弄2號,66,6600600,6600600-024,16鄰,華夏巷,,,東五弄,,,2號,120.64451801146,24.179630496285
臺中市西屯區西平里16鄰華夏巷東三弄2號,66,6600600,6600600-024,16鄰,華夏巷,,,東三弄,,,2號,120.64435707392,24.180097303397
臺中市西屯區西平里15鄰華夏巷東二弄2號,66,6600600,6600600-024,15鄰,華夏巷,,,東二弄,,,2號,120.6442623175,24.180336348424
臺中市西屯區西平里15鄰華夏巷東一弄2號,66,6600600,6600600-024,15鄰,華夏巷,,,東一弄,,,2號,120.64417009568,24.180584076404
臺中市西屯區西平里20鄰華夏巷西四弄3號,66,6600600,6600600-024,20鄰,華夏巷,,,西四弄,,,3號,120.64426319375,24.179807245492
臺中市西屯區西平里21鄰華夏巷西五弄3號,66,6600600,6600600-024,21鄰,華夏巷,,,西五弄,,,3號,120.64435430813,24.179568182921
臺中市西屯區西平里15鄰華夏巷東二弄3號,66,6600600,6600600-024,15鄰,華夏巷,,,東二弄,,,3號,120.64426665019,24.180513142195
臺中市西屯區西平里15鄰華夏巷東一弄3號,66,6600600,6600600-024,15鄰,華夏巷,,,東一弄,,,3號,120.64420664056,24.180786498114
臺中市西屯區西平里16鄰華夏巷東三弄3號,66,6600600,6600600-024,16鄰,華夏巷,,,東三弄,,,3號,120.64435826943,24.180269665523
臺中市西屯區西平里16鄰華夏巷東五弄3號,66,6600600,6600600-024,16鄰,華夏巷,,,東五弄,,,3號,120.64451137981,24.179786054799
臺中市西屯區西平里16鄰華夏巷東六弄3號,66,6600600,6600600-024,16鄰,華夏巷,,,東六弄,,,3號,120.64460040332,24.179555474696
臺中市西屯區西平里16鄰華夏巷東四弄3號,66,6600600,6600600-024,16鄰,華夏巷,,,東四弄,,,3號,120.64444978765,24.180027001182
臺中市西屯區西平里17鄰華夏巷西一弄3號,66,6600600,6600600-024,17鄰,華夏巷,,,西一弄,,,3號,120.64396467483,24.180516139357
臺中市西屯區西平里18鄰華夏巷西二弄3號,66,6600600,6600600-024,18鄰,華夏巷,,,西二弄,,,3號,120.64405638956,24.18027392719
臺中市西屯區西平里19鄰華夏巷西三弄3號,66,6600600,6600600-024,19鄰,華夏巷,,,西三弄,,,3號,120.64414516278,24.180027545607
臺中市西屯區西平里19鄰華夏巷西三弄4號,66,6600600,6600600-024,19鄰,華夏巷,,,西三弄,,,4號,120.64408566276,24.180188136395
臺中市西屯區西平里20鄰華夏巷西四弄4號,66,6600600,6600600-024,20鄰,華夏巷,,,西四弄,,,4號,120.64417728814,24.179942483788
臺中市西屯區西平里21鄰華夏巷西五弄4號,66,6600600,6600600-024,21鄰,華夏巷,,,西五弄,,,4號,120.64429690428,24.179718386028
臺中市西屯區西平里21鄰華夏巷西六弄4號,66,6600600,6600600-024,21鄰,華夏巷,,,西六弄,,,4號,120.64438583145,24.179487173779
臺中市西屯區西平里18鄰華夏巷西二弄4號,66,6600600,6600600-024,18鄰,華夏巷,,,西二弄,,,4號,120.64399482719,24.180432788534
臺中市西屯區西平里17鄰華夏巷西一弄4號,66,6600600,6600600-024,17鄰,華夏巷,,,西一弄,,,4號,120.64385666226,24.180672634855
臺中市西屯區西平里16鄰華夏巷東四弄4號,66,6600600,6600600-024,16鄰,華夏巷,,,東四弄,,,4號,120.6444802384,24.179871317631
