FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市豐原區大湳里9鄰豐洲路56巷9號,66,6600900,6600900-013,9鄰,豐洲路,,56巷,,,,9號,120.71596406628,24.255794537897
臺中市豐原區大湳里9鄰豐洲路56巷11號,66,6600900,6600900-013,9鄰,豐洲路,,56巷,,,,11號,120.7160480157,24.255784554828
臺中市豐原區大湳里9鄰豐洲路56巷13號,66,6600900,6600900-013,9鄰,豐洲路,,56巷,,,,13號,120.7161259941,24.25578033023
臺中市豐原區大湳里9鄰豐洲路56巷15號,66,6600900,6600900-013,9鄰,豐洲路,,56巷,,,,15號,120.71617506444,24.255924004162
臺中市豐原區大湳里9鄰豐洲路56巷17號,66,6600900,6600900-013,9鄰,豐洲路,,56巷,,,,17號,120.71622602576,24.255930112685
臺中市豐原區大湳里9鄰豐洲路56巷19號,66,6600900,6600900-013,9鄰,豐洲路,,56巷,,,,19號,120.71628101303,24.255946007326
臺中市豐原區大湳里9鄰豐洲路56巷21號,66,6600900,6600900-013,9鄰,豐洲路,,56巷,,,,21號,120.71633465479,24.255955795697
臺中市豐原區大湳里9鄰豐洲路56巷23號,66,6600900,6600900-013,9鄰,豐洲路,,56巷,,,,23號,120.71630246444,24.255865308209
臺中市豐原區大湳里9鄰豐洲路56巷25號,66,6600900,6600900-013,9鄰,豐洲路,,56巷,,,,25號,120.71624614394,24.255855532889
臺中市豐原區西湳里2鄰豐洲路123巷1號,66,6600900,6600900-016,2鄰,豐洲路,,123巷,,,,1號,120.71394872904,24.256956729271
臺中市豐原區西湳里2鄰豐洲路123巷2號,66,6600900,6600900-016,2鄰,豐洲路,,123巷,,,,2號,120.71400249851,24.256979972213
臺中市豐原區西湳里2鄰豐洲路123巷3號,66,6600900,6600900-016,2鄰,豐洲路,,123巷,,,,3號,120.71403871204,24.256997150628
臺中市豐原區西湳里2鄰豐洲路123巷4號,66,6600900,6600900-016,2鄰,豐洲路,,123巷,,,,4號,120.71408097135,24.257014837004
臺中市豐原區西湳里2鄰豐洲路123巷5號,66,6600900,6600900-016,2鄰,豐洲路,,123巷,,,,5號,120.71411882621,24.257033517333
臺中市豐原區西湳里2鄰豐洲路123巷6號,66,6600900,6600900-016,2鄰,豐洲路,,123巷,,,,6號,120.71415575077,24.257049839282
臺中市豐原區西湳里2鄰豐洲路123巷7號,66,6600900,6600900-016,2鄰,豐洲路,,123巷,,,,7號,120.7141963657,24.257062998908
臺中市豐原區西湳里2鄰豐洲路123巷8號,66,6600900,6600900-016,2鄰,豐洲路,,123巷,,,,8號,120.71423870784,24.257083303864
臺中市豐原區西湳里2鄰豐洲路123巷9號,66,6600900,6600900-016,2鄰,豐洲路,,123巷,,,,9號,120.71427602444,24.257100484295
臺中市豐原區西湳里2鄰豐洲路123巷10號,66,6600900,6600900-016,2鄰,豐洲路,,123巷,,,,10號,120.71431666848,24.257118257864
臺中市豐原區西湳里2鄰豐洲路125號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,125號,120.71458734105,24.2572422493
臺中市豐原區西湳里2鄰豐洲路127號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,127號,120.71456381419,24.257281500231
臺中市豐原區西湳里2鄰豐洲路129號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,129號,120.71453308677,24.257347825243
臺中市豐原區西湳里2鄰豐洲路134號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,134號,120.71455990571,24.257620584473
臺中市豐原區西湳里2鄰豐洲路136號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,136號,120.71451028576,24.257648608278
臺中市豐原區西湳里2鄰豐洲路138號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,138號,120.71446468755,24.257670617141
臺中市豐原區西湳里2鄰豐洲路142號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,142號,120.71441641277,24.257704855529
臺中市豐原區西湳里2鄰豐洲路144號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,144號,120.71437215002,24.257710966451
臺中市豐原區西湳里2鄰豐洲路145號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,145號,120.71439117144,24.257598931751
臺中市豐原區西湳里2鄰豐洲路146號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,146號,120.71433058302,24.257718301366
臺中市豐原區西湳里2鄰豐洲路147號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,147號,120.714354637,24.257619503898
臺中市豐原區西湳里2鄰豐洲路148號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,148號,120.71428766238,24.257723195842
臺中市豐原區西湳里2鄰豐洲路150號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,150號,120.71424004303,24.25772853294
臺中市豐原區西湳里2鄰豐洲路151號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,151號,120.7142729086,24.257626600848
臺中市豐原區西湳里2鄰豐洲路152號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,152號,120.71420062676,24.257734174369
臺中市豐原區西湳里2鄰豐洲路153號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,153號,120.71422628999,24.257642467867
臺中市豐原區西湳里2鄰豐洲路154號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,154號,120.71415281678,24.257741082162
臺中市豐原區西湳里2鄰豐洲路155號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,155號,120.71418842703,24.257644942963
臺中市豐原區西湳里2鄰豐洲路156號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,156號,120.71410758051,24.257746523017
臺中市豐原區西湳里2鄰豐洲路157號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,157號,120.7141495317,24.257651054877
臺中市豐原區西湳里2鄰豐洲路158號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,158號,120.7140659701,24.257751239309
臺中市豐原區西湳里2鄰豐洲路159號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,159號,120.71410929696,24.257657173293
臺中市豐原區西湳里2鄰豐洲路160號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,160號,120.71402882555,24.257758338665
臺中市豐原區西湳里2鄰豐洲路161號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,161號,120.71406906934,24.257664510653
臺中市豐原區西湳里2鄰豐洲路162號,66,6600900,6600900-016,2鄰,豐洲路,,,,,,162號,120.71398753839,24.257772635524
臺中市豐原區圳寮里1鄰豐洲路56巷1號,66,6600900,6600900-017,1鄰,豐洲路,,56巷,,,,1號,120.71570066316,24.255874432833
臺中市豐原區圳寮里5鄰豐洲路15巷1號,66,6600900,6600900-017,5鄰,豐洲路,,15巷,,,,1號,120.71551055789,24.254826834437
臺中市豐原區圳寮里5鄰豐洲路15巷2號,66,6600900,6600900-017,5鄰,豐洲路,,15巷,,,,2號,120.71551431552,24.254864222364
臺中市豐原區圳寮里5鄰豐洲路15巷3號,66,6600900,6600900-017,5鄰,豐洲路,,15巷,,,,3號,120.71547444059,24.254859542896
臺中市豐原區圳寮里1鄰豐洲路56巷3號,66,6600900,6600900-017,1鄰,豐洲路,,56巷,,,,3號,120.71574949939,24.255897277684
臺中市豐原區圳寮里1鄰豐洲路73巷3號,66,6600900,6600900-017,1鄰,豐洲路,,73巷,,,,3號,120.71509571904,24.255605621337
臺中市豐原區圳寮里15鄰豐洲路15巷5號,66,6600900,6600900-017,15鄰,豐洲路,,15巷,,,,5號,120.71542145393,24.254905221842
臺中市豐原區圳寮里15鄰豐洲路15巷6號,66,6600900,6600900-017,15鄰,豐洲路,,15巷,,,,6號,120.71543161005,24.254943885828
臺中市豐原區圳寮里1鄰豐洲路73巷7號,66,6600900,6600900-017,1鄰,豐洲路,,73巷,,,,7號,120.71500863261,24.255582632389
臺中市豐原區圳寮里1鄰豐洲路73巷15號,66,6600900,6600900-017,1鄰,豐洲路,,73巷,,,,15號,120.71489459808,24.255547836867
臺中市豐原區圳寮里1鄰豐洲路73巷17號,66,6600900,6600900-017,1鄰,豐洲路,,73巷,,,,17號,120.7148372793,24.255522131643
臺中市豐原區圳寮里5鄰豐洲路17號,66,6600900,6600900-017,5鄰,豐洲路,,,,,,17號,120.71567887218,24.254867509645
臺中市豐原區圳寮里16鄰豐洲路18號,66,6600900,6600900-017,16鄰,豐洲路,,,,,,18號,120.71585033475,24.254763398249
臺中市豐原區圳寮里1鄰豐洲路73巷19號,66,6600900,6600900-017,1鄰,豐洲路,,73巷,,,,19號,120.71474345621,24.255494967453
臺中市豐原區圳寮里5鄰豐洲路19號,66,6600900,6600900-017,5鄰,豐洲路,,,,,,19號,120.71567316174,24.254911110022
臺中市豐原區圳寮里1鄰豐洲路73巷19之1號,66,6600900,6600900-017,1鄰,豐洲路,,73巷,,,,19之1號,120.71470668577,24.255484776763
臺中市豐原區圳寮里16鄰豐洲路20號,66,6600900,6600900-017,16鄰,豐洲路,,,,,,20號,120.71582230801,24.254798261824
臺中市豐原區圳寮里5鄰豐洲路21號,66,6600900,6600900-017,5鄰,豐洲路,,,,,,21號,120.71566984036,24.254943247776
臺中市豐原區圳寮里16鄰豐洲路22號,66,6600900,6600900-017,16鄰,豐洲路,,,,,,22號,120.71582222267,24.254836662865
臺中市豐原區圳寮里5鄰豐洲路23號,66,6600900,6600900-017,5鄰,豐洲路,,,,,,23號,120.71567026351,24.254974399316
臺中市豐原區圳寮里1鄰豐洲路73巷23號,66,6600900,6600900-017,1鄰,豐洲路,,73巷,,,,23號,120.71461115146,24.255452164674
臺中市豐原區圳寮里1鄰豐洲路73巷24號,66,6600900,6600900-017,1鄰,豐洲路,,73巷,,,,24號,120.71413268009,24.255501811756
臺中市豐原區圳寮里16鄰豐洲路24號,66,6600900,6600900-017,16鄰,豐洲路,,,,,,24號,120.71342236353,24.257852410198
臺中市豐原區圳寮里16鄰豐洲路24之6號,66,6600900,6600900-017,16鄰,豐洲路,,,,,,24之6號,120.71607101546,24.255361417108
