FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市大里區內新里13鄰達明路1號,66,6602800,6602800-008,13鄰,達明路,,,,,,1號,120.690301839,24.111629845464
臺中市大里區內新里16鄰達明路68巷1號,66,6602800,6602800-008,16鄰,達明路,,68巷,,,,1號,120.69155356362,24.110999148383
臺中市大里區內新里16鄰達明路68巷2號,66,6602800,6602800-008,16鄰,達明路,,68巷,,,,2號,120.69149764132,24.111018809787
臺中市大里區內新里15鄰達明路2號,66,6602800,6602800-008,15鄰,達明路,,,,,,2號,120.69032926353,24.111475137845
臺中市大里區內新里16鄰達明路68巷3號,66,6602800,6602800-008,16鄰,達明路,,68巷,,,,3號,120.69144074199,24.111035670096
臺中市大里區內新里13鄰達明路3號,66,6602800,6602800-008,13鄰,達明路,,,,,,3號,120.69036549382,24.11162654331
臺中市大里區內新里13鄰達明路5號,66,6602800,6602800-008,13鄰,達明路,,,,,,5號,120.6904487874,24.111678992057
臺中市大里區內新里16鄰達明路68巷5號,66,6602800,6602800-008,16鄰,達明路,,68巷,,,,5號,120.69138384286,24.11105244009
臺中市大里區內新里16鄰達明路68巷6號,66,6602800,6602800-008,16鄰,達明路,,68巷,,,,6號,120.69155356362,24.110999148383
臺中市大里區內新里15鄰達明路6號,66,6602800,6602800-008,15鄰,達明路,,,,,,6號,120.69038720468,24.111475164965
臺中市大里區內新里16鄰達明路68巷7號,66,6602800,6602800-008,16鄰,達明路,,68巷,,,,7號,120.69129162232,24.111071666927
臺中市大里區內新里15鄰達明路8號,66,6602800,6602800-008,15鄰,達明路,,,,,,8號,120.69044298968,24.111471846833
臺中市大里區內新里14鄰達明路9號,66,6602800,6602800-008,14鄰,達明路,,,,,,9號,120.69060042436,24.111619253944
臺中市大里區內新里15鄰達明路10號,66,6602800,6602800-008,15鄰,達明路,,,,,,10號,120.69049581658,24.111471412083
臺中市大里區內新里14鄰達明路11號,66,6602800,6602800-008,14鄰,達明路,,,,,,11號,120.69064901917,24.111619713508
臺中市大里區內新里15鄰達明路12號,66,6602800,6602800-008,15鄰,達明路,,,,,,12號,120.69055130017,24.111470711815
臺中市大里區內新里14鄰達明路13號,66,6602800,6602800-008,14鄰,達明路,,,,,,13號,120.690766016,24.111606315996
臺中市大里區內新里14鄰達明路15號,66,6602800,6602800-008,14鄰,達明路,,,,,,15號,120.69081481903,24.111601990369
臺中市大里區內新里15鄰達明路16號,66,6602800,6602800-008,15鄰,達明路,,,,,,16號,120.69076985527,24.111441357386
臺中市大里區內新里14鄰達明路17號,66,6602800,6602800-008,14鄰,達明路,,,,,,17號,120.69085713625,24.111594852503
臺中市大里區內新里15鄰達明路18號,66,6602800,6602800-008,15鄰,達明路,,,,,,18號,120.69081994879,24.111432158514
臺中市大里區內新里14鄰達明路19號,66,6602800,6602800-008,14鄰,達明路,,,,,,19號,120.69090221069,24.111586546386
臺中市大里區內新里15鄰達明路20號,66,6602800,6602800-008,15鄰,達明路,,,,,,20號,120.69094262887,24.111427982311
臺中市大里區內新里14鄰達明路21號,66,6602800,6602800-008,14鄰,達明路,,,,,,21號,120.69095514902,24.111580694088
臺中市大里區內新里14鄰達明路21之1號,66,6602800,6602800-008,14鄰,達明路,,,,,,21之1號,120.6910567766,24.11161791997
臺中市大里區內新里15鄰達明路22號,66,6602800,6602800-008,15鄰,達明路,,,,,,22號,120.69097825502,24.111421553226
臺中市大里區內新里14鄰達明路23號,66,6602800,6602800-008,14鄰,達明路,,,,,,23號,120.69110563227,24.111550659726
臺中市大里區內新里15鄰達明路24號,66,6602800,6602800-008,15鄰,達明路,,,,,,24號,120.69101368377,24.111415394614
臺中市大里區內新里14鄰達明路25號,66,6602800,6602800-008,14鄰,達明路,,,,,,25號,120.69116852236,24.111538055453
臺中市大里區內新里15鄰達明路26號,66,6602800,6602800-008,15鄰,達明路,,,,,,26號,120.69104508752,24.1114057967
臺中市大里區內新里14鄰達明路27號,66,6602800,6602800-008,14鄰,達明路,,,,,,27號,120.69125978601,24.111548804231
臺中市大里區內新里15鄰達明路28號,66,6602800,6602800-008,15鄰,達明路,,,,,,28號,120.69118696907,24.111352719998
臺中市大里區內新里16鄰達明路29號,66,6602800,6602800-008,16鄰,達明路,,,,,,29號,120.69134813502,24.111503294162
臺中市大里區內新里15鄰達明路30號,66,6602800,6602800-008,15鄰,達明路,,,,,,30號,120.69117947611,24.111318664171
臺中市大里區內新里16鄰達明路31號,66,6602800,6602800-008,16鄰,達明路,,,,,,31號,120.69141624873,24.111486546833
臺中市大里區內新里15鄰達明路32號,66,6602800,6602800-008,15鄰,達明路,,,,,,32號,120.69116579312,24.111281525851
臺中市大里區內新里16鄰達明路33號,66,6602800,6602800-008,16鄰,達明路,,,,,,33號,120.69145788766,24.111475073338
臺中市大里區內新里15鄰達明路34號,66,6602800,6602800-008,15鄰,達明路,,,,,,34號,120.69113910882,24.111210139979
臺中市大里區內新里16鄰達明路35號,66,6602800,6602800-008,16鄰,達明路,,,,,,35號,120.69150169293,24.111462701269
臺中市大里區內新里15鄰達明路36號,66,6602800,6602800-008,15鄰,達明路,,,,,,36號,120.69112067779,24.111142924291
臺中市大里區內新里16鄰達明路37號,66,6602800,6602800-008,16鄰,達明路,,,,,,37號,120.69154805456,24.11145087611
臺中市大里區內新里15鄰達明路38號,66,6602800,6602800-008,15鄰,達明路,,,,,,38號,120.69104408286,24.111004620246
臺中市大里區內新里16鄰達明路39號,66,6602800,6602800-008,16鄰,達明路,,,,,,39號,120.6915914674,24.111438051755
臺中市大里區內新里15鄰達明路40號,66,6602800,6602800-008,15鄰,達明路,,,,,,40號,120.69094679686,24.111003069107
臺中市大里區內新里15鄰達明路42號,66,6602800,6602800-008,15鄰,達明路,,,,,,42號,120.69085688871,24.111001532833
臺中市大里區內新里16鄰達明路43號,66,6602800,6602800-008,16鄰,達明路,,,,,,43號,120.69165544165,24.111424546532
臺中市大里區內新里16鄰達明路45號,66,6602800,6602800-008,16鄰,達明路,,,,,,45號,120.69172532143,24.111409698793
臺中市大里區內新里15鄰達明路46號,66,6602800,6602800-008,15鄰,達明路,,,,,,46號,120.69081231175,24.111007582605
臺中市大里區內新里16鄰達明路47號,66,6602800,6602800-008,16鄰,達明路,,,,,,47號,120.69176981741,24.111396425105
臺中市大里區內新里15鄰達明路48號,66,6602800,6602800-008,15鄰,達明路,,,,,,48號,120.69075693128,24.111006387014
臺中市大里區內新里16鄰達明路49號,66,6602800,6602800-008,16鄰,達明路,,,,,,49號,120.69180859832,24.111387112795
臺中市大里區內新里15鄰達明路50號,66,6602800,6602800-008,15鄰,達明路,,,,,,50號,120.69072818386,24.111015899953
臺中市大里區內新里16鄰達明路51號,66,6602800,6602800-008,16鄰,達明路,,,,,,51號,120.69185437895,24.111371403746
臺中市大里區內新里15鄰達明路52號,66,6602800,6602800-008,15鄰,達明路,,,,,,52號,120.69073651929,24.111067745344
臺中市大里區內新里16鄰達明路53號,66,6602800,6602800-008,16鄰,達明路,,,,,,53號,120.69189334795,24.111365703537
臺中市大里區內新里15鄰達明路54號,66,6602800,6602800-008,15鄰,達明路,,,,,,54號,120.69075004911,24.111127637377
臺中市大里區內新里16鄰達明路60號,66,6602800,6602800-008,16鄰,達明路,,,,,,60號,120.69135931062,24.111314332252
臺中市大里區內新里16鄰達明路62號,66,6602800,6602800-008,16鄰,達明路,,,,,,62號,120.69139694928,24.111330119358
臺中市大里區內新里16鄰達明路66號,66,6602800,6602800-008,16鄰,達明路,,,,,,66號,120.69144714519,24.111319204908
臺中市大里區內新里16鄰達明路70號,66,6602800,6602800-008,16鄰,達明路,,,,,,70號,120.69147254021,24.111312935635
臺中市大里區內新里16鄰達明路72號,66,6602800,6602800-008,16鄰,達明路,,,,,,72號,120.6914981337,24.111305944409
臺中市大里區內新里16鄰達明路76號,66,6602800,6602800-008,16鄰,達明路,,,,,,76號,120.6915473528,24.111292138559
臺中市大里區內新里16鄰達明路78號,66,6602800,6602800-008,16鄰,達明路,,,,,,78號,120.69157451893,24.111285692257
臺中市大里區內新里16鄰達明路80號,66,6602800,6602800-008,16鄰,達明路,,,,,,80號,120.69160217713,24.111279156649
臺中市大里區內新里16鄰達明路82號,66,6602800,6602800-008,16鄰,達明路,,,,,,82號,120.69162698363,24.111272163813
臺中市大里區內新里16鄰達明路86號,66,6602800,6602800-008,16鄰,達明路,,,,,,86號,120.69167708569,24.111218269348
臺中市大里區內新里16鄰達明路88號,66,6602800,6602800-008,16鄰,達明路,,,,,,88號,120.6917159712,24.111206338757
臺中市大里區內新里16鄰達明路90號,66,6602800,6602800-008,16鄰,達明路,,,,,,90號,120.69175396811,24.111195760768
臺中市大里區內新里16鄰達明路92號,66,6602800,6602800-008,16鄰,達明路,,,,,,92號,120.69179728075,24.1111836585
臺中市大里區內新里16鄰達明路96號,66,6602800,6602800-008,16鄰,達明路,,,,,,96號,120.69182730264,24.111175953802
臺中市大里區內新里16鄰達明路98號,66,6602800,6602800-008,16鄰,達明路,,,,,,98號,120.69185791649,24.111167527943
臺中市大里區內新里16鄰達明路100號,66,6602800,6602800-008,16鄰,達明路,,,,,,100號,120.69189080065,24.111155856086
臺中市大里區內新里16鄰達明路102號,66,6602800,6602800-008,16鄰,達明路,,,,,,102號,120.691928398,24.111147805469
臺中市大里區內新里16鄰達明路106號,66,6602800,6602800-008,16鄰,達明路,,,,,,106號,120.69196383095,24.111139840772
臺中市大里區內新里16鄰達明路108號,66,6602800,6602800-008,16鄰,達明路,,,,,,108號,120.69199454099,24.111132318015
