FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市大里區仁化里21鄰金山三街1號,66,6602800,6602800-014,21鄰,金山三街,,,,,,1號,120.70004681645,24.096798496667
臺中市大里區仁化里19鄰金山三街2號,66,6602800,6602800-014,19鄰,金山三街,,,,,,2號,120.69992776097,24.096730632954
臺中市大里區仁化里19鄰金山三街2之1號,66,6602800,6602800-014,19鄰,金山三街,,,,,,2之1號,120.69998305514,24.096724059739
臺中市大里區仁化里21鄰金山三街3號,66,6602800,6602800-014,21鄰,金山三街,,,,,,3號,120.70009286938,24.096789918816
臺中市大里區仁化里21鄰金山三街5號,66,6602800,6602800-014,21鄰,金山三街,,,,,,5號,120.70013056459,24.096780060443
臺中市大里區仁化里19鄰金山三街6號,66,6602800,6602800-014,19鄰,金山三街,,,,,,6號,120.70003167004,24.096713500471
臺中市大里區仁化里21鄰金山三街7號,66,6602800,6602800-014,21鄰,金山三街,,,,,,7號,120.70017305993,24.096778608801
臺中市大里區仁化里19鄰金山三街8號,66,6602800,6602800-014,19鄰,金山三街,,,,,,8號,120.70007998649,24.096704385302
臺中市大里區仁化里21鄰金山三街9號,66,6602800,6602800-014,21鄰,金山三街,,,,,,9號,120.70021232302,24.09677128171
臺中市大里區仁化里19鄰金山三街10號,66,6602800,6602800-014,19鄰,金山三街,,,,,,10號,120.70012693052,24.096693280961
臺中市大里區仁化里21鄰金山三街11號,66,6602800,6602800-014,21鄰,金山三街,,,,,,11號,120.70024942197,24.096764040659
臺中市大里區仁化里19鄰金山三街12號,66,6602800,6602800-014,19鄰,金山三街,,,,,,12號,120.70017938167,24.096682638877
臺中市大里區仁化里21鄰金山三街13號,66,6602800,6602800-014,21鄰,金山三街,,,,,,13號,120.70032158689,24.096777816509
臺中市大里區仁化里19鄰金山三街14號,66,6602800,6602800-014,19鄰,金山三街,,,,,,14號,120.70022926892,24.096674790855
臺中市大里區仁化里21鄰金山三街15號,66,6602800,6602800-014,21鄰,金山三街,,,,,,15號,120.7004005739,24.096734178829
臺中市大里區仁化里19鄰金山三街16號,66,6602800,6602800-014,19鄰,金山三街,,,,,,16號,120.70027631002,24.096664228422
臺中市大里區仁化里21鄰金山三街17號,66,6602800,6602800-014,21鄰,金山三街,,,,,,17號,120.70046670241,24.096721306105
臺中市大里區仁化里19鄰金山三街18號,66,6602800,6602800-014,19鄰,金山三街,,,,,,18號,120.70032797111,24.096654939144
臺中市大里區仁化里21鄰金山三街19號,66,6602800,6602800-014,21鄰,金山三街,,,,,,19號,120.70052978341,24.096707705032
臺中市大里區仁化里19鄰金山三街20號,66,6602800,6602800-014,19鄰,金山三街,,,,,,20號,120.70037756411,24.096646729321
臺中市大里區仁化里21鄰金山三街21號,66,6602800,6602800-014,21鄰,金山三街,,,,,,21號,120.70059098253,24.096699698463
臺中市大里區仁化里19鄰金山三街22號,66,6602800,6602800-014,19鄰,金山三街,,,,,,22號,120.70042371448,24.096638512736
臺中市大里區仁化里21鄰金山三街23號,66,6602800,6602800-014,21鄰,金山三街,,,,,,23號,120.70071978551,24.096678821925
臺中市大里區仁化里19鄰金山三街24號,66,6602800,6602800-014,19鄰,金山三街,,,,,,24號,120.70047725678,24.096623899759
臺中市大里區仁化里21鄰金山三街25號,66,6602800,6602800-014,21鄰,金山三街,,,,,,25號,120.70078041206,24.096705577278
臺中市大里區仁化里19鄰金山三街26號,66,6602800,6602800-014,19鄰,金山三街,,,,,,26號,120.70052567069,24.096615145815
臺中市大里區仁化里21鄰金山三街27號,66,6602800,6602800-014,21鄰,金山三街,,,,,,27號,120.70083178057,24.096695203732
臺中市大里區仁化里19鄰金山三街28號,66,6602800,6602800-014,19鄰,金山三街,,,,,,28號,120.70058057428,24.096607307504
臺中市大里區仁化里21鄰金山三街29號,66,6602800,6602800-014,21鄰,金山三街,,,,,,29號,120.7008643515,24.096647050571
臺中市大里區仁化里19鄰金山三街30號,66,6602800,6602800-014,19鄰,金山三街,,,,,,30號,120.70068103074,24.096552063824
臺中市大里區仁化里21鄰金山三街31號,66,6602800,6602800-014,21鄰,金山三街,,,,,,31號,120.70091257328,24.096636309664
臺中市大里區仁化里19鄰金山三街32號,66,6602800,6602800-014,19鄰,金山三街,,,,,,32號,120.70075896069,24.096539936429
臺中市大里區仁化里21鄰金山三街33號,66,6602800,6602800-014,21鄰,金山三街,,,,,,33號,120.70096541422,24.096627203066
臺中市大里區仁化里19鄰金山三街34號,66,6602800,6602800-014,19鄰,金山三街,,,,,,34號,120.70082489737,24.096524896121
臺中市大里區仁化里21鄰金山三街35號,66,6602800,6602800-014,21鄰,金山三街,,,,,,35號,120.70101727596,24.096616198365
臺中市大里區仁化里19鄰金山三街36號,66,6602800,6602800-014,19鄰,金山三街,,,,,,36號,120.70090911586,24.096515580065
臺中市大里區仁化里21鄰金山三街37號,66,6602800,6602800-014,21鄰,金山三街,,,,,,37號,120.7010674555,24.09660952446
臺中市大里區仁化里19鄰金山三街38號,66,6602800,6602800-014,19鄰,金山三街,,,,,,38號,120.70098124566,24.096502086801
臺中市大里區仁化里21鄰金山三街39號,66,6602800,6602800-014,21鄰,金山三街,,,,,,39號,120.70111813165,24.096600774752
臺中市大里區仁化里19鄰金山三街40號,66,6602800,6602800-014,19鄰,金山三街,,,,,,40號,120.70107358591,24.096510935597
