FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市太平區永成里11鄰長億北街12巷1號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,1號,120.71716746536,24.117121498325
臺中市太平區永成里11鄰長億北街2號,66,6602700,6602700-020,11鄰,長億北街,,,,,,2號,120.71748768944,24.117162632677
臺中市太平區永成里11鄰長億北街12巷2號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,2號,120.71725500831,24.117171863646
臺中市太平區永成里11鄰長億北街12巷3號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,3號,120.71714202416,24.117148810204
臺中市太平區永成里11鄰長億北街12巷5號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,5號,120.71711017321,24.117183062821
臺中市太平區永成里11鄰長億北街12巷6號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,6號,120.71722680901,24.11720079572
臺中市太平區永成里11鄰長億北街6號,66,6602700,6602700-020,11鄰,長億北街,,,,,,6號,120.71744546435,24.11712761094
臺中市太平區永成里11鄰長億北街12巷7號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,7號,120.71707587931,24.117209816534
臺中市太平區永成里11鄰長億北街12巷8號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,8號,120.71719880625,24.117229818446
臺中市太平區永成里11鄰長億北街8號,66,6602700,6602700-020,11鄰,長億北街,,,,,,8號,120.71740658051,24.117094220658
臺中市太平區永成里11鄰長億北街12巷9號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,9號,120.71704855879,24.117241729892
臺中市太平區永成里11鄰長億北街10號,66,6602700,6602700-020,11鄰,長億北街,,,,,,10號,120.71736659334,24.117070489746
臺中市太平區永成里11鄰長億北街12巷10號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,10號,120.71717040462,24.117261278357
臺中市太平區永成里11鄰長億北街12巷11號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,11號,120.71702253106,24.117267325084
臺中市太平區永成里11鄰長億北街12巷12號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,12號,120.71714279454,24.117290662973
臺中市太平區永成里11鄰長億北街12巷13號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,13號,120.71698941505,24.117295254776
臺中市太平區永成里11鄰長億北街12巷15號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,15號,120.7169589542,24.117323640848
臺中市太平區永成里11鄰長億北街12巷16號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,16號,120.71711420149,24.11731968459
臺中市太平區永成里11鄰長億北街16號,66,6602700,6602700-020,11鄰,長億北街,,,,,,16號,120.7172565318,24.11701574872
臺中市太平區永成里11鄰長億北街12巷17號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,17號,120.71693292643,24.117349236024
臺中市太平區永成里11鄰長億北街12巷18號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,18號,120.71709013433,24.117348443702
臺中市太平區永成里11鄰長億北街18號,66,6602700,6602700-020,11鄰,長億北街,,,,,,18號,120.71723576115,24.116976974295
臺中市太平區永成里11鄰長億北街12巷19號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,19號,120.71687417405,24.117358969162
臺中市太平區永成里11鄰長億北街20號,66,6602700,6602700-020,11鄰,長億北街,,,,,,20號,120.71721732139,24.11695192882
臺中市太平區永成里11鄰長億北街12巷20號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,20號,120.71706085142,24.117378005793
臺中市太平區永成里11鄰長億北街12巷21號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,21號,120.71684242394,24.117392048091
臺中市太平區永成里11鄰長億北街12巷22號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,22號,120.71703747308,24.117406675878
臺中市太平區永成里11鄰長億北街22號,66,6602700,6602700-020,11鄰,長億北街,,,,,,22號,120.7171862895,24.116926860032
臺中市太平區永成里11鄰長億北街12巷23號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,23號,120.71685436234,24.117465659549
臺中市太平區永成里11鄰長億北街12巷25號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,25號,120.71682212408,24.117497021989
臺中市太平區永成里11鄰長億北街12巷26號,66,6602700,6602700-020,11鄰,長億北街,,12巷,,,,26號,120.71700661394,24.117437228269
