FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市大里區大里里15鄰長興一街101巷1號,66,6602800,6602800-001,15鄰,長興一街,,101巷,,,,1號,120.68078720314,24.097928164907
臺中市大里區大里里15鄰長興一街77巷1號,66,6602800,6602800-001,15鄰,長興一街,,77巷,,,,1號,120.68084788634,24.098486396877
臺中市大里區大里里1鄰長興一街42巷1號,66,6602800,6602800-001,1鄰,長興一街,,42巷,,,,1號,120.67957590687,24.098430643229
臺中市大里區大里里1鄰長興一街42巷2號,66,6602800,6602800-001,1鄰,長興一街,,42巷,,,,2號,120.67946948404,24.098468162869
臺中市大里區大里里15鄰長興一街77巷2號,66,6602800,6602800-001,15鄰,長興一街,,77巷,,,,2號,120.68041395212,24.098192848462
臺中市大里區大里里15鄰長興一街101巷2號,66,6602800,6602800-001,15鄰,長興一街,,101巷,,,,2號,120.68084066863,24.09786624478
臺中市大里區大里里15鄰長興一街77巷2之3號,66,6602800,6602800-001,15鄰,長興一街,,77巷,,,,2之3號,120.68041700513,24.098191319852
臺中市大里區大里里15鄰長興一街77巷2之4號,66,6602800,6602800-001,15鄰,長興一街,,77巷,,,,2之4號,120.68042715607,24.09818339523
臺中市大里區大里里15鄰長興一街77巷2之5號,66,6602800,6602800-001,15鄰,長興一街,,77巷,,,,2之5號,120.68043888595,24.098173397153
臺中市大里區大里里15鄰長興一街101巷3號,66,6602800,6602800-001,15鄰,長興一街,,101巷,,,,3號,120.68081910746,24.097953694345
臺中市大里區大里里1鄰長興一街42巷3號,66,6602800,6602800-001,1鄰,長興一街,,42巷,,,,3號,120.67953590379,24.098418460019
臺中市大里區大里里1鄰長興一街42巷4號,66,6602800,6602800-001,1鄰,長興一街,,42巷,,,,4號,120.67943252837,24.098456708372
臺中市大里區大里里15鄰長興一街77巷4號,66,6602800,6602800-001,15鄰,長興一街,,77巷,,,,4號,120.68046078251,24.098228431778
臺中市大里區大里里15鄰長興一街101巷4號,66,6602800,6602800-001,15鄰,長興一街,,101巷,,,,4號,120.68087865479,24.097898468637
臺中市大里區大里里15鄰長興一街77巷4之2號,66,6602800,6602800-001,15鄰,長興一街,,77巷,,,,4之2號,120.68046570528,24.098226545901
臺中市大里區大里里15鄰長興一街77巷4之3號,66,6602800,6602800-001,15鄰,長興一街,,77巷,,,,4之3號,120.68047782838,24.098216638936
臺中市大里區大里里15鄰長興一街77巷4之4號,66,6602800,6602800-001,15鄰,長興一街,,77巷,,,,4之4號,120.68048797932,24.09820871431
臺中市大里區大里里15鄰長興一街77巷4之5號,66,6602800,6602800-001,15鄰,長興一街,,77巷,,,,4之5號,120.6804997092,24.098198716228
臺中市大里區大里里1鄰長興一街42巷5號,66,6602800,6602800-001,1鄰,長興一街,,42巷,,,,5號,120.67949629529,24.098405826157
