FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市白河區永安里17鄰七賢街36巷1號,67,6700300,6700300-002,17鄰,七賢街,,36巷,,,,1號,120.41315106231,23.347276020393
臺南市白河區永安里17鄰七賢街39巷1號,67,6700300,6700300-002,17鄰,七賢街,,39巷,,,,1號,120.4128886689,23.347165322068
臺南市白河區永安里17鄰七賢街45巷1號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,1號,120.41300742978,23.347535546311
臺南市白河區永安里21鄰七賢街1號,67,6700300,6700300-002,21鄰,七賢街,,,,,,1號,120.41219140705,23.346291129295
臺南市白河區永安里17鄰七賢街45巷12弄2號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,2號,120.41261266875,23.34739103048
臺南市白河區永安里17鄰七賢街45巷2號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,2號,120.41297286372,23.347567653859
臺南市白河區永安里17鄰七賢街39巷2號,67,6700300,6700300-002,17鄰,七賢街,,39巷,,,,2號,120.41298140483,23.347293354138
臺南市白河區永安里17鄰七賢街36巷2號,67,6700300,6700300-002,17鄰,七賢街,,36巷,,,,2號,120.41304162257,23.347143501098
臺南市白河區永安里21鄰七賢街3號,67,6700300,6700300-002,21鄰,七賢街,,,,,,3號,120.41221758559,23.346320394507
臺南市白河區永安里17鄰七賢街45巷3號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,3號,120.41293431211,23.347572024321
臺南市白河區永安里17鄰七賢街36巷3號,67,6700300,6700300-002,17鄰,七賢街,,36巷,,,,3號,120.41322269947,23.347264820762
臺南市白河區永安里17鄰七賢街39巷3號,67,6700300,6700300-002,17鄰,七賢街,,39巷,,,,3號,120.41280519726,23.347176748066
臺南市白河區永安里17鄰七賢街45巷12弄4號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,4號,120.41257109901,23.347392319327
臺南市白河區永安里17鄰七賢街45巷4號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,4號,120.41289048466,23.347575201089
臺南市白河區永安里17鄰七賢街45巷5號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,5號,120.41285390844,23.347575154233
臺南市白河區永安里17鄰七賢街45巷12弄5號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,5號,120.4126530789,23.347253203505
臺南市白河區永安里17鄰七賢街39巷5號,67,6700300,6700300-002,17鄰,七賢街,,39巷,,,,5號,120.41273101661,23.347188118566
臺南市白河區永安里17鄰七賢街36巷5號,67,6700300,6700300-002,17鄰,七賢街,,36巷,,,,5號,120.41330159815,23.3472480497
臺南市白河區永安里21鄰七賢街5號,67,6700300,6700300-002,21鄰,七賢街,,,,,,5號,120.41223759467,23.346351532858
臺南市白河區永安里17鄰七賢街36巷6號,67,6700300,6700300-002,17鄰,七賢街,,36巷,,,,6號,120.41311503707,23.347128425273
臺南市白河區永安里17鄰七賢街39巷6號,67,6700300,6700300-002,17鄰,七賢街,,39巷,,,,6號,120.41291981601,23.347310189942
臺南市白河區永安里17鄰七賢街45巷12弄6號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,6號,120.4125258973,23.347396664739
臺南市白河區永安里17鄰七賢街45巷6號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,6號,120.4128157345,23.347582596285
臺南市白河區永安里21鄰七賢街7號,67,6700300,6700300-002,21鄰,七賢街,,,,,,7號,120.41227726422,23.346404146132
臺南市白河區永安里17鄰七賢街45巷7號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,7號,120.41277720036,23.347582993569
臺南市白河區永安里17鄰七賢街45巷12弄7號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,7號,120.41260778024,23.347257367977
臺南市白河區永安里17鄰七賢街36巷7號,67,6700300,6700300-002,17鄰,七賢街,,36巷,,,,7號,120.41337988661,23.347236604019
臺南市白河區永安里17鄰七賢街36巷8號,67,6700300,6700300-002,17鄰,七賢街,,36巷,,,,8號,120.41318738414,23.347111449109
臺南市白河區永安里17鄰七賢街39巷8號,67,6700300,6700300-002,17鄰,七賢街,,39巷,,,,8號,120.41283380038,23.347321877314
臺南市白河區永安里17鄰七賢街45巷12弄8號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,8號,120.41248470007,23.347402199066
臺南市白河區永安里17鄰七賢街45巷8號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,8號,120.41273815937,23.347587452447
臺南市白河區永安里17鄰七賢街45巷9號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,9號,120.41269999456,23.347592817603
臺南市白河區永安里17鄰七賢街45巷12弄9號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,9號,120.41256620061,23.347260914289
臺南市白河區永安里17鄰七賢街39巷10號,67,6700300,6700300-002,17鄰,七賢街,,39巷,,,,10號,120.41277321101,23.34735605443
臺南市白河區永安里17鄰七賢街36巷10號,67,6700300,6700300-002,17鄰,七賢街,,36巷,,,,10號,120.41326828825,23.347083398064
臺南市白河區永安里17鄰七賢街45巷10號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,10號,120.41265870981,23.347596003843
臺南市白河區永安里17鄰七賢街45巷12弄10號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,10號,120.41243989113,23.347406184726
臺南市白河區永安里17鄰七賢街45巷12弄11號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,11號,120.41252315761,23.347263642399
臺南市白河區永安里17鄰七賢街45巷11號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,11號,120.41261674445,23.347598284518
臺南市白河區永安里17鄰七賢街45巷12弄13號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,13號,120.41248685022,23.347269195074
臺南市白河區永安里17鄰七賢街45巷12弄15號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,15號,120.41244450292,23.347269397369
臺南市白河區永安里21鄰七賢街16號,67,6700300,6700300-002,21鄰,七賢街,,,,,,16號,120.41258016571,23.346554277986
臺南市白河區永安里17鄰七賢街45巷12弄17號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,17號,120.41240388058,23.347277642835
臺南市白河區永安里21鄰七賢街17號,67,6700300,6700300-002,21鄰,七賢街,,,,,,17號,120.41244223624,23.346606766636
臺南市白河區永安里21鄰七賢街18號,67,6700300,6700300-002,21鄰,七賢街,,,,,,18號,120.41260662506,23.346586433792
臺南市白河區永安里17鄰七賢街45巷12弄19號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,19號,120.41236347647,23.347280742004
臺南市白河區永安里17鄰七賢街45巷19號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,19號,120.41270153866,23.34746414574
臺南市白河區永安里21鄰七賢街20號,67,6700300,6700300-002,21鄰,七賢街,,,,,,20號,120.41263296317,23.346623916845
臺南市白河區永安里17鄰七賢街45巷20號,67,6700300,6700300-002,17鄰,七賢街,,45巷,,,,20號,120.4126989712,23.347425307062
臺南市白河區永安里17鄰七賢街45巷12弄21號,67,6700300,6700300-002,17鄰,七賢街,,45巷,12弄,,,21號,120.4123235546,23.347285378074
臺南市白河區永安里17鄰七賢街27號,67,6700300,6700300-002,17鄰,七賢街,,,,,,27號,120.41276712333,23.346983633929
臺南市白河區永安里17鄰七賢街29號,67,6700300,6700300-002,17鄰,七賢街,,,,,,29號,120.41280027034,23.347029540401
臺南市白河區永安里17鄰七賢街41號,67,6700300,6700300-002,17鄰,七賢街,,,,,,41號,120.41308074198,23.347388090156
臺南市白河區永安里17鄰七賢街42號,67,6700300,6700300-002,17鄰,七賢街,,,,,,42號,120.41325980872,23.347432827746
臺南市白河區永安里17鄰七賢街42之1號,67,6700300,6700300-002,17鄰,七賢街,,,,,,42之1號,120.41328256444,23.347462170256
臺南市白河區永安里17鄰七賢街43號,67,6700300,6700300-002,17鄰,七賢街,,,,,,43號,120.41308359976,23.347427652318
臺南市白河區永安里17鄰七賢街46號,67,6700300,6700300-002,17鄰,七賢街,,,,,,46號,120.4133093072,23.347496674809
臺南市白河區永安里17鄰七賢街47號,67,6700300,6700300-002,17鄰,七賢街,,,,,,47號,120.41312384034,23.347528487783
臺南市白河區永安里17鄰七賢街48號,67,6700300,6700300-002,17鄰,七賢街,,,,,,48號,120.41333586391,23.347529011459
臺南市白河區永安里17鄰七賢街49號,67,6700300,6700300-002,17鄰,七賢街,,,,,,49號,120.41317324111,23.347547816566
臺南市白河區永安里17鄰七賢街51號,67,6700300,6700300-002,17鄰,七賢街,,,,,,51號,120.41319958274,23.347584577137
臺南市白河區永安里5鄰七賢街97號,67,6700300,6700300-002,5鄰,七賢街,,,,,,97號,120.41385670601,23.348404344869
臺南市白河區永安里5鄰七賢街98號,67,6700300,6700300-002,5鄰,七賢街,,,,,,98號,120.41401055898,23.348378462837
臺南市白河區永安里5鄰七賢街99號,67,6700300,6700300-002,5鄰,七賢街,,,,,,99號,120.41390191872,23.348464383099
臺南市白河區永安里5鄰七賢街100號,67,6700300,6700300-002,5鄰,七賢街,,,,,,100號,120.41405099436,23.348435142041
臺南市白河區永安里5鄰七賢街101號,67,6700300,6700300-002,5鄰,七賢街,,,,,,101號,120.4139318598,23.348505581728
臺南市白河區永安里5鄰七賢街103號,67,6700300,6700300-002,5鄰,七賢街,,,,,,103號,120.41396327023,23.348546244051
臺南市白河區永安里5鄰七賢街105號,67,6700300,6700300-002,5鄰,七賢街,,,,,,105號,120.41401017611,23.34859933548
臺南市白河區永安里5鄰七賢街107號,67,6700300,6700300-002,5鄰,七賢街,,,,,,107號,120.41403138608,23.348624427992
臺南市白河區永安里5鄰七賢街109號,67,6700300,6700300-002,5鄰,七賢街,,,,,,109號,120.41404681373,23.348652298165
臺南市白河區永安里5鄰七賢街111號,67,6700300,6700300-002,5鄰,七賢街,,,,,,111號,120.41406471406,23.348673856583
臺南市白河區永安里5鄰七賢街115號,67,6700300,6700300-002,5鄰,七賢街,,,,,,115號,120.41410726849,23.348760252438
臺南市白河區永安里5鄰七賢街117號,67,6700300,6700300-002,5鄰,七賢街,,,,,,117號,120.41412778985,23.34880854949
臺南市白河區永安里5鄰七賢街119號,67,6700300,6700300-002,5鄰,七賢街,,,,,,119號,120.41412542061,23.348880419511
