FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市安平區金城里10鄰世平一街1號,67,6703600,6703600-002,10鄰,世平一街,,,,,,1號,120.15177577941,22.995431655162
臺南市安平區金城里10鄰世平一街1之1號,67,6703600,6703600-002,10鄰,世平一街,,,,,,1之1號,120.15166369629,22.995527134685
臺南市安平區金城里14鄰世平一街8巷2號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,2號,120.15142937156,22.995579879309
臺南市安平區金城里14鄰世平一街8巷4號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,4號,120.15141374651,22.995614109794
臺南市安平區金城里10鄰世平一街5號,67,6703600,6703600-002,10鄰,世平一街,,,,,,5號,120.15164773494,22.995396655289
臺南市安平區金城里11鄰世平一街5之1號,67,6703600,6703600-002,11鄰,世平一街,,,,,,5之1號,120.1514918045,22.99536006114
臺南市安平區金城里14鄰世平一街8巷6號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,6號,120.15140114505,22.995648356474
臺南市安平區金城里14鄰世平一街6號,67,6703600,6703600-002,14鄰,世平一街,,,,,,6號,120.15152580329,22.995632138033
臺南市安平區金城里14鄰世平一街8巷8號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,8號,120.15139008609,22.995685501031
臺南市安平區金城里12鄰世平一街58巷9號,67,6703600,6703600-002,12鄰,世平一街,,58巷,,,,9號,120.14979950277,22.995043830372
臺南市安平區金城里14鄰世平一街8巷10號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,10號,120.15137748462,22.995719747709
臺南市安平區金城里14鄰世平一街8巷12號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,12號,120.15136496261,22.995756884426
臺南市安平區金城里14鄰世平一街12號,67,6703600,6703600-002,14鄰,世平一街,,,,,,12號,120.1511865323,22.995496766027
臺南市安平區金城里14鄰世平一街8巷14號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,14號,120.15135081862,22.995788233222
臺南市安平區金城里14鄰世平一街8巷16號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,16號,120.1513382081,22.995823924654
臺南市安平區金城里14鄰世平一街16號,67,6703600,6703600-002,14鄰,世平一街,,,,,,16號,120.15115450924,22.995486029275
臺南市安平區金城里13鄰世平一街72巷16號,67,6703600,6703600-002,13鄰,世平一街,,72巷,,,,16號,120.14949154169,22.994946323285
臺南市安平區金城里12鄰世平一街58巷16號,67,6703600,6703600-002,12鄰,世平一街,,58巷,,,,16號,120.14998644708,22.995118202735
臺南市安平區金城里12鄰世平一街58巷17號,67,6703600,6703600-002,12鄰,世平一街,,58巷,,,,17號,120.14965014516,22.995241193065
臺南市安平區金城里14鄰世平一街8巷18號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,18號,120.1513287187,22.995859632807
臺南市安平區金城里14鄰世平一街18號,67,6703600,6703600-002,14鄰,世平一街,,,,,,18號,120.15110740605,22.995469161572
臺南市安平區金城里14鄰世平一街8巷20號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,20號,120.15131633146,22.99589081041
臺南市安平區金城里14鄰世平一街20號,67,6703600,6703600-002,14鄰,世平一街,,,,,,20號,120.15106372732,22.995450596499
臺南市安平區金城里13鄰世平一街72巷21號,67,6703600,6703600-002,13鄰,世平一街,,72巷,,,,21號,120.14918521974,22.994892394386
臺南市安平區金城里10鄰世平一街21號,67,6703600,6703600-002,10鄰,世平一街,,,,,,21號,120.15120669569,22.995345078947
臺南市安平區金城里13鄰世平一街72巷22號,67,6703600,6703600-002,13鄰,世平一街,,72巷,,,,22號,120.14942490386,22.995058389572
臺南市安平區金城里14鄰世平一街8巷22號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,22號,120.15119734175,22.995920784726
臺南市安平區金城里14鄰世平一街22號,67,6703600,6703600-002,14鄰,世平一街,,,,,,22號,120.15103142523,22.995437691015
臺南市安平區金城里13鄰世平一街72巷23號,67,6703600,6703600-002,13鄰,世平一街,,72巷,,,,23號,120.14914404596,22.99494111609
臺南市安平區金城里10鄰世平一街23號,67,6703600,6703600-002,10鄰,世平一街,,,,,,23號,120.15114340565,22.995327492419
臺南市安平區金城里10鄰世平一街25號,67,6703600,6703600-002,10鄰,世平一街,,,,,,25號,120.15100279583,22.995227408346
臺南市安平區金城里14鄰世平一街8巷26號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,26號,120.15123597363,22.995935349503
臺南市安平區金城里14鄰世平一街26號,67,6703600,6703600-002,14鄰,世平一街,,,,,,26號,120.15099155492,22.995418423929
臺南市安平區金城里10鄰世平一街27號,67,6703600,6703600-002,10鄰,世平一街,,,,,,27號,120.15094435696,22.995182757594
臺南市安平區金城里14鄰世平一街8巷28號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,28號,120.15127980538,22.995945065904
臺南市安平區金城里14鄰世平一街28號,67,6703600,6703600-002,14鄰,世平一街,,,,,,28號,120.15095167051,22.99540141427
臺南市安平區金城里14鄰世平一街8巷30號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,30號,120.15131710169,22.99595483758
臺南市安平區金城里14鄰世平一街30號,67,6703600,6703600-002,14鄰,世平一街,,,,,,30號,120.15089892557,22.995382078155
臺南市安平區金城里14鄰世平一街8巷32號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,32號,120.15129996713,22.996012086586
臺南市安平區金城里14鄰世平一街8巷36號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,36號,120.15125877672,22.996001120135
臺南市安平區金城里14鄰世平一街8巷38號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,38號,120.15121886162,22.995988986601
臺南市安平區金城里14鄰世平一街8巷40號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,40號,120.15117630572,22.995978012812
臺南市安平區金城里14鄰世平一街8巷50號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,50號,120.15114501294,22.996131265642
臺南市安平區金城里14鄰世平一街8巷52號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,52號,120.1511290864,22.99619809295
臺南市安平區金城里12鄰世平一街55號,67,6703600,6703600-002,12鄰,世平一街,,,,,,55號,120.14880912169,22.993864109212
臺南市安平區金城里12鄰世平一街56號,67,6703600,6703600-002,12鄰,世平一街,,,,,,56號,120.15016524157,22.994945694811
臺南市安平區金城里14鄰世平一街8巷56號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,56號,120.15111065384,22.9962601209
臺南市安平區金城里14鄰世平一街8巷58號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,58號,120.15108958779,22.996322134735
臺南市安平區金城里14鄰世平一街8巷60號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,60號,120.15107369903,22.996382912105
臺南市安平區金城里14鄰世平一街8巷62號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,62號,120.15105270056,22.996449712219
臺南市安平區金城里14鄰世平一街8巷66號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,66號,120.15102776293,22.996506919368
臺南市安平區金城里12鄰世平一街66號,67,6703600,6703600-002,12鄰,世平一街,,,,,,66號,120.1500033016,22.994840890118
臺南市安平區金城里12鄰世平一街68號,67,6703600,6703600-002,12鄰,世平一街,,,,,,68號,120.14988241695,22.994784164843
臺南市安平區金城里14鄰世平一街8巷68號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,68號,120.15100164018,22.996566467972
臺南市安平區金城里14鄰世平一街8巷70號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,70號,120.15097936535,22.996618993758
臺南市安平區金城里14鄰世平一街8巷72號,67,6703600,6703600-002,14鄰,世平一街,,8巷,,,,72號,120.15095189963,22.996674923135
臺南市安平區金城里13鄰世平一街100號,67,6703600,6703600-002,13鄰,世平一街,,,,,,100號,120.14920764023,22.99439640405
