FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市永康區大灣里2鄰中灣一街38巷5號,67,6703100,6703100-012,2鄰,中灣一街,,38巷,,,,5號,120.26545517956,23.010596648274
臺南市永康區大灣里2鄰中灣一街38巷6號,67,6703100,6703100-012,2鄰,中灣一街,,38巷,,,,6號,120.26571888597,23.010628032354
臺南市永康區大灣里1鄰中灣一街6號,67,6703100,6703100-012,1鄰,中灣一街,,,,,,6號,120.26610453167,23.010461045799
臺南市永康區大灣里2鄰中灣一街38巷8號,67,6703100,6703100-012,2鄰,中灣一街,,38巷,,,,8號,120.26572386058,23.010664176249
臺南市永康區大灣里2鄰中灣一街18號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,18號,120.26600870002,23.010431704912
臺南市永康區大灣里2鄰中灣一街19號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,19號,120.26623842402,23.010343190037
臺南市永康區大灣里2鄰中灣一街20號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,20號,120.26596972937,23.010422494042
臺南市永康區大灣里2鄰中灣一街22號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,22號,120.26592861267,23.010413273212
臺南市永康區大灣里2鄰中灣一街23號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,23號,120.26614904644,23.010220777709
臺南市永康區大灣里2鄰中灣一街25號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,25號,120.26615914092,23.010067852781
臺南市永康區大灣里2鄰中灣一街26號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,26號,120.26588827635,23.01040405599
臺南市永康區大灣里2鄰中灣一街28號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,28號,120.26584459896,23.01039933837
臺南市永康區大灣里2鄰中灣一街31號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,31號,120.26597407505,23.010214277616
臺南市永康區大灣里2鄰中灣一街32號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,32號,120.26575068759,23.010375695263
臺南市永康區大灣里2鄰中灣一街33號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,33號,120.26597945275,23.010175924166
臺南市永康區大灣里2鄰中灣一街35號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,35號,120.2659840958,23.010093048389
臺南市永康區大灣里2鄰中灣一街36號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,36號,120.265696109,23.010384472357
臺南市永康區大灣里2鄰中灣一街56號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,56號,120.26522239307,23.010277795197
臺南市永康區大灣里2鄰中灣一街58號,67,6703100,6703100-012,2鄰,中灣一街,,,,,,58號,120.26528192729,23.010326653975
