FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市新營區五興里1鄰五間厝1號,67,6700100,6700100-025,1鄰,五間厝,,,,,,1號,120.27558898341,23.272970285449
臺南市新營區五興里1鄰五間厝1之1號,67,6700100,6700100-025,1鄰,五間厝,,,,,,1之1號,120.27631340249,23.272760791929
臺南市新營區五興里1鄰五間厝1之6號,67,6700100,6700100-025,1鄰,五間厝,,,,,,1之6號,120.27631342034,23.272250872088
臺南市新營區五興里1鄰五間厝2號,67,6700100,6700100-025,1鄰,五間厝,,,,,,2號,120.27575963255,23.274020259862
臺南市新營區五興里1鄰五間厝2之6號,67,6700100,6700100-025,1鄰,五間厝,,,,,,2之6號,120.27523409179,23.274070839525
臺南市新營區五興里1鄰五間厝4號,67,6700100,6700100-025,1鄰,五間厝,,,,,,4號,120.2755054217,23.273691842178
臺南市新營區五興里1鄰五間厝5號,67,6700100,6700100-025,1鄰,五間厝,,,,,,5號,120.27531919666,23.273570252365
臺南市新營區五興里1鄰五間厝6號,67,6700100,6700100-025,1鄰,五間厝,,,,,,6號,120.27532905129,23.273790266799
臺南市新營區五興里1鄰五間厝8號,67,6700100,6700100-025,1鄰,五間厝,,,,,,8號,120.27510960596,23.27419027229
臺南市新營區五興里1鄰五間厝9號,67,6700100,6700100-025,1鄰,五間厝,,,,,,9號,120.27480870075,23.274200259924
臺南市新營區五興里1鄰五間厝10號,67,6700100,6700100-025,1鄰,五間厝,,,,,,10號,120.2747312224,23.274140304425
臺南市新營區五興里1鄰五間厝11號,67,6700100,6700100-025,1鄰,五間厝,,,,,,11號,120.27482524244,23.27441262982
臺南市新營區五興里1鄰五間厝13號,67,6700100,6700100-025,1鄰,五間厝,,,,,,13號,120.27488122281,23.274670241238
臺南市新營區五興里1鄰五間厝14號,67,6700100,6700100-025,1鄰,五間厝,,,,,,14號,120.2750611339,23.274640280325
臺南市新營區五興里2鄰五間厝15號,67,6700100,6700100-025,2鄰,五間厝,,,,,,15號,120.27588338016,23.27465202249
臺南市新營區五興里2鄰五間厝15之1號,67,6700100,6700100-025,2鄰,五間厝,,,,,,15之1號,120.27587566502,23.274650813004
臺南市新營區五興里2鄰五間厝15之3號,67,6700100,6700100-025,2鄰,五間厝,,,,,,15之3號,120.27610556355,23.274540895795
臺南市新營區五興里2鄰五間厝15之4號,67,6700100,6700100-025,2鄰,五間厝,,,,,,15之4號,120.27608561613,23.274650878554
臺南市新營區五興里2鄰五間厝15之6號,67,6700100,6700100-025,2鄰,五間厝,,,,,,15之6號,120.27611806743,23.274777356859
臺南市新營區五興里2鄰五間厝15之12號,67,6700100,6700100-025,2鄰,五間厝,,,,,,15之12號,120.27791779016,23.274290897802
臺南市新營區五興里2鄰五間厝16號,67,6700100,6700100-025,2鄰,五間厝,,,,,,16號,120.27533123305,23.274290354006
臺南市新營區五興里2鄰五間厝16之2號,67,6700100,6700100-025,2鄰,五間厝,,,,,,16之2號,120.27527561832,23.274470876257
臺南市新營區五興里2鄰五間厝18號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18號,120.27549113447,23.275050328112
臺南市新營區五興里2鄰五間厝18之1號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之1號,120.27569923347,23.274453056258
臺南市新營區五興里2鄰五間厝18之4號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之4號,120.27552565533,23.27501093641
臺南市新營區五興里2鄰五間厝18之5號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之5號,120.27553564622,23.274970889675
臺南市新營區五興里2鄰五間厝18之6號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之6號,120.27554559309,23.274920909821
臺南市新營區五興里2鄰五間厝18之7號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之7號,120.27555563769,23.274870930417
臺南市新營區五興里2鄰五間厝18之8號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之8號,120.27557559809,23.274830929696
臺南市新營區五興里2鄰五間厝18之9號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之9號,120.27558564267,23.274780950289
臺南市新營區五興里2鄰五間厝18之10號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之10號,120.27560780705,23.274731026821
臺南市新營區五興里2鄰五間厝18之11號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之11號,120.27561785258,23.274680866817
臺南市新營區五興里2鄰五間厝18之12號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之12號,120.27563786665,23.274630933419
臺南市新營區五興里2鄰五間厝18之13號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之13號,120.2757378284,23.275250937729
臺南市新營區五興里2鄰五間厝18之14號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之14號,120.27578775215,23.275200961743
臺南市新營區五興里2鄰五間厝18之15號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之15號,120.27579784072,23.275160915441
臺南市新營區五興里2鄰五間厝18之16號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之16號,120.27579780732,23.275130935945
臺南市新營區五興里2鄰五間厝18之17號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之17號,120.2758077541,23.275080956073
臺南市新營區五興里2鄰五間厝18之18號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之18號,120.27581784266,23.275040909769
臺南市新營區五興里2鄰五間厝18之19號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之19號,120.27582783298,23.27500095331
臺南市新營區五興里2鄰五間厝18之20號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之20號,120.27583787748,23.274950973886
臺南市新營區五興里2鄰五間厝18之21號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之21號,120.27584411997,23.274917230778
臺南市新營區五興里2鄰五間厝18之22號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之22號,120.27584783486,23.27488094763
臺南市新營區五興里2鄰五間厝18之23號,67,6700100,6700100-025,2鄰,五間厝,,,,,,18之23號,120.27585787935,23.274830968204
臺南市新營區五興里2鄰五間厝19號,67,6700100,6700100-025,2鄰,五間厝,,,,,,19號,120.27539123382,23.274690295405
臺南市新營區五興里2鄰五間厝19之6號,67,6700100,6700100-025,2鄰,五間厝,,,,,,19之6號,120.27537567216,23.274910914854
臺南市新營區五興里2鄰五間厝19之7號,67,6700100,6700100-025,2鄰,五間厝,,,,,,19之7號,120.27533559758,23.27491091042
臺南市新營區五興里2鄰五間厝20號,67,6700100,6700100-025,2鄰,五間厝,,,,,,20號,120.27501185175,23.274770354452
臺南市新營區五興里2鄰五間厝21號,67,6700100,6700100-025,2鄰,五間厝,,,,,,21號,120.27491189686,23.27498038016
臺南市新營區五興里2鄰五間厝22號,67,6700100,6700100-025,2鄰,五間厝,,,,,,22號,120.27475938795,23.274949786449
