FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市學甲區新榮里6鄰仁安街5號,67,6701300,6701300-002,6鄰,仁安街,,,,,,5號,120.18031470859,23.222197632068
臺南市學甲區新榮里6鄰仁安街29號,67,6701300,6701300-002,6鄰,仁安街,,,,,,29號,120.17987525171,23.222579740546
臺南市學甲區新榮里6鄰仁安街57號,67,6701300,6701300-002,6鄰,仁安街,,,,,,57號,120.17924604762,23.222978555706
臺南市學甲區新榮里6鄰仁安街61號,67,6701300,6701300-002,6鄰,仁安街,,,,,,61號,120.17917082051,23.2230257502
臺南市學甲區新榮里6鄰仁安街63號,67,6701300,6701300-002,6鄰,仁安街,,,,,,63號,120.17912746192,23.2230541484
臺南市學甲區新榮里6鄰仁安街65號,67,6701300,6701300-002,6鄰,仁安街,,,,,,65號,120.17909181945,23.223082948072
臺南市學甲區新榮里6鄰仁安街67號,67,6701300,6701300-002,6鄰,仁安街,,,,,,67號,120.17905432231,23.223111467156
臺南市學甲區新榮里6鄰仁安街69號,67,6701300,6701300-002,6鄰,仁安街,,,,,,69號,120.17902350576,23.223149953939
臺南市學甲區新榮里6鄰仁安街71號,67,6701300,6701300-002,6鄰,仁安街,,,,,,71號,120.17898126101,23.223171946728
臺南市學甲區新榮里6鄰仁安街73號,67,6701300,6701300-002,6鄰,仁安街,,,,,,73號,120.17894128984,23.22320559987
臺南市學甲區新榮里6鄰仁安街75號,67,6701300,6701300-002,6鄰,仁安街,,,,,,75號,120.17890771004,23.223232604303
臺南市學甲區新榮里6鄰仁安街77號,67,6701300,6701300-002,6鄰,仁安街,,,,,,77號,120.17887041816,23.223259499042
臺南市學甲區新榮里6鄰仁安街79號,67,6701300,6701300-002,6鄰,仁安街,,,,,,79號,120.1788298061,23.223286105533
臺南市學甲區新榮里6鄰仁安街81號,67,6701300,6701300-002,6鄰,仁安街,,,,,,81號,120.17878713126,23.223314507206
臺南市學甲區新榮里6鄰仁安街83號,67,6701300,6701300-002,6鄰,仁安街,,,,,,83號,120.17874944908,23.223341309577
臺南市學甲區新榮里6鄰仁安街85號,67,6701300,6701300-002,6鄰,仁安街,,,,,,85號,120.17871089034,23.223367655867
臺南市學甲區新榮里6鄰仁安街87號,67,6701300,6701300-002,6鄰,仁安街,,,,,,87號,120.17866987968,23.223395524411
臺南市學甲區新榮里6鄰仁安街89號,67,6701300,6701300-002,6鄰,仁安街,,,,,,89號,120.17862974941,23.223423216945
臺南市學甲區新榮里6鄰仁安街91號,67,6701300,6701300-002,6鄰,仁安街,,,,,,91號,120.17859147213,23.223451460942
臺南市學甲區新榮里6鄰仁安街93號,67,6701300,6701300-002,6鄰,仁安街,,,,,,93號,120.17855231442,23.223479880924
臺南市學甲區新榮里6鄰仁安街109號,67,6701300,6701300-002,6鄰,仁安街,,,,,,109號,120.17790346015,23.223975026442
臺南市學甲區新榮里6鄰仁安街111號,67,6701300,6701300-002,6鄰,仁安街,,,,,,111號,120.17786294484,23.224001723476
臺南市學甲區新榮里6鄰仁安街117號,67,6701300,6701300-002,6鄰,仁安街,,,,,,117號,120.17775239147,23.224089637667
臺南市學甲區新榮里6鄰仁安街119號,67,6701300,6701300-002,6鄰,仁安街,,,,,,119號,120.17771060044,23.224117230971
臺南市學甲區新榮里6鄰仁安街121號,67,6701300,6701300-002,6鄰,仁安街,,,,,,121號,120.17767144069,23.224145921607
