FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市佳里區安西里30鄰佳西路486巷1號,67,6701200,6701200-005,30鄰,佳西路,,486巷,,,,1號,120.16949965778,23.167763356368
臺南市佳里區安西里30鄰佳西路493巷22弄1號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,1號,120.16861486127,23.168153474849
臺南市佳里區安西里30鄰佳西路525巷1號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,1號,120.16945256347,23.168494980222
臺南市佳里區安西里30鄰佳西路525巷8弄1號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,1號,120.16943506076,23.168814997328
臺南市佳里區安西里30鄰佳西路562巷1號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,1號,120.1702184996,23.168755195355
臺南市佳里區安西里41鄰佳西路148巷1號,67,6701200,6701200-005,41鄰,佳西路,,148巷,,,,1號,120.16795265198,23.162297799004
臺南市佳里區安西里30鄰佳西路562巷2號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,2號,120.17014371045,23.168624951545
臺南市佳里區安西里30鄰佳西路525巷8弄2號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,2號,120.16951090422,23.168679226621
臺南市佳里區安西里30鄰佳西路525巷2號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,2號,120.16950373969,23.168574080984
臺南市佳里區安西里30鄰佳西路493巷22弄2號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,2號,120.16880661619,23.168020212575
臺南市佳里區安西里41鄰佳西路148巷2號,67,6701200,6701200-005,41鄰,佳西路,,148巷,,,,2號,120.16796258176,23.162081585599
臺南市佳里區安西里41鄰佳西路130巷2號,67,6701200,6701200-005,41鄰,佳西路,,130巷,,,,2號,120.16794028295,23.161644240557
臺南市佳里區安西里41鄰佳西路183巷2號,67,6701200,6701200-005,41鄰,佳西路,,183巷,,,,2號,120.16731683817,23.162353585184
臺南市佳里區安西里30鄰佳西路493巷22弄3號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,3號,120.16864228115,23.168188926434
臺南市佳里區安西里30鄰佳西路486巷3號,67,6701200,6701200-005,30鄰,佳西路,,486巷,,,,3號,120.16954065124,23.167735760474
臺南市佳里區安西里30鄰佳西路525巷3號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,3號,120.16942666353,23.168513896694
臺南市佳里區安西里30鄰佳西路525巷8弄3號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,3號,120.16943489866,23.168841273437
臺南市佳里區安西里30鄰佳西路562巷3號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,3號,120.17024962003,23.168729082347
臺南市佳里區安西里41鄰佳西路148巷3號,67,6701200,6701200-005,41鄰,佳西路,,148巷,,,,3號,120.16800342534,23.16229933136
臺南市佳里區安西里30鄰佳西路486巷5號,67,6701200,6701200-005,30鄰,佳西路,,486巷,,,,5號,120.1695879133,23.167705217758
臺南市佳里區安西里30鄰佳西路493巷22弄5號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,5號,120.16867051077,23.168219777048
臺南市佳里區安西里30鄰佳西路562巷5號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,5號,120.17028224625,23.168712187749
臺南市佳里區安西里30鄰佳西路525巷8弄5號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,5號,120.16943737341,23.168867563451
臺南市佳里區安西里30鄰佳西路525巷5號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,5號,120.16940324855,23.168525782957
臺南市佳里區安西里35鄰佳西路310巷5號,67,6701200,6701200-005,35鄰,佳西路,,310巷,,,,5號,120.1682980053,23.164807222769
臺南市佳里區安西里41鄰佳西路148巷5號,67,6701200,6701200-005,41鄰,佳西路,,148巷,,,,5號,120.16805821487,23.162298898334
臺南市佳里區安西里30鄰佳西路525巷6號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,6號,120.16947263365,23.168597846148
臺南市佳里區安西里30鄰佳西路525巷8弄6號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,6號,120.16950813482,23.168700703143
臺南市佳里區安西里30鄰佳西路562巷6號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,6號,120.1701733281,23.168604970955
臺南市佳里區安西里30鄰佳西路493巷22弄6號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,6號,120.16883385749,23.16805295422
臺南市佳里區安西里41鄰佳西路148巷6號,67,6701200,6701200-005,41鄰,佳西路,,148巷,,,,6號,120.16801032324,23.162083824329
臺南市佳里區安西里41鄰佳西路130巷6號,67,6701200,6701200-005,41鄰,佳西路,,130巷,,,,6號,120.16798774749,23.161643859159
臺南市佳里區安西里41鄰佳西路183巷6號,67,6701200,6701200-005,41鄰,佳西路,,183巷,,,,6號,120.16727513342,23.162354267719
臺南市佳里區安西里30鄰佳西路486巷7號,67,6701200,6701200-005,30鄰,佳西路,,486巷,,,,7號,120.16961368954,23.167801341347
臺南市佳里區安西里30鄰佳西路562巷7號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,7號,120.17031412957,23.168689058609
臺南市佳里區安西里30鄰佳西路525巷8弄7號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,7號,120.16943722579,23.168891491866
臺南市佳里區安西里30鄰佳西路525巷7號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,7號,120.16936444235,23.168547069422
臺南市佳里區安西里30鄰佳西路493巷22弄7號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,7號,120.16869279091,23.168249332071
臺南市佳里區安西里35鄰佳西路310巷7號,67,6701200,6701200-005,35鄰,佳西路,,310巷,,,,7號,120.16836707894,23.16478699933
臺南市佳里區安西里39鄰佳西路299巷7號,67,6701200,6701200-005,39鄰,佳西路,,299巷,,,,7號,120.16735906542,23.163579435035
臺南市佳里區安西里30鄰佳西路525巷8弄8號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,8號,120.16950800226,23.168722193569
臺南市佳里區安西里30鄰佳西路493巷22弄8號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,8號,120.16886109937,23.168085605565
臺南市佳里區安西里30鄰佳西路562巷8號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,8號,120.17020991415,23.168579428545
臺南市佳里區安西里41鄰佳西路148巷8號,67,6701200,6701200-005,41鄰,佳西路,,148巷,,,,8號,120.16806267909,23.162082114261
臺南市佳里區安西里41鄰佳西路183巷8號,67,6701200,6701200-005,41鄰,佳西路,,183巷,,,,8號,120.1672289404,23.162354294422
臺南市佳里區安西里39鄰佳西路310巷8號,67,6701200,6701200-005,39鄰,佳西路,,310巷,,,,8號,120.16808875751,23.164658479121
臺南市佳里區安西里30鄰佳西路486巷9號,67,6701200,6701200-005,30鄰,佳西路,,486巷,,,,9號,120.1696350469,23.167838024986
臺南市佳里區安西里30鄰佳西路493巷22弄9號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,9號,120.16872121586,23.168280183707
臺南市佳里區安西里30鄰佳西路562巷9號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,9號,120.17033712186,23.168666514718
臺南市佳里區安西里30鄰佳西路525巷8弄9號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,9號,120.16943438284,23.168924887445
臺南市佳里區安西里30鄰佳西路525巷9號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,9號,120.16934098335,23.168566089052
臺南市佳里區安西里35鄰佳西路310巷9號,67,6701200,6701200-005,35鄰,佳西路,,310巷,,,,9號,120.16842380082,23.164774295757
臺南市佳里區安西里39鄰佳西路299巷9號,67,6701200,6701200-005,39鄰,佳西路,,299巷,,,,9號,120.16737737166,23.163682924004
臺南市佳里區安西里30鄰佳西路525巷8弄10號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,10號,120.16950781066,23.168753255362
臺南市佳里區安西里30鄰佳西路562巷10號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,10號,120.17024246383,23.168559102194
臺南市佳里區安西里30鄰佳西路525巷10號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,10號,120.1693688964,23.168664120216
臺南市佳里區安西里30鄰佳西路493巷22弄10號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,10號,120.16888824304,23.168118346686
臺南市佳里區安西里41鄰佳西路183巷10號,67,6701200,6701200-005,41鄰,佳西路,,183巷,,,,10號,120.16717485008,23.162352202487
臺南市佳里區安西里39鄰佳西路310巷10號,67,6701200,6701200-005,39鄰,佳西路,,310巷,,,,10號,120.16816021913,23.164694343982
臺南市佳里區安西里30鄰佳西路486巷11號,67,6701200,6701200-005,30鄰,佳西路,,486巷,,,,11號,120.16966638676,23.167871329893
臺南市佳里區安西里30鄰佳西路493巷22弄11號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,11號,120.16875262259,23.16831845558
臺南市佳里區安西里30鄰佳西路525巷11號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,11號,120.16931511291,23.168580219822
臺南市佳里區安西里30鄰佳西路562巷11號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,11號,120.17037113311,23.168646737833
臺南市佳里區安西里30鄰佳西路525巷8弄11號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,11號,120.16943419122,23.168955949236
臺南市佳里區安西里35鄰佳西路310巷11號,67,6701200,6701200-005,35鄰,佳西路,,310巷,,,,11號,120.16846748543,23.164721972432
臺南市佳里區安西里39鄰佳西路299巷11號,67,6701200,6701200-005,39鄰,佳西路,,299巷,,,,11號,120.16736521958,23.163752931691
臺南市佳里區安西里30鄰佳西路525巷8弄12號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,12號,120.16950764858,23.168779531471
臺南市佳里區安西里30鄰佳西路562巷12號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,12號,120.17027183132,23.168532167254
臺南市佳里區安西里30鄰佳西路525巷12號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,12號,120.16931170948,23.16870445308
臺南市佳里區安西里30鄰佳西路493巷22弄12號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,12號,120.16891548439,23.168151088318
臺南市佳里區安西里48鄰佳西路12號,67,6701200,6701200-005,48鄰,佳西路,,,,,,12號,120.16788473819,23.158668688184
臺南市佳里區安西里39鄰佳西路310巷12號,67,6701200,6701200-005,39鄰,佳西路,,310巷,,,,12號,120.16808875751,23.164658479121
臺南市佳里區安西里30鄰佳西路486巷13號,67,6701200,6701200-005,30鄰,佳西路,,486巷,,,,13號,120.16969051148,23.167902700482
臺南市佳里區安西里30鄰佳西路493巷22弄13號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,13號,120.16864606384,23.168414603194
臺南市佳里區安西里30鄰佳西路525巷13號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,13號,120.16929176604,23.168596892266
臺南市佳里區安西里30鄰佳西路562巷13號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,13號,120.17040488142,23.168622083417
臺南市佳里區安西里30鄰佳西路525巷8弄13號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,13號,120.16943395504,23.168994234699
臺南市佳里區安西里35鄰佳西路310巷13號,67,6701200,6701200-005,35鄰,佳西路,,310巷,,,,13號,120.16851441919,23.164712829108
臺南市佳里區安西里39鄰佳西路299巷13號,67,6701200,6701200-005,39鄰,佳西路,,299巷,,,,13號,120.16735380743,23.163829625404
臺南市佳里區安西里48鄰佳西路13號,67,6701200,6701200-005,48鄰,佳西路,,,,,,13號,120.16866717051,23.168395372595
臺南市佳里區安西里30鄰佳西路486巷15號,67,6701200,6701200-005,30鄰,佳西路,,486巷,,,,15號,120.16971509389,23.167939039916
臺南市佳里區安西里29鄰佳西路562巷15號,67,6701200,6701200-005,29鄰,佳西路,,562巷,,,,15號,120.17044487276,23.168598635762
臺南市佳里區安西里30鄰佳西路525巷15號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,15號,120.16925543085,23.168613405897
臺南市佳里區安西里30鄰佳西路493巷22弄15號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,15號,120.16859930244,23.168443071383
臺南市佳里區安西里30鄰佳西路525巷8弄15號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,15號,120.16943379294,23.169020510807
臺南市佳里區安西里35鄰佳西路310巷15號,67,6701200,6701200-005,35鄰,佳西路,,310巷,,,,15號,120.1685633876,23.164706315177
臺南市佳里區安西里39鄰佳西路299巷15號,67,6701200,6701200-005,39鄰,佳西路,,299巷,,,,15號,120.16733838797,23.163906839726
臺南市佳里區安西里30鄰佳西路562巷16號,67,6701200,6701200-005,30鄰,佳西路,,562巷,,,,16號,120.17030013398,23.168503691619
臺南市佳里區安西里30鄰佳西路525巷8弄16號,67,6701200,6701200-005,30鄰,佳西路,,525巷,8弄,,,16號,120.16950493227,23.16880823218
臺南市佳里區安西里30鄰佳西路493巷22弄16號,67,6701200,6701200-005,30鄰,佳西路,,493巷,22弄,,,16號,120.16894262809,23.168183829431
臺南市佳里區安西里30鄰佳西路525巷16號,67,6701200,6701200-005,30鄰,佳西路,,525巷,,,,16號,120.16923924885,23.168735133679
