FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市柳營區中埕里10鄰公園街61號,67,6700400,6700400-003,10鄰,公園街,,,,,,61號,120.31707124345,23.276317747406
臺南市柳營區中埕里10鄰公園街63號,67,6700400,6700400-003,10鄰,公園街,,,,,,63號,120.31703017309,23.276302037121
臺南市柳營區中埕里10鄰公園街65號,67,6700400,6700400-003,10鄰,公園街,,,,,,65號,120.31698490856,23.276284592876
臺南市柳營區中埕里10鄰公園街67號,67,6700400,6700400-003,10鄰,公園街,,,,,,67號,120.31693746655,23.276272466826
臺南市柳營區中埕里10鄰公園街69號,67,6700400,6700400-003,10鄰,公園街,,,,,,69號,120.31688232777,23.276255431073
臺南市柳營區中埕里10鄰公園街71號,67,6700400,6700400-003,10鄰,公園街,,,,,,71號,120.31682077854,23.276230421017
臺南市柳營區中埕里10鄰公園街79號,67,6700400,6700400-003,10鄰,公園街,,,,,,79號,120.31668027649,23.276181408655
臺南市柳營區中埕里10鄰公園街81號,67,6700400,6700400-003,10鄰,公園街,,,,,,81號,120.31663920622,23.276165698268
臺南市柳營區中埕里10鄰公園街83號,67,6700400,6700400-003,10鄰,公園街,,,,,,83號,120.31660114109,23.276154877145
臺南市柳營區中埕里10鄰公園街85號,67,6700400,6700400-003,10鄰,公園街,,,,,,85號,120.31655281257,23.276144101617
臺南市柳營區中埕里10鄰公園街87號,67,6700400,6700400-003,10鄰,公園街,,,,,,87號,120.31651223012,23.276128573922
臺南市柳營區中埕里10鄰公園街89號,67,6700400,6700400-003,10鄰,公園街,,,,,,89號,120.31647681557,23.276115506818
臺南市柳營區中埕里10鄰公園街91號,67,6700400,6700400-003,10鄰,公園街,,,,,,91號,120.31644401611,23.276107146684
臺南市柳營區中埕里10鄰公園街93號,67,6700400,6700400-003,10鄰,公園街,,,,,,93號,120.3164100843,23.276090835232
臺南市柳營區東昇里13鄰公園街25巷1號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,1號,120.31770535063,23.276789973992
臺南市柳營區東昇里13鄰公園街25巷2號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,2號,120.31762743336,23.27673527476
臺南市柳營區東昇里13鄰公園街25巷3號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,3號,120.3177318035,23.276758664677
臺南市柳營區東昇里13鄰公園街25巷5號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,5號,120.31775511296,23.276730411885
臺南市柳營區東昇里13鄰公園街25巷6號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,6號,120.31764615214,23.276706369925
臺南市柳營區東昇里13鄰公園街25巷7號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,7號,120.31778107295,23.276699913117
臺南市柳營區東昇里13鄰公園街25巷8號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,8號,120.31767470269,23.276666220363
臺南市柳營區東昇里13鄰公園街25巷9號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,9號,120.317809465,23.27667168241
臺南市柳營區東昇里13鄰公園街25巷10號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,10號,120.31769538505,23.276635608363
臺南市柳營區東昇里13鄰公園街25巷11號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,11號,120.31783279834,23.276638734121
臺南市柳營區東昇里13鄰公園街25巷12號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,12號,120.3177187184,23.276602660092
臺南市柳營區東昇里13鄰公園街25巷13號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,13號,120.31785875876,23.276608145041
臺南市柳營區東昇里13鄰公園街25巷15號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,15號,120.31788550111,23.276577559355
臺南市柳營區東昇里13鄰公園街25巷16號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,16號,120.31774206417,23.276567273776
臺南市柳營區東昇里13鄰公園街25巷17號,67,6700400,6700400-004,13鄰,公園街,,25巷,,,,17號,120.31790880498,23.276550390111
