FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市官田區南廍里1鄰南廍1號,67,6701000,6701000-008,1鄰,南廍,,,,,,1號,120.31251142519,23.204960843685
臺南市官田區南廍里1鄰南廍2號,67,6701000,6701000-008,1鄰,南廍,,,,,,2號,120.31374802081,23.202357911962
臺南市官田區南廍里1鄰南廍3號,67,6701000,6701000-008,1鄰,南廍,,,,,,3號,120.31232172105,23.204136925319
臺南市官田區南廍里1鄰南廍4號,67,6701000,6701000-008,1鄰,南廍,,,,,,4號,120.30453874271,23.204205562438
臺南市官田區南廍里1鄰南廍5號,67,6701000,6701000-008,1鄰,南廍,,,,,,5號,120.30806496735,23.206361864728
臺南市官田區南廍里1鄰南廍6號,67,6701000,6701000-008,1鄰,南廍,,,,,,6號,120.30932961088,23.207483174875
臺南市官田區南廍里1鄰南廍8號,67,6701000,6701000-008,1鄰,南廍,,,,,,8號,120.3105980037,23.208239587433
臺南市官田區南廍里1鄰南廍9號,67,6701000,6701000-008,1鄰,南廍,,,,,,9號,120.30982947842,23.209487149033
臺南市官田區南廍里1鄰南廍11號,67,6701000,6701000-008,1鄰,南廍,,,,,,11號,120.30864365214,23.211308989109
臺南市官田區南廍里1鄰南廍12號,67,6701000,6701000-008,1鄰,南廍,,,,,,12號,120.30874113029,23.210364062734
臺南市官田區南廍里1鄰南廍13號,67,6701000,6701000-008,1鄰,南廍,,,,,,13號,120.30804381816,23.210639934357
臺南市官田區南廍里1鄰南廍14號,67,6701000,6701000-008,1鄰,南廍,,,,,,14號,120.30792153091,23.210691228723
臺南市官田區南廍里1鄰南廍15號,67,6701000,6701000-008,1鄰,南廍,,,,,,15號,120.30718366536,23.210721933081
臺南市官田區南廍里1鄰南廍16號,67,6701000,6701000-008,1鄰,南廍,,,,,,16號,120.30684394066,23.211031430692
臺南市官田區南廍里1鄰南廍17號,67,6701000,6701000-008,1鄰,南廍,,,,,,17號,120.30692368012,23.210781559775
臺南市官田區南廍里1鄰南廍18號,67,6701000,6701000-008,1鄰,南廍,,,,,,18號,120.3059938757,23.209651504399
臺南市官田區南廍里1鄰南廍19號,67,6701000,6701000-008,1鄰,南廍,,,,,,19號,120.30584164992,23.210051675974
臺南市官田區南廍里1鄰南廍20號,67,6701000,6701000-008,1鄰,南廍,,,,,,20號,120.30499326681,23.209955281214
臺南市官田區南廍里1鄰南廍21號,67,6701000,6701000-008,1鄰,南廍,,,,,,21號,120.30531239585,23.210133860376
臺南市官田區南廍里1鄰南廍23號,67,6701000,6701000-008,1鄰,南廍,,,,,,23號,120.30555824851,23.210464632689
臺南市官田區南廍里1鄰南廍24號,67,6701000,6701000-008,1鄰,南廍,,,,,,24號,120.30596824578,23.210622662053
臺南市官田區南廍里2鄰南廍32號,67,6701000,6701000-008,2鄰,南廍,,,,,,32號,120.30715595403,23.214030687002
臺南市官田區南廍里2鄰南廍33號,67,6701000,6701000-008,2鄰,南廍,,,,,,33號,120.30707903424,23.213998742981
臺南市官田區南廍里2鄰南廍34號,67,6701000,6701000-008,2鄰,南廍,,,,,,34號,120.30739320523,23.213606417457
臺南市官田區南廍里2鄰南廍35號,67,6701000,6701000-008,2鄰,南廍,,,,,,35號,120.30632195994,23.213621200792
臺南市官田區南廍里2鄰南廍36號,67,6701000,6701000-008,2鄰,南廍,,,,,,36號,120.3062679237,23.213566150131
臺南市官田區南廍里2鄰南廍37號,67,6701000,6701000-008,2鄰,南廍,,,,,,37號,120.3070767491,23.213418914421
臺南市官田區南廍里2鄰南廍38號,67,6701000,6701000-008,2鄰,南廍,,,,,,38號,120.30717383516,23.213120899514
臺南市官田區南廍里2鄰南廍39號,67,6701000,6701000-008,2鄰,南廍,,,,,,39號,120.30676247458,23.21284665061
臺南市官田區南廍里2鄰南廍40號,67,6701000,6701000-008,2鄰,南廍,,,,,,40號,120.30661430289,23.213047818665
臺南市官田區南廍里2鄰南廍41號,67,6701000,6701000-008,2鄰,南廍,,,,,,41號,120.30622707711,23.213189417549
臺南市官田區南廍里2鄰南廍42號,67,6701000,6701000-008,2鄰,南廍,,,,,,42號,120.30616620398,23.213304281924
臺南市官田區南廍里2鄰南廍43號,67,6701000,6701000-008,2鄰,南廍,,,,,,43號,120.30608390163,23.21346338918
臺南市官田區南廍里3鄰南廍45號,67,6701000,6701000-008,3鄰,南廍,,,,,,45號,120.30583246873,23.213341548013
臺南市官田區南廍里3鄰南廍47號,67,6701000,6701000-008,3鄰,南廍,,,,,,47號,120.30573673183,23.213018662924
臺南市官田區南廍里3鄰南廍49號,67,6701000,6701000-008,3鄰,南廍,,,,,,49號,120.30553734403,23.212902469067
臺南市官田區南廍里4鄰南廍52號,67,6701000,6701000-008,4鄰,南廍,,,,,,52號,120.30605480417,23.212665728229
臺南市官田區南廍里4鄰南廍53號,67,6701000,6701000-008,4鄰,南廍,,,,,,53號,120.30620620838,23.21251974847
臺南市官田區南廍里4鄰南廍54號,67,6701000,6701000-008,4鄰,南廍,,,,,,54號,120.30588431607,23.212572147112
臺南市官田區南廍里4鄰南廍55號,67,6701000,6701000-008,4鄰,南廍,,,,,,55號,120.30580592986,23.21227588692
臺南市官田區南廍里4鄰南廍56號,67,6701000,6701000-008,4鄰,南廍,,,,,,56號,120.30595496841,23.212323049384
臺南市官田區南廍里4鄰南廍57號,67,6701000,6701000-008,4鄰,南廍,,,,,,57號,120.30568531335,23.212230294601
臺南市官田區南廍里4鄰南廍58號,67,6701000,6701000-008,4鄰,南廍,,,,,,58號,120.30573952689,23.212383231806
臺南市官田區南廍里4鄰南廍59號,67,6701000,6701000-008,4鄰,南廍,,,,,,59號,120.30570886291,23.212569747235
臺南市官田區南廍里5鄰南廍60號,67,6701000,6701000-008,5鄰,南廍,,,,,,60號,120.30547155253,23.2127024342
臺南市官田區南廍里5鄰南廍62號,67,6701000,6701000-008,5鄰,南廍,,,,,,62號,120.30544846455,23.212311602695
臺南市官田區南廍里5鄰南廍63號,67,6701000,6701000-008,5鄰,南廍,,,,,,63號,120.30516229264,23.212276746892
臺南市官田區南廍里5鄰南廍64號,67,6701000,6701000-008,5鄰,南廍,,,,,,64號,120.30495123884,23.212225246107
臺南市官田區南廍里5鄰南廍65號,67,6701000,6701000-008,5鄰,南廍,,,,,,65號,120.30506559296,23.212102672095
臺南市官田區南廍里5鄰南廍66號,67,6701000,6701000-008,5鄰,南廍,,,,,,66號,120.30455486243,23.211888750534
臺南市官田區南廍里5鄰南廍67號,67,6701000,6701000-008,5鄰,南廍,,,,,,67號,120.30430369994,23.212074019584
臺南市官田區南廍里5鄰南廍68號,67,6701000,6701000-008,5鄰,南廍,,,,,,68號,120.3043564133,23.211610650879
臺南市官田區南廍里6鄰南廍69號,67,6701000,6701000-008,6鄰,南廍,,,,,,69號,120.30537175436,23.212881871694
臺南市官田區南廍里6鄰南廍70號,67,6701000,6701000-008,6鄰,南廍,,,,,,70號,120.30508563173,23.21295059042
臺南市官田區南廍里6鄰南廍71號,67,6701000,6701000-008,6鄰,南廍,,,,,,71號,120.30516173318,23.212857194933
