FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市中西區藥王里14鄰和真街1號,67,6703700,6703700-022,14鄰,和真街,,,,,,1號,120.19039335169,22.999408407259
臺南市中西區藥王里14鄰和真街3號,67,6703700,6703700-022,14鄰,和真街,,,,,,3號,120.19036061961,22.999434066051
臺南市中西區藥王里14鄰和真街5號,67,6703700,6703700-022,14鄰,和真街,,,,,,5號,120.19034507163,22.999456923045
臺南市中西區藥王里14鄰和真街7號,67,6703700,6703700-022,14鄰,和真街,,,,,,7號,120.19033669194,22.999471779886
臺南市中西區藥王里13鄰和真街10號,67,6703700,6703700-022,13鄰,和真街,,,,,,10號,120.19044561183,22.999722922098
臺南市中西區藥王里14鄰和真街11號,67,6703700,6703700-022,14鄰,和真街,,,,,,11號,120.19021946039,22.999567531806
臺南市中西區藥王里13鄰和真街12號,67,6703700,6703700-022,13鄰,和真街,,,,,,12號,120.19043083721,22.999763301458
臺南市中西區藥王里14鄰和真街13號,67,6703700,6703700-022,14鄰,和真街,,,,,,13號,120.19018369705,22.999627128261
臺南市中西區藥王里13鄰和真街14號,67,6703700,6703700-022,13鄰,和真街,,,,,,14號,120.190384844,22.999788170061
臺南市中西區藥王里14鄰和真街15號,67,6703700,6703700-022,14鄰,和真街,,,,,,15號,120.19015017756,22.999653956895
臺南市中西區藥王里13鄰和真街16號,67,6703700,6703700-022,13鄰,和真街,,,,,,16號,120.19035754441,22.999818823176
臺南市中西區藥王里14鄰和真街17號,67,6703700,6703700-022,14鄰,和真街,,,,,,17號,120.19012502381,22.999684620942
臺南市中西區藥王里13鄰和真街18號,67,6703700,6703700-022,13鄰,和真街,,,,,,18號,120.19032400174,22.999849534673
臺南市中西區藥王里14鄰和真街19號,67,6703700,6703700-022,14鄰,和真街,,,,,,19號,120.190095664,22.9997172501
臺南市中西區藥王里13鄰和真街20號,67,6703700,6703700-022,13鄰,和真街,,,,,,20號,120.19029054528,22.999882142925
臺南市中西區藥王里14鄰和真街21號,67,6703700,6703700-022,14鄰,和真街,,,,,,21號,120.19006839829,22.999742214371
臺南市中西區藥王里13鄰和真街22號,67,6703700,6703700-022,13鄰,和真街,,,,,,22號,120.19024027755,22.99992044449
臺南市中西區藥王里14鄰和真街25號,67,6703700,6703700-022,14鄰,和真街,,,,,,25號,120.1899348681,22.999872106822
臺南市中西區藥王里19鄰和真街26號,67,6703700,6703700-022,19鄰,和真街,,,,,,26號,120.1901173684,23.000068541904
臺南市中西區藥王里14鄰和真街27號,67,6703700,6703700-022,14鄰,和真街,,,,,,27號,120.18990129677,22.999907604036
臺南市中西區藥王里19鄰和真街28號,67,6703700,6703700-022,19鄰,和真街,,,,,,28號,120.1900502257,23.0001395364
臺南市中西區藥王里14鄰和真街29號,67,6703700,6703700-022,14鄰,和真街,,,,,,29號,120.18988301108,22.999947875081
