FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市玉井區玉田里10鄰大道街1號,67,6702300,6702300-002,10鄰,大道街,,,,,,1號,120.46195973925,23.122677145685
臺南市玉井區玉田里9鄰大道街18巷1號,67,6702300,6702300-002,9鄰,大道街,,18巷,,,,1號,120.46212723552,23.12312932318
臺南市玉井區玉田里10鄰大道街2號,67,6702300,6702300-002,10鄰,大道街,,,,,,2號,120.4621087896,23.122515198554
臺南市玉井區玉田里9鄰大道街18巷2號,67,6702300,6702300-002,9鄰,大道街,,18巷,,,,2號,120.46206744167,23.123409059168
臺南市玉井區玉田里10鄰大道街3號,67,6702300,6702300-002,10鄰,大道街,,,,,,3號,120.4619516859,23.122737982569
臺南市玉井區玉田里10鄰大道街5號,67,6702300,6702300-002,10鄰,大道街,,,,,,5號,120.46195926104,23.122772594531
臺南市玉井區玉田里10鄰大道街6號,67,6702300,6702300-002,10鄰,大道街,,,,,,6號,120.46201880199,23.122776680644
臺南市玉井區玉田里10鄰大道街8號,67,6702300,6702300-002,10鄰,大道街,,,,,,8號,120.46200401296,23.122812751483
臺南市玉井區玉田里10鄰大道街10號,67,6702300,6702300-002,10鄰,大道街,,,,,,10號,120.46206690422,23.122858117566
臺南市玉井區玉田里10鄰大道街11號,67,6702300,6702300-002,10鄰,大道街,,,,,,11號,120.46192793274,23.122842924161
臺南市玉井區玉田里9鄰大道街16號,67,6702300,6702300-002,9鄰,大道街,,,,,,16號,120.46202358544,23.122948273027
臺南市玉井區玉田里10鄰大道街21號,67,6702300,6702300-002,10鄰,大道街,,,,,,21號,120.4618131686,23.123074070028
臺南市玉井區玉田里9鄰大道街22號,67,6702300,6702300-002,9鄰,大道街,,,,,,22號,120.46194679313,23.123083556198
臺南市玉井區玉田里10鄰大道街23號,67,6702300,6702300-002,10鄰,大道街,,,,,,23號,120.46180416546,23.123128221224
臺南市玉井區玉田里9鄰大道街30號,67,6702300,6702300-002,9鄰,大道街,,,,,,30號,120.4618794299,23.123327145016
