FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市東區東智里18鄰崇德三十四街1號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,1號,120.22769813637,22.959547358536
臺南市東區東智里18鄰崇德三十四街2號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,2號,120.22773950589,22.959560382872
臺南市東區東智里18鄰崇德三十四街3號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,3號,120.2277863945,22.959563139631
臺南市東區東智里18鄰崇德三十四街5號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,5號,120.2278181468,22.959569705673
臺南市東區東智里18鄰崇德三十四街6號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,6號,120.22785947727,22.95957243535
臺南市東區東智里18鄰崇德三十四街7號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,7號,120.22790644135,22.959579075432
臺南市東區東智里18鄰崇德三十四街8號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,8號,120.22794501229,22.959586938872
臺南市東區東智里18鄰崇德三十四街9號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,9號,120.22797680151,22.959587003312
臺南市東區東智里18鄰崇德三十四街10號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,10號,120.22801959415,22.959589830367
臺南市東區東智里18鄰崇德三十四街11號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,11號,120.22805964263,22.95959508221
臺南市東區東智里18鄰崇德三十四街12號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,12號,120.2281085626,22.959600738429
臺南市東區東智里18鄰崇德三十四街13號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,13號,120.22813760613,22.959603498537
臺南市東區東智里18鄰崇德三十四街14號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,14號,120.2281872939,22.959611325717
臺南市東區東智里18鄰崇德三十四街15號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,15號,120.22822316324,22.959614119026
臺南市東區東智里18鄰崇德三十四街16號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,16號,120.22826039108,22.959618092865
臺南市東區東智里18鄰崇德三十四街17號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,17號,120.22829897639,22.959623427831
臺南市東區東智里18鄰崇德三十四街18號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,18號,120.22834038288,22.959629950441
臺南市東區東智里18鄰崇德三十四街19號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,19號,120.22838316119,22.959635305787
臺南市東區東智里18鄰崇德三十四街20號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,20號,120.22842318768,22.959644440422
臺南市東區東智里18鄰崇德三十四街21號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,21號,120.22846459367,22.9596510533
臺南市東區東智里18鄰崇德三十四街22號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,22號,120.2285018287,22.959653762887
臺南市東區東智里18鄰崇德三十四街23號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,23號,120.22854042171,22.959657743301
臺南市東區東智里18鄰崇德三十四街24號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,24號,120.22858185691,22.959659209071
臺南市東區東智里18鄰崇德三十四街25號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,25號,120.22861906992,22.959665801514
臺南市東區東智里18鄰崇德三十四街26號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,26號,120.22866185543,22.959669892591
臺南市東區東智里18鄰崇德三十四街27號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,27號,120.22870744778,22.959677699692
臺南市東區東智里18鄰崇德三十四街28號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,28號,120.22874191614,22.959686807218
臺南市東區東智里18鄰崇德三十四街29號,67,6703200,6703200-033,18鄰,崇德三十四街,,,,,,29號,120.228784716,22.959688369874
臺南市東區東智里16鄰崇德三十四街30號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,30號,120.22887507558,22.959711926566
臺南市東區東智里16鄰崇德三十四街31號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,31號,120.22892196428,22.959714682992
臺南市東區東智里16鄰崇德三十四街32號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,32號,120.22896474981,22.959718773988
臺南市東區東智里16鄰崇德三十四街33號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,33號,120.22900061254,22.959722741017
臺南市東區東智里16鄰崇德三十四街34號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,34號,120.22904066827,22.95972672842
臺南市東區東智里16鄰崇德三十四街35號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,35號,120.22907926082,22.959730799003
臺南市東區東智里16鄰崇德三十四街36號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,36號,120.22911522824,22.959733502286
臺南市東區東智里16鄰崇德三十四街37號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,37號,120.22914973298,22.959736198452
臺南市東區東智里16鄰崇德三十四街38號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,38號,120.22917867906,22.959738957897
臺南市東區東智里16鄰崇德三十四街39號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,39號,120.2292200928,22.959744216084
臺南市東區東智里16鄰崇德三十四街40號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,40號,120.22926287119,22.959749571195
臺南市東區東智里16鄰崇德三十四街41號,67,6703200,6703200-033,16鄰,崇德三十四街,,,,,,41號,120.22929373885,22.959757396875
