FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市永康區西勢里12鄰廣盛街142巷1號,67,6703100,6703100-023,12鄰,廣盛街,,142巷,,,,1號,120.27905888286,23.019688763116
臺南市永康區西勢里10鄰廣盛街153巷3號,67,6703100,6703100-023,10鄰,廣盛街,,153巷,,,,3號,120.27854313399,23.020231296264
臺南市永康區西勢里10鄰廣盛街153巷5號,67,6703100,6703100-023,10鄰,廣盛街,,153巷,,,,5號,120.27852020389,23.020177010464
臺南市永康區西勢里10鄰廣盛街153巷7號,67,6703100,6703100-023,10鄰,廣盛街,,153巷,,,,7號,120.27851210086,23.02010473182
臺南市永康區西勢里10鄰廣盛街153巷9號,67,6703100,6703100-023,10鄰,廣盛街,,153巷,,,,9號,120.27852320433,23.020034798277
臺南市永康區西勢里10鄰廣盛街153巷13號,67,6703100,6703100-023,10鄰,廣盛街,,153巷,,,,13號,120.27854410366,23.019920661335
臺南市永康區西勢里10鄰廣盛街153巷16號,67,6703100,6703100-023,10鄰,廣盛街,,153巷,,,,16號,120.2784487766,23.019831369499
臺南市永康區西勢里10鄰廣盛街153巷18號,67,6703100,6703100-023,10鄰,廣盛街,,153巷,,,,18號,120.27845283786,23.019801498005
臺南市永康區西勢里11鄰廣盛街153巷36號,67,6703100,6703100-023,11鄰,廣盛街,,153巷,,,,36號,120.27845015276,23.019682738453
臺南市永康區西勢里11鄰廣盛街101號,67,6703100,6703100-023,11鄰,廣盛街,,,,,,101號,120.27868091461,23.019345608704
臺南市永康區西勢里11鄰廣盛街103號,67,6703100,6703100-023,11鄰,廣盛街,,,,,,103號,120.2786879416,23.019381761585
臺南市永康區西勢里11鄰廣盛街105號,67,6703100,6703100-023,11鄰,廣盛街,,,,,,105號,120.27869098034,23.01941572904
臺南市永康區西勢里11鄰廣盛街107號,67,6703100,6703100-023,11鄰,廣盛街,,,,,,107號,120.27869488556,23.019451867694
臺南市永康區西勢里11鄰廣盛街109號,67,6703100,6703100-023,11鄰,廣盛街,,,,,,109號,120.27869976633,23.019488010794
臺南市永康區西勢里11鄰廣盛街111號,67,6703100,6703100-023,11鄰,廣盛街,,,,,,111號,120.27870385466,23.019526407836
臺南市永康區西勢里11鄰廣盛街113號,67,6703100,6703100-023,11鄰,廣盛街,,,,,,113號,120.27870981767,23.019560840126
臺南市永康區西勢里11鄰廣盛街117號,67,6703100,6703100-023,11鄰,廣盛街,,,,,,117號,120.27871698474,23.019662372395
臺南市永康區西勢里11鄰廣盛街129號,67,6703100,6703100-023,11鄰,廣盛街,,,,,,129號,120.27876055826,23.019870717389
臺南市永康區西勢里11鄰廣盛街131號,67,6703100,6703100-023,11鄰,廣盛街,,,,,,131號,120.27875950167,23.019922636305
臺南市永康區西勢里10鄰廣盛街139號,67,6703100,6703100-023,10鄰,廣盛街,,,,,,139號,120.27874643216,23.02008710725
臺南市永康區西勢里12鄰廣盛街146號,67,6703100,6703100-023,12鄰,廣盛街,,,,,,146號,120.27892447973,23.019737817065
臺南市永康區西勢里12鄰廣盛街148號,67,6703100,6703100-023,12鄰,廣盛街,,,,,,148號,120.27891742429,23.019798738871
臺南市永康區西勢里12鄰廣盛街150號,67,6703100,6703100-023,12鄰,廣盛街,,,,,,150號,120.2789234638,23.019837144796
臺南市永康區西勢里12鄰廣盛街152號,67,6703100,6703100-023,12鄰,廣盛街,,,,,,152號,120.27892933269,23.019870944535
臺南市永康區西勢里10鄰廣盛街155號,67,6703100,6703100-023,10鄰,廣盛街,,,,,,155號,120.27872429414,23.020379133783
臺南市永康區西勢里12鄰廣盛街156號,67,6703100,6703100-023,12鄰,廣盛街,,,,,,156號,120.27903737138,23.019991538531
臺南市永康區西勢里12鄰廣盛街162號,67,6703100,6703100-023,12鄰,廣盛街,,,,,,162號,120.27908873461,23.020202808588
臺南市永康區西勢里12鄰廣盛街162之1號,67,6703100,6703100-023,12鄰,廣盛街,,,,,,162之1號,120.27909129969,23.02008732383
臺南市永康區西勢里10鄰廣盛街163號,67,6703100,6703100-023,10鄰,廣盛街,,,,,,163號,120.27872194077,23.02052812158
臺南市永康區西勢里12鄰廣盛街166號,67,6703100,6703100-023,12鄰,廣盛街,,,,,,166號,120.27889689946,23.020081020165
臺南市永康區西勢里10鄰廣盛街167號,67,6703100,6703100-023,10鄰,廣盛街,,,,,,167號,120.27870935688,23.020656293263
臺南市永康區西勢里12鄰廣盛街172號,67,6703100,6703100-023,12鄰,廣盛街,,,,,,172號,120.27888606308,23.020192493939
臺南市永康區西勢里12鄰廣盛街176號,67,6703100,6703100-023,12鄰,廣盛街,,,,,,176號,120.27888149451,23.020244396855
臺南市永康區西勢里12鄰廣盛街178號,67,6703100,6703100-023,12鄰,廣盛街,,,,,,178號,120.27888977462,23.020320107771
臺南市永康區西勢里13鄰廣盛街186號,67,6703100,6703100-023,13鄰,廣盛街,,,,,,186號,120.2789043786,23.020399098373
臺南市永康區西勢里13鄰廣盛街190號,67,6703100,6703100-023,13鄰,廣盛街,,,,,,190號,120.27888912942,23.020478133572
