FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市西港區後營里1鄰後營151號,67,6701400,6701400-005,1鄰,後營,,,,,,151號,120.21749024291,23.145382338702
臺南市西港區後營里1鄰後營151之25號,67,6701400,6701400-005,1鄰,後營,,,,,,151之25號,120.21496369141,23.148251151279
臺南市西港區後營里1鄰後營151之30號,67,6701400,6701400-005,1鄰,後營,,,,,,151之30號,120.21678139987,23.154626238433
臺南市西港區後營里1鄰後營152號,67,6701400,6701400-005,1鄰,後營,,,,,,152號,120.21770228145,23.145408223704
臺南市西港區後營里1鄰後營153號,67,6701400,6701400-005,1鄰,後營,,,,,,153號,120.21796465554,23.145341891123
臺南市西港區後營里1鄰後營154號,67,6701400,6701400-005,1鄰,後營,,,,,,154號,120.21788022874,23.14552035622
臺南市西港區後營里1鄰後營155號,67,6701400,6701400-005,1鄰,後營,,,,,,155號,120.21774315242,23.145634447077
臺南市西港區後營里1鄰後營157號,67,6701400,6701400-005,1鄰,後營,,,,,,157號,120.21826403026,23.146303895765
臺南市西港區後營里1鄰後營159號,67,6701400,6701400-005,1鄰,後營,,,,,,159號,120.21831330241,23.145603684172
臺南市西港區後營里1鄰後營160號,67,6701400,6701400-005,1鄰,後營,,,,,,160號,120.21902158679,23.146253471386
臺南市西港區後營里2鄰後營161號,67,6701400,6701400-005,2鄰,後營,,,,,,161號,120.21913855622,23.145632155748
臺南市西港區後營里2鄰後營161之20號,67,6701400,6701400-005,2鄰,後營,,,,,,161之20號,120.22138347844,23.144855756009
臺南市西港區後營里2鄰後營162號,67,6701400,6701400-005,2鄰,後營,,,,,,162號,120.2192437487,23.145273734858
臺南市西港區後營里2鄰後營163號,67,6701400,6701400-005,2鄰,後營,,,,,,163號,120.2191402377,23.145021646634
臺南市西港區後營里2鄰後營164號,67,6701400,6701400-005,2鄰,後營,,,,,,164號,120.2187606451,23.144960528934
臺南市西港區後營里2鄰後營165號,67,6701400,6701400-005,2鄰,後營,,,,,,165號,120.21866792307,23.144447707852
臺南市西港區後營里2鄰後營166號,67,6701400,6701400-005,2鄰,後營,,,,,,166號,120.21868208079,23.144346822768
臺南市西港區後營里2鄰後營167號,67,6701400,6701400-005,2鄰,後營,,,,,,167號,120.21812727358,23.144410080893
臺南市西港區後營里2鄰後營168號,67,6701400,6701400-005,2鄰,後營,,,,,,168號,120.21781296368,23.144491416753
臺南市西港區後營里2鄰後營169號,67,6701400,6701400-005,2鄰,後營,,,,,,169號,120.21776763612,23.144730305845
臺南市西港區後營里3鄰後營170號,67,6701400,6701400-005,3鄰,後營,,,,,,170號,120.21792968233,23.144536694348
臺南市西港區後營里3鄰後營171號,67,6701400,6701400-005,3鄰,後營,,,,,,171號,120.2175636424,23.144664458051
臺南市西港區後營里3鄰後營171之1號,67,6701400,6701400-005,3鄰,後營,,,,,,171之1號,120.21744657847,23.144762755242
臺南市西港區後營里3鄰後營172號,67,6701400,6701400-005,3鄰,後營,,,,,,172號,120.21759436761,23.144468388975
臺南市西港區後營里3鄰後營173號,67,6701400,6701400-005,3鄰,後營,,,,,,173號,120.21759278946,23.144235588099
臺南市西港區後營里3鄰後營174號,67,6701400,6701400-005,3鄰,後營,,,,,,174號,120.21774684929,23.144172962233
臺南市西港區後營里3鄰後營175號,67,6701400,6701400-005,3鄰,後營,,,,,,175號,120.21785923963,23.144156362986
臺南市西港區後營里3鄰後營176號,67,6701400,6701400-005,3鄰,後營,,,,,,176號,120.21797920145,23.144130680935
臺南市西港區後營里4鄰後營178號,67,6701400,6701400-005,4鄰,後營,,,,,,178號,120.2184518446,23.143990441638
臺南市西港區後營里4鄰後營179號,67,6701400,6701400-005,4鄰,後營,,,,,,179號,120.21855325754,23.143778739717
臺南市西港區後營里4鄰後營180號,67,6701400,6701400-005,4鄰,後營,,,,,,180號,120.21840292548,23.143585926515
臺南市西港區後營里4鄰後營181號,67,6701400,6701400-005,4鄰,後營,,,,,,181號,120.21852122437,23.143257460273
臺南市西港區後營里4鄰後營182號,67,6701400,6701400-005,4鄰,後營,,,,,,182號,120.21782176642,23.143883110235
臺南市西港區後營里4鄰後營182之2號,67,6701400,6701400-005,4鄰,後營,,,,,,182之2號,120.21790743762,23.143809760338
臺南市西港區後營里4鄰後營184號,67,6701400,6701400-005,4鄰,後營,,,,,,184號,120.21756593198,23.144000855737
臺南市西港區後營里4鄰後營185號,67,6701400,6701400-005,4鄰,後營,,,,,,185號,120.21768401634,23.143709773276
臺南市西港區後營里4鄰後營186號,67,6701400,6701400-005,4鄰,後營,,,,,,186號,120.21763911253,23.143471881149
臺南市西港區後營里5鄰後營187號,67,6701400,6701400-005,5鄰,後營,,,,,,187號,120.21826047271,23.14301109344
臺南市西港區後營里5鄰後營188號,67,6701400,6701400-005,5鄰,後營,,,,,,188號,120.21805246866,23.142879488113
臺南市西港區後營里5鄰後營189號,67,6701400,6701400-005,5鄰,後營,,,,,,189號,120.21810315468,23.14274347701
臺南市西港區後營里5鄰後營190號,67,6701400,6701400-005,5鄰,後營,,,,,,190號,120.21823934828,23.142730517225
臺南市西港區後營里5鄰後營191號,67,6701400,6701400-005,5鄰,後營,,,,,,191號,120.21838831898,23.142955831788
臺南市西港區後營里5鄰後營192號,67,6701400,6701400-005,5鄰,後營,,,,,,192號,120.21862416623,23.143068250526
臺南市西港區後營里5鄰後營193號,67,6701400,6701400-005,5鄰,後營,,,,,,193號,120.21922673521,23.142715183806
臺南市西港區後營里5鄰後營194號,67,6701400,6701400-005,5鄰,後營,,,,,,194號,120.21884251012,23.14274687178
臺南市西港區後營里6鄰後營195號,67,6701400,6701400-005,6鄰,後營,,,,,,195號,120.21919670168,23.142455151916
臺南市西港區後營里6鄰後營196號,67,6701400,6701400-005,6鄰,後營,,,,,,196號,120.21890524148,23.142469871643
臺南市西港區後營里6鄰後營196之3號,67,6701400,6701400-005,6鄰,後營,,,,,,196之3號,120.21888856729,23.142398452097
臺南市西港區後營里6鄰後營196之5號,67,6701400,6701400-005,6鄰,後營,,,,,,196之5號,120.21909977453,23.142044529599
臺南市西港區後營里6鄰後營196之6號,67,6701400,6701400-005,6鄰,後營,,,,,,196之6號,120.21895347502,23.14223451819
臺南市西港區後營里6鄰後營197號,67,6701400,6701400-005,6鄰,後營,,,,,,197號,120.21902134465,23.142031228164
臺南市西港區後營里6鄰後營198號,67,6701400,6701400-005,6鄰,後營,,,,,,198號,120.21860914089,23.142442849275
臺南市西港區後營里6鄰後營199號,67,6701400,6701400-005,6鄰,後營,,,,,,199號,120.21845206347,23.142352673665
臺南市西港區後營里6鄰後營200號,67,6701400,6701400-005,6鄰,後營,,,,,,200號,120.21843988775,23.142010647583
臺南市西港區後營里6鄰後營201號,67,6701400,6701400-005,6鄰,後營,,,,,,201號,120.21870656895,23.141857014929
臺南市西港區後營里6鄰後營202號,67,6701400,6701400-005,6鄰,後營,,,,,,202號,120.21860063815,23.141483912455
臺南市西港區後營里7鄰後營203號,67,6701400,6701400-005,7鄰,後營,,,,,,203號,120.21887239423,23.141667574812
臺南市西港區後營里7鄰後營204號,67,6701400,6701400-005,7鄰,後營,,,,,,204號,120.21911133994,23.141649344176
臺南市西港區後營里7鄰後營205號,67,6701400,6701400-005,7鄰,後營,,,,,,205號,120.21910818615,23.141435227453
臺南市西港區後營里7鄰後營207號,67,6701400,6701400-005,7鄰,後營,,,,,,207號,120.21980264634,23.14143369956
臺南市西港區後營里7鄰後營208號,67,6701400,6701400-005,7鄰,後營,,,,,,208號,120.2200381849,23.141464212606
臺南市西港區後營里7鄰後營209號,67,6701400,6701400-005,7鄰,後營,,,,,,209號,120.21992448734,23.141234649392
臺南市西港區後營里7鄰後營210號,67,6701400,6701400-005,7鄰,後營,,,,,,210號,120.21985868598,23.140979587655
臺南市西港區後營里7鄰後營212號,67,6701400,6701400-005,7鄰,後營,,,,,,212號,120.21958700255,23.141205076321
臺南市西港區後營里8鄰後營213號,67,6701400,6701400-005,8鄰,後營,,,,,,213號,120.21927872216,23.141005431815
臺南市西港區後營里8鄰後營214號,67,6701400,6701400-005,8鄰,後營,,,,,,214號,120.21910950738,23.141038546454
臺南市西港區後營里8鄰後營215號,67,6701400,6701400-005,8鄰,後營,,,,,,215號,120.21922218355,23.141157578065
臺南市西港區後營里8鄰後營216號,67,6701400,6701400-005,8鄰,後營,,,,,,216號,120.2188618399,23.141449990025
臺南市西港區後營里8鄰後營217號,67,6701400,6701400-005,8鄰,後營,,,,,,217號,120.21893969811,23.141089988847
臺南市西港區後營里8鄰後營218號,67,6701400,6701400-005,8鄰,後營,,,,,,218號,120.21876399893,23.141264751548
臺南市西港區後營里8鄰後營219號,67,6701400,6701400-005,8鄰,後營,,,,,,219號,120.2186158812,23.141296796299
臺南市西港區後營里8鄰後營220號,67,6701400,6701400-005,8鄰,後營,,,,,,220號,120.21854457982,23.141047666603
臺南市西港區後營里8鄰後營222號,67,6701400,6701400-005,8鄰,後營,,,,,,222號,120.21808348115,23.141084841233
臺南市西港區後營里8鄰後營223號,67,6701400,6701400-005,8鄰,後營,,,,,,223號,120.21801555514,23.140944178245
臺南市西港區後營里9鄰後營224號,67,6701400,6701400-005,9鄰,後營,,,,,,224號,120.21797852415,23.141301762764
臺南市西港區後營里9鄰後營225號,67,6701400,6701400-005,9鄰,後營,,,,,,225號,120.21830767641,23.141387464499
臺南市西港區後營里9鄰後營226號,67,6701400,6701400-005,9鄰,後營,,,,,,226號,120.21824171179,23.141598890656
臺南市西港區後營里9鄰後營227號,67,6701400,6701400-005,9鄰,後營,,,,,,227號,120.21797498314,23.141491374988
臺南市西港區後營里9鄰後營228號,67,6701400,6701400-005,9鄰,後營,,,,,,228號,120.2181223783,23.141718668578
臺南市西港區後營里9鄰後營229號,67,6701400,6701400-005,9鄰,後營,,,,,,229號,120.21825984215,23.141941126889
臺南市西港區後營里9鄰後營230號,67,6701400,6701400-005,9鄰,後營,,,,,,230號,120.2182557397,23.142160264394
臺南市西港區後營里9鄰後營231號,67,6701400,6701400-005,9鄰,後營,,,,,,231號,120.21771121048,23.142304842137
臺南市西港區後營里10鄰後營231號,67,6701400,6701400-005,10鄰,後營,,,,,,231號,120.2182138962,23.14245533753
臺南市西港區後營里10鄰後營233號,67,6701400,6701400-005,10鄰,後營,,,,,,233號,120.21741117802,23.142147856487
臺南市西港區後營里10鄰後營233之1號,67,6701400,6701400-005,10鄰,後營,,,,,,233之1號,120.21726892247,23.142128638711
臺南市西港區後營里10鄰後營235號,67,6701400,6701400-005,10鄰,後營,,,,,,235號,120.21747595423,23.142292838473
臺南市西港區後營里10鄰後營236號,67,6701400,6701400-005,10鄰,後營,,,,,,236號,120.21759110397,23.141766871411
臺南市西港區後營里10鄰後營238號,67,6701400,6701400-005,10鄰,後營,,,,,,238號,120.21737294965,23.141870355751
臺南市西港區後營里10鄰後營241號,67,6701400,6701400-005,10鄰,後營,,,,,,241號,120.21681177636,23.142392391532
臺南市西港區後營里11鄰後營243號,67,6701400,6701400-005,11鄰,後營,,,,,,243號,120.21668052328,23.142361759802
臺南市西港區後營里11鄰後營243之1號,67,6701400,6701400-005,11鄰,後營,,,,,,243之1號,120.21661363283,23.14221107811
臺南市西港區後營里11鄰後營245號,67,6701400,6701400-005,11鄰,後營,,,,,,245號,120.21656939347,23.142044074389
臺南市西港區後營里11鄰後營246號,67,6701400,6701400-005,11鄰,後營,,,,,,246號,120.21663331779,23.14183137467
臺南市西港區後營里11鄰後營247號,67,6701400,6701400-005,11鄰,後營,,,,,,247號,120.21661546302,23.141694481629
臺南市西港區後營里11鄰後營248號,67,6701400,6701400-005,11鄰,後營,,,,,,248號,120.21681632802,23.141575290566
臺南市西港區後營里11鄰後營249號,67,6701400,6701400-005,11鄰,後營,,,,,,249號,120.21661947437,23.141558690548
臺南市西港區後營里11鄰後營250號,67,6701400,6701400-005,11鄰,後營,,,,,,250號,120.21672262507,23.141434589286
臺南市西港區後營里11鄰後營252號,67,6701400,6701400-005,11鄰,後營,,,,,,252號,120.21670301093,23.141096318765
臺南市西港區後營里11鄰後營253號,67,6701400,6701400-005,11鄰,後營,,,,,,253號,120.21671682065,23.141156346507
臺南市西港區後營里12鄰後營255號,67,6701400,6701400-005,12鄰,後營,,,,,,255號,120.21709562908,23.141182338347
臺南市西港區後營里12鄰後營256號,67,6701400,6701400-005,12鄰,後營,,,,,,256號,120.21716896135,23.141182160728
臺南市西港區後營里12鄰後營257號,67,6701400,6701400-005,12鄰,後營,,,,,,257號,120.21720739338,23.141390854021
臺南市西港區後營里12鄰後營259號,67,6701400,6701400-005,12鄰,後營,,,,,,259號,120.2171763545,23.141657806952
臺南市西港區後營里12鄰後營260號,67,6701400,6701400-005,12鄰,後營,,,,,,260號,120.21751989139,23.14157002538
臺南市西港區後營里12鄰後營261號,67,6701400,6701400-005,12鄰,後營,,,,,,261號,120.21739006925,23.141578952707
臺南市西港區後營里12鄰後營262號,67,6701400,6701400-005,12鄰,後營,,,,,,262號,120.21746913819,23.14143161461
臺南市西港區後營里12鄰後營263號,67,6701400,6701400-005,12鄰,後營,,,,,,263號,120.21743373174,23.141122161711
臺南市西港區後營里12鄰後營263之1號,67,6701400,6701400-005,12鄰,後營,,,,,,263之1號,120.21734444573,23.14114564792
臺南市西港區後營里12鄰後營263之2號,67,6701400,6701400-005,12鄰,後營,,,,,,263之2號,120.21730641059,23.141154489067
臺南市西港區後營里12鄰後營264號,67,6701400,6701400-005,12鄰,後營,,,,,,264號,120.21754521936,23.141277489146
臺南市西港區後營里12鄰後營265號,67,6701400,6701400-005,12鄰,後營,,,,,,265號,120.21776955706,23.141033709173
臺南市西港區後營里12鄰後營266號,67,6701400,6701400-005,12鄰,後營,,,,,,266號,120.21744772113,23.140814850307
臺南市西港區後營里13鄰後營267號,67,6701400,6701400-005,13鄰,後營,,,,,,267號,120.21708243974,23.141049080505
臺南市西港區後營里13鄰後營268號,67,6701400,6701400-005,13鄰,後營,,,,,,268號,120.21706799587,23.141014153011
臺南市西港區後營里13鄰後營269號,67,6701400,6701400-005,13鄰,後營,,,,,,269號,120.21705440561,23.140983564151
臺南市西港區後營里13鄰後營270號,67,6701400,6701400-005,13鄰,後營,,,,,,270號,120.21704985966,23.140925659343
臺南市西港區後營里13鄰後營271號,67,6701400,6701400-005,13鄰,後營,,,,,,271號,120.21703482933,23.140874023453
臺南市西港區後營里13鄰後營275號,67,6701400,6701400-005,13鄰,後營,,,,,,275號,120.21700780977,23.140768328678
臺南市西港區後營里13鄰後營276號,67,6701400,6701400-005,13鄰,後營,,,,,,276號,120.21700622046,23.140722538738
臺南市西港區後營里13鄰後營277號,67,6701400,6701400-005,13鄰,後營,,,,,,277號,120.21699721039,23.14067671194
臺南市西港區後營里13鄰後營278號,67,6701400,6701400-005,13鄰,後營,,,,,,278號,120.21699619539,23.14063291145
臺南市西港區後營里13鄰後營279號,67,6701400,6701400-005,13鄰,後營,,,,,,279號,120.2177012571,23.140654652457
臺南市西港區後營里13鄰後營280號,67,6701400,6701400-005,13鄰,後營,,,,,,280號,120.21765139096,23.140346572612
臺南市西港區後營里13鄰後營281號,67,6701400,6701400-005,13鄰,後營,,,,,,281號,120.21690946832,23.139677920434
臺南市西港區後營里14鄰後營283號,67,6701400,6701400-005,14鄰,後營,,,,,,283號,120.21827046941,23.139838907379
臺南市西港區後營里14鄰後營284號,67,6701400,6701400-005,14鄰,後營,,,,,,284號,120.2181767946,23.140030059272
臺南市西港區後營里14鄰後營285號,67,6701400,6701400-005,14鄰,後營,,,,,,285號,120.21828002355,23.140245665595
臺南市西港區後營里14鄰後營286號,67,6701400,6701400-005,14鄰,後營,,,,,,286號,120.21830778564,23.140509749913
臺南市西港區後營里14鄰後營287號,67,6701400,6701400-005,14鄰,後營,,,,,,287號,120.2180482283,23.140512977653
臺南市西港區後營里14鄰後營288號,67,6701400,6701400-005,14鄰,後營,,,,,,288號,120.21802262373,23.140752416306
臺南市西港區後營里14鄰後營289號,67,6701400,6701400-005,14鄰,後營,,,,,,289號,120.21819976504,23.14085099941
臺南市西港區後營里14鄰後營291號,67,6701400,6701400-005,14鄰,後營,,,,,,291號,120.21839187144,23.14087786809
臺南市西港區後營里15鄰後營292號,67,6701400,6701400-005,15鄰,後營,,,,,,292號,120.21865820166,23.140801259537
臺南市西港區後營里15鄰後營293號,67,6701400,6701400-005,15鄰,後營,,,,,,293號,120.21859422877,23.140669194868
臺南市西港區後營里15鄰後營295號,67,6701400,6701400-005,15鄰,後營,,,,,,295號,120.21873088874,23.140221533093
臺南市西港區後營里15鄰後營297號,67,6701400,6701400-005,15鄰,後營,,,,,,297號,120.21879374505,23.140057589022
臺南市西港區後營里15鄰後營298號,67,6701400,6701400-005,15鄰,後營,,,,,,298號,120.2187402192,23.139858302728
