FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市東區德高里9鄰德高街1號,67,6703200,6703200-026,9鄰,德高街,,,,,,1號,120.23320878174,22.968102950736
臺南市東區德高里9鄰德高街3號,67,6703200,6703200-026,9鄰,德高街,,,,,,3號,120.23323498344,22.968073909878
臺南市東區德高里9鄰德高街5號,67,6703200,6703200-026,9鄰,德高街,,,,,,5號,120.23326657712,22.968039838174
臺南市東區德高里9鄰德高街11號,67,6703200,6703200-026,9鄰,德高街,,,,,,11號,120.23335165618,22.967894140813
臺南市東區德高里15鄰德高街12號,67,6703200,6703200-026,15鄰,德高街,,,,,,12號,120.2331690654,22.967796273434
臺南市東區德高里9鄰德高街13號,67,6703200,6703200-026,9鄰,德高街,,,,,,13號,120.23338165233,22.96786665341
臺南市東區德高里15鄰德高街14號,67,6703200,6703200-026,15鄰,德高街,,,,,,14號,120.23319362707,22.967764064077
臺南市東區德高里9鄰德高街15號,67,6703200,6703200-026,9鄰,德高街,,,,,,15號,120.23339822923,22.967797742772
臺南市東區德高里15鄰德高街16號,67,6703200,6703200-026,15鄰,德高街,,,,,,16號,120.23321673463,22.967730312548
臺南市東區德高里9鄰德高街17號,67,6703200,6703200-026,9鄰,德高街,,,,,,17號,120.23348423263,22.967747499094
臺南市東區德高里15鄰德高街18號,67,6703200,6703200-026,15鄰,德高街,,,,,,18號,120.23323672163,22.967696545925
臺南市東區德高里9鄰德高街19號,67,6703200,6703200-026,9鄰,德高街,,,,,,19號,120.23352298543,22.967723575776
臺南市東區德高里15鄰德高街20號,67,6703200,6703200-026,15鄰,德高街,,,,,,20號,120.23325680664,22.967662689471
臺南市東區德高里9鄰德高街21號,67,6703200,6703200-026,9鄰,德高街,,,,,,21號,120.2335516756,22.967702854682
臺南市東區德高里15鄰德高街22號,67,6703200,6703200-026,15鄰,德高街,,,,,,22號,120.23327064188,22.967630337929
