FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市六甲區六甲里3鄰民權街1號,67,6700900,6700900-001,3鄰,民權街,,,,,,1號,120.35049710824,23.227291762377
臺南市六甲區六甲里5鄰民權街18巷1號,67,6700900,6700900-001,5鄰,民權街,,18巷,,,,1號,120.34985190543,23.227781866254
臺南市六甲區六甲里4鄰民權街27巷1弄2號,67,6700900,6700900-001,4鄰,民權街,,27巷,1弄,,,2號,120.34995866539,23.227244566908
臺南市六甲區六甲里5鄰民權街2號,67,6700900,6700900-001,5鄰,民權街,,,,,,2號,120.35042070546,23.227573275284
臺南市六甲區六甲里25鄰民權街38巷2號,67,6700900,6700900-001,25鄰,民權街,,38巷,,,,2號,120.34968289438,23.227836882674
臺南市六甲區六甲里5鄰民權街18巷3號,67,6700900,6700900-001,5鄰,民權街,,18巷,,,,3號,120.34986345982,23.227817131328
臺南市六甲區六甲里5鄰民權街4號,67,6700900,6700900-001,5鄰,民權街,,,,,,4號,120.35037927789,23.227573013783
臺南市六甲區六甲里5鄰民權街18巷5號,67,6700900,6700900-001,5鄰,民權街,,18巷,,,,5號,120.34987324454,23.2278546466
臺南市六甲區六甲里5鄰民權街6號,67,6700900,6700900-001,5鄰,民權街,,,,,,6號,120.35033585991,23.227580239005
臺南市六甲區六甲里5鄰民權街18巷7號,67,6700900,6700900-001,5鄰,民權街,,18巷,,,,7號,120.34988438581,23.227894515301
臺南市六甲區六甲里5鄰民權街18巷9號,67,6700900,6700900-001,5鄰,民權街,,18巷,,,,9號,120.34989526675,23.227927610369
臺南市六甲區六甲里5鄰民權街10號,67,6700900,6700900-001,5鄰,民權街,,,,,,10號,120.35025807945,23.227581001133
臺南市六甲區六甲里25鄰民權街38巷11號,67,6700900,6700900-001,25鄰,民權街,,38巷,,,,11號,120.3493275413,23.228115615269
臺南市六甲區六甲里5鄰民權街18巷11號,67,6700900,6700900-001,5鄰,民權街,,18巷,,,,11號,120.34990562418,23.22796792733
臺南市六甲區六甲里5鄰民權街12號,67,6700900,6700900-001,5鄰,民權街,,,,,,12號,120.3502196428,23.227588608116
臺南市六甲區六甲里5鄰民權街18巷13號,67,6700900,6700900-001,5鄰,民權街,,18巷,,,,13號,120.34991765052,23.228006625779
臺南市六甲區六甲里5鄰民權街14號,67,6700900,6700900-001,5鄰,民權街,,,,,,14號,120.35010685856,23.227594282312
臺南市六甲區六甲里5鄰民權街18巷15號,67,6700900,6700900-001,5鄰,民權街,,18巷,,,,15號,120.34993048301,23.22804027072
臺南市六甲區六甲里3鄰民權街15號,67,6700900,6700900-001,3鄰,民權街,,,,,,15號,120.35031819317,23.227374460905
臺南市六甲區六甲里5鄰民權街16號,67,6700900,6700900-001,5鄰,民權街,,,,,,16號,120.35006570706,23.227597543597
臺南市六甲區六甲里25鄰民權街38巷16號,67,6700900,6700900-001,25鄰,民權街,,38巷,,,,16號,120.34984064495,23.228149975747
臺南市六甲區六甲里3鄰民權街17號,67,6700900,6700900-001,3鄰,民權街,,,,,,17號,120.35026267788,23.227377843478
臺南市六甲區六甲里5鄰民權街18巷17號,67,6700900,6700900-001,5鄰,民權街,,18巷,,,,17號,120.34993752495,23.228079219457
臺南市六甲區六甲里25鄰民權街38巷18號,67,6700900,6700900-001,25鄰,民權街,,38巷,,,,18號,120.34962323841,23.228291570907
臺南市六甲區六甲里5鄰民權街18巷19號,67,6700900,6700900-001,5鄰,民權街,,18巷,,,,19號,120.34994810668,23.228113577494
臺南市六甲區六甲里3鄰民權街19號,67,6700900,6700900-001,3鄰,民權街,,,,,,19號,120.3502161508,23.227381443788
臺南市六甲區六甲里25鄰民權街38巷20號,67,6700900,6700900-001,25鄰,民權街,,38巷,,,,20號,120.34965581505,23.228343989809
臺南市六甲區六甲里5鄰民權街18巷21號,67,6700900,6700900-001,5鄰,民權街,,18巷,,,,21號,120.34996148565,23.228155442059
臺南市六甲區六甲里5鄰民權街22號,67,6700900,6700900-001,5鄰,民權街,,,,,,22號,120.34976854995,23.22760218422
臺南市六甲區六甲里5鄰民權街24號,67,6700900,6700900-001,5鄰,民權街,,,,,,24號,120.34972540537,23.227613473937
臺南市六甲區六甲里3鄰民權街25號,67,6700900,6700900-001,3鄰,民權街,,,,,,25號,120.34977138638,23.227440196439
臺南市六甲區六甲里5鄰民權街26號,67,6700900,6700900-001,5鄰,民權街,,,,,,26號,120.34968644428,23.227628483279
臺南市六甲區六甲里25鄰民權街38巷26號,67,6700900,6700900-001,25鄰,民權街,,38巷,,,,26號,120.34997057501,23.228397124389
臺南市六甲區六甲里25鄰民權街28號,67,6700900,6700900-001,25鄰,民權街,,,,,,28號,120.3496227022,23.227635804821
臺南市六甲區六甲里4鄰民權街29號,67,6700900,6700900-001,4鄰,民權街,,,,,,29號,120.34963818167,23.227425558466
臺南市六甲區六甲里25鄰民權街30號,67,6700900,6700900-001,25鄰,民權街,,,,,,30號,120.34958004832,23.227646645025
臺南市六甲區六甲里4鄰民權街33號,67,6700900,6700900-001,4鄰,民權街,,,,,,33號,120.34956535595,23.227432210299
臺南市六甲區六甲里4鄰民權街33之1號,67,6700900,6700900-001,4鄰,民權街,,,,,,33之1號,120.3495186133,23.227439963343
臺南市六甲區六甲里4鄰民權街33之2號,67,6700900,6700900-001,4鄰,民權街,,,,,,33之2號,120.34947665481,23.227448458578
臺南市六甲區六甲里25鄰民權街34號,67,6700900,6700900-001,25鄰,民權街,,,,,,34號,120.34946440626,23.227697637897
臺南市六甲區六甲里4鄰民權街35號,67,6700900,6700900-001,4鄰,民權街,,,,,,35號,120.34943806094,23.227468345619
臺南市六甲區六甲里25鄰民權街36號,67,6700900,6700900-001,25鄰,民權街,,,,,,36號,120.34942330824,23.227710019608
臺南市六甲區六甲里4鄰民權街43號,67,6700900,6700900-001,4鄰,民權街,,,,,,43號,120.34889099677,23.227405669383
臺南市六甲區六甲里25鄰民權街70號,67,6700900,6700900-001,25鄰,民權街,,,,,,70號,120.34870641729,23.228071685216
臺南市六甲區六甲里25鄰民權街72號,67,6700900,6700900-001,25鄰,民權街,,,,,,72號,120.34866820991,23.227951426956
臺南市六甲區六甲里25鄰民權街74號,67,6700900,6700900-001,25鄰,民權街,,,,,,74號,120.34863209527,23.227963738806
臺南市六甲區六甲里25鄰民權街76號,67,6700900,6700900-001,25鄰,民權街,,,,,,76號,120.34859303056,23.227979921352
臺南市六甲區六甲里25鄰民權街78號,67,6700900,6700900-001,25鄰,民權街,,,,,,78號,120.34855623064,23.227992501246
臺南市六甲區二甲里14鄰民權街228巷1號,67,6700900,6700900-006,14鄰,民權街,,228巷,,,,1號,120.3459720906,23.228676453599
臺南市六甲區二甲里16鄰民權街162巷13弄1號,67,6700900,6700900-006,16鄰,民權街,,162巷,13弄,,,1號,120.34737757158,23.228693131401
臺南市六甲區二甲里3鄰民權街177巷1號,67,6700900,6700900-006,3鄰,民權街,,177巷,,,,1號,120.3468495357,23.228253250734
臺南市六甲區二甲里7鄰民權街320巷2號,67,6700900,6700900-006,7鄰,民權街,,320巷,,,,2號,120.34414475811,23.229247395948
