FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市永康區網寮里26鄰永大二路118號,67,6703100,6703100-002,26鄰,永大二路,,,,,,118號,120.25897823186,23.018335051581
臺南市永康區網寮里26鄰永大二路120號,67,6703100,6703100-002,26鄰,永大二路,,,,,,120號,120.258919225,23.018314457411
臺南市永康區網寮里26鄰永大二路122號,67,6703100,6703100-002,26鄰,永大二路,,,,,,122號,120.25887781379,23.018305233339
臺南市永康區網寮里26鄰永大二路124號,67,6703100,6703100-002,26鄰,永大二路,,,,,,124號,120.25884274361,23.018296038947
臺南市永康區網寮里26鄰永大二路126號,67,6703100,6703100-002,26鄰,永大二路,,,,,,126號,120.25880427137,23.01828457107
臺南市永康區網寮里26鄰永大二路128號,67,6703100,6703100-002,26鄰,永大二路,,,,,,128號,120.25871377922,23.018259314297
臺南市永康區網寮里26鄰永大二路129號,67,6703100,6703100-002,26鄰,永大二路,,,,,,129號,120.25871228092,23.018083652066
臺南市永康區網寮里26鄰永大二路130號,67,6703100,6703100-002,26鄰,永大二路,,,,,,130號,120.25867033174,23.018247823089
臺南市永康區網寮里26鄰永大二路131號,67,6703100,6703100-002,26鄰,永大二路,,,,,,131號,120.25867713514,23.018074023836
臺南市永康區網寮里26鄰永大二路132號,67,6703100,6703100-002,26鄰,永大二路,,,,,,132號,120.25862940834,23.018238601237
臺南市永康區網寮里26鄰永大二路133號,67,6703100,6703100-002,26鄰,永大二路,,,,,,133號,120.25859920294,23.018053340916
臺南市永康區永康里39鄰永大二路1號,67,6703100,6703100-003,39鄰,永大二路,,,,,,1號,120.26196091998,23.018911116144
臺南市永康區永康里39鄰永大二路5號,67,6703100,6703100-003,39鄰,永大二路,,,,,,5號,120.26177270227,23.018862829932
臺南市永康區永康里41鄰永大二路6號,67,6703100,6703100-003,41鄰,永大二路,,,,,,6號,120.26175530747,23.019094084244
臺南市永康區永康里41鄰永大二路8號,67,6703100,6703100-003,41鄰,永大二路,,,,,,8號,120.26164786248,23.019087848914
臺南市永康區永康里42鄰永大二路108巷9號,67,6703100,6703100-003,42鄰,永大二路,,108巷,,,,9號,120.25947749082,23.018877754512
臺南市永康區永康里42鄰永大二路108巷11號,67,6703100,6703100-003,42鄰,永大二路,,108巷,,,,11號,120.25949952226,23.018916506786
臺南市永康區永康里42鄰永大二路108巷13號,67,6703100,6703100-003,42鄰,永大二路,,108巷,,,,13號,120.25951873202,23.01895389133
臺南市永康區永康里40鄰永大二路25號,67,6703100,6703100-003,40鄰,永大二路,,,,,,25號,120.26156205126,23.018831596207
臺南市永康區永康里40鄰永大二路27號,67,6703100,6703100-003,40鄰,永大二路,,,,,,27號,120.26152478615,23.018813361972
臺南市永康區永康里40鄰永大二路29號,67,6703100,6703100-003,40鄰,永大二路,,,,,,29號,120.26139456569,23.018738345614
臺南市永康區永康里40鄰永大二路31號,67,6703100,6703100-003,40鄰,永大二路,,,,,,31號,120.26133572877,23.018722268223
臺南市永康區永康里40鄰永大二路33號,67,6703100,6703100-003,40鄰,永大二路,,,,,,33號,120.26124711394,23.018746236185
臺南市永康區永康里40鄰永大二路36號,67,6703100,6703100-003,40鄰,永大二路,,,,,,36號,120.26118419991,23.019012965278
臺南市永康區永康里40鄰永大二路37號,67,6703100,6703100-003,40鄰,永大二路,,,,,,37號,120.26109054967,23.018564450075
臺南市永康區永康里40鄰永大二路40號,67,6703100,6703100-003,40鄰,永大二路,,,,,,40號,120.26114066646,23.018909727603
臺南市永康區永康里40鄰永大二路42號,67,6703100,6703100-003,40鄰,永大二路,,,,,,42號,120.26111747451,23.018904833344
臺南市永康區永康里40鄰永大二路46號,67,6703100,6703100-003,40鄰,永大二路,,,,,,46號,120.26100700853,23.019035887523
臺南市永康區永康里40鄰永大二路48號,67,6703100,6703100-003,40鄰,永大二路,,,,,,48號,120.26087259166,23.019014851683
臺南市永康區永康里40鄰永大二路50號,67,6703100,6703100-003,40鄰,永大二路,,,,,,50號,120.26086515551,23.018965150914
臺南市永康區永康里42鄰永大二路108巷51號,67,6703100,6703100-003,42鄰,永大二路,,108巷,,,,51號,120.25958329458,23.019529416316
臺南市永康區永康里40鄰永大二路52號,67,6703100,6703100-003,40鄰,永大二路,,,,,,52號,120.26098745657,23.018882192704
臺南市永康區永康里42鄰永大二路108巷53號,67,6703100,6703100-003,42鄰,永大二路,,108巷,,,,53號,120.25960293904,23.019558675713
臺南市永康區永康里40鄰永大二路54號,67,6703100,6703100-003,40鄰,永大二路,,,,,,54號,120.26093728971,23.018868413191
臺南市永康區永康里42鄰永大二路108巷55號,67,6703100,6703100-003,42鄰,永大二路,,108巷,,,,55號,120.25968471487,23.01957242289
臺南市永康區永康里40鄰永大二路56號,67,6703100,6703100-003,40鄰,永大二路,,,,,,56號,120.26088945187,23.018856902085
臺南市永康區永康里42鄰永大二路108巷57號,67,6703100,6703100-003,42鄰,永大二路,,108巷,,,,57號,120.25963893066,23.019667206317
臺南市永康區永康里40鄰永大二路58號,67,6703100,6703100-003,40鄰,永大二路,,,,,,58號,120.26084762158,23.018852914076
臺南市永康區永康里42鄰永大二路108巷59號,67,6703100,6703100-003,42鄰,永大二路,,108巷,,,,59號,120.25970444987,23.019656586239
臺南市永康區永康里42鄰永大二路108巷61號,67,6703100,6703100-003,42鄰,永大二路,,108巷,,,,61號,120.25974865513,23.019690204677
臺南市永康區永康里42鄰永大二路108巷63號,67,6703100,6703100-003,42鄰,永大二路,,108巷,,,,63號,120.25979449822,23.019691863898
臺南市永康區永康里42鄰永大二路66號,67,6703100,6703100-003,42鄰,永大二路,,,,,,66號,120.26068354576,23.018814311312
臺南市永康區永康里42鄰永大二路68號,67,6703100,6703100-003,42鄰,永大二路,,,,,,68號,120.26061066505,23.018815325418
臺南市永康區永康里42鄰永大二路73號,67,6703100,6703100-003,42鄰,永大二路,,,,,,73號,120.26035588455,23.018504128677
臺南市永康區永康里42鄰永大二路75號,67,6703100,6703100-003,42鄰,永大二路,,,,,,75號,120.26026925717,23.018485663486
臺南市永康區永康里42鄰永大二路77號,67,6703100,6703100-003,42鄰,永大二路,,,,,,77號,120.26021411526,23.018471860498
臺南市永康區永康里42鄰永大二路79號,67,6703100,6703100-003,42鄰,永大二路,,,,,,79號,120.26017427709,23.018460386567
臺南市永康區永康里42鄰永大二路81號,67,6703100,6703100-003,42鄰,永大二路,,,,,,81號,120.26013393884,23.018451167836
臺南市永康區永康里42鄰永大二路83號,67,6703100,6703100-003,42鄰,永大二路,,,,,,83號,120.26009205204,23.018439684309
臺南市永康區永康里42鄰永大二路85號,67,6703100,6703100-003,42鄰,永大二路,,,,,,85號,120.26005094568,23.01842820442
臺南市永康區永康里42鄰永大二路87號,67,6703100,6703100-003,42鄰,永大二路,,,,,,87號,120.25999346251,23.018414390411
臺南市永康區永康里42鄰永大二路88號,67,6703100,6703100-003,42鄰,永大二路,,,,,,88號,120.25988001214,23.018984929136
臺南市永康區永康里42鄰永大二路91號,67,6703100,6703100-003,42鄰,永大二路,,,,,,91號,120.25991343503,23.018277028288
臺南市永康區永康里42鄰永大二路93號,67,6703100,6703100-003,42鄰,永大二路,,,,,,93號,120.25983810926,23.018350723637
