FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市安平區億載里2鄰永華十一街141巷1號,67,6703600,6703600-012,2鄰,永華十一街,,141巷,,,,1號,120.16166162479,22.993312460463
臺南市安平區億載里2鄰永華十一街159巷1號,67,6703600,6703600-012,2鄰,永華十一街,,159巷,,,,1號,120.16153021233,22.993775368671
臺南市安平區億載里5鄰永華十一街113巷2號,67,6703600,6703600-012,5鄰,永華十一街,,113巷,,,,2號,120.16168179555,22.992462476535
臺南市安平區億載里2鄰永華十一街141巷2號,67,6703600,6703600-012,2鄰,永華十一街,,141巷,,,,2號,120.16174136951,22.993461246462
臺南市安平區億載里5鄰永華十一街113巷2之1號,67,6703600,6703600-012,5鄰,永華十一街,,113巷,,,,2之1號,120.16163785482,22.992454658755
臺南市安平區億載里2鄰永華十一街141巷3號,67,6703600,6703600-012,2鄰,永華十一街,,141巷,,,,3號,120.16163451034,22.993312316975
臺南市安平區億載里2鄰永華十一街159巷3號,67,6703600,6703600-012,2鄰,永華十一街,,159巷,,,,3號,120.16147925485,22.993766520393
臺南市安平區億載里2鄰永華十一街159巷5號,67,6703600,6703600-012,2鄰,永華十一街,,159巷,,,,5號,120.16142818256,22.993760470812
臺南市安平區億載里2鄰永華十一街159巷6號,67,6703600,6703600-012,2鄰,永華十一街,,159巷,,,,6號,120.16156688096,22.993918418412
臺南市安平區億載里2鄰永華十一街141巷6號,67,6703600,6703600-012,2鄰,永華十一街,,141巷,,,,6號,120.16165360171,22.993427099871
臺南市安平區億載里2鄰永華十一街159巷7號,67,6703600,6703600-012,2鄰,永華十一街,,159巷,,,,7號,120.16139112796,22.993743117535
臺南市安平區億載里8鄰永華十一街49巷7號,67,6703600,6703600-012,8鄰,永華十一街,,49巷,,,,7號,120.16199456005,22.99052411084
臺南市安平區億載里2鄰永華十一街159巷8號,67,6703600,6703600-012,2鄰,永華十一街,,159巷,,,,8號,120.16152520815,22.993906549064
臺南市安平區億載里2鄰永華十一街141巷8號,67,6703600,6703600-012,2鄰,永華十一街,,141巷,,,,8號,120.16160483467,22.993426841793
臺南市安平區億載里2鄰永華十一街159巷9號,67,6703600,6703600-012,2鄰,永華十一街,,159巷,,,,9號,120.16133385755,22.993729901359
臺南市安平區億載里8鄰永華十一街49巷9號,67,6703600,6703600-012,8鄰,永華十一街,,49巷,,,,9號,120.16189268533,22.990452866504
臺南市安平區億載里8鄰永華十一街49巷10號,67,6703600,6703600-012,8鄰,永華十一街,,49巷,,,,10號,120.16168339443,22.990639313823
臺南市安平區億載里2鄰永華十一街159巷10號,67,6703600,6703600-012,2鄰,永華十一街,,159巷,,,,10號,120.16147942665,22.993896644572
臺南市安平區億載里2鄰永華十一街141巷10號,67,6703600,6703600-012,2鄰,永華十一街,,141巷,,,,10號,120.1615015065,22.993432706271
臺南市安平區億載里8鄰永華十一街49巷11號,67,6703600,6703600-012,8鄰,永華十一街,,49巷,,,,11號,120.1618388984,22.990428561978
臺南市安平區億載里8鄰永華十一街49巷12號,67,6703600,6703600-012,8鄰,永華十一街,,49巷,,,,12號,120.16157299861,22.990700224437
臺南市安平區億載里2鄰永華十一街141巷12號,67,6703600,6703600-012,2鄰,永華十一街,,141巷,,,,12號,120.16143660179,22.99342378416
臺南市安平區億載里8鄰永華十一街49巷13號,67,6703600,6703600-012,8鄰,永華十一街,,49巷,,,,13號,120.16187378199,22.990513087385
臺南市安平區億載里5鄰永華十一街113巷14號,67,6703600,6703600-012,5鄰,永華十一街,,113巷,,,,14號,120.1613826071,22.992485364561
臺南市安平區億載里8鄰永華十一街17巷14號,67,6703600,6703600-012,8鄰,永華十一街,,17巷,,,,14號,120.16174094528,22.990117048084
臺南市安平區億載里8鄰永華十一街49巷15號,67,6703600,6703600-012,8鄰,永華十一街,,49巷,,,,15號,120.16182039856,22.990502420395
臺南市安平區億載里5鄰永華十一街113巷16號,67,6703600,6703600-012,5鄰,永華十一街,,113巷,,,,16號,120.1613203992,22.992482055331
