FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市下營區賀建里12鄰洲子1號,67,6700800,6700800-013,12鄰,洲子,,,,,,1號,120.28388871686,23.246332452837
臺南市下營區賀建里12鄰洲子1之21號,67,6700800,6700800-013,12鄰,洲子,,,,,,1之21號,120.28229790055,23.245783846655
臺南市下營區賀建里12鄰洲子2號,67,6700800,6700800-013,12鄰,洲子,,,,,,2號,120.28903853386,23.248701469441
臺南市下營區賀建里12鄰洲子2之9號,67,6700800,6700800-013,12鄰,洲子,,,,,,2之9號,120.28669905891,23.248602459959
臺南市下營區賀建里12鄰洲子3號,67,6700800,6700800-013,12鄰,洲子,,,,,,3號,120.28924383817,23.249072898221
臺南市下營區賀建里12鄰洲子5號,67,6700800,6700800-013,12鄰,洲子,,,,,,5號,120.2896663041,23.249182897994
臺南市下營區賀建里12鄰洲子6號,67,6700800,6700800-013,12鄰,洲子,,,,,,6號,120.28961045524,23.249155104015
臺南市下營區賀建里12鄰洲子7號,67,6700800,6700800-013,12鄰,洲子,,,,,,7號,120.28963334763,23.249390257678
臺南市下營區賀建里12鄰洲子9號,67,6700800,6700800-013,12鄰,洲子,,,,,,9號,120.28967422101,23.249680846363
臺南市下營區賀建里12鄰洲子9之9號,67,6700800,6700800-013,12鄰,洲子,,,,,,9之9號,120.28902620171,23.249940144862
臺南市下營區賀建里12鄰洲子9之15號,67,6700800,6700800-013,12鄰,洲子,,,,,,9之15號,120.29037210273,23.250764978532
臺南市下營區賀建里12鄰洲子9之16號,67,6700800,6700800-013,12鄰,洲子,,,,,,9之16號,120.28605206799,23.250908121544
臺南市下營區賀建里12鄰洲子10號,67,6700800,6700800-013,12鄰,洲子,,,,,,10號,120.28983171063,23.249670451619
臺南市下營區賀建里12鄰洲子11號,67,6700800,6700800-013,12鄰,洲子,,,,,,11號,120.28984028965,23.249822013308
臺南市下營區賀建里13鄰洲子12號,67,6700800,6700800-013,13鄰,洲子,,,,,,12號,120.28985151473,23.250009074739
臺南市下營區賀建里13鄰洲子13號,67,6700800,6700800-013,13鄰,洲子,,,,,,13號,120.29008280616,23.250142770526
臺南市下營區賀建里13鄰洲子14號,67,6700800,6700800-013,13鄰,洲子,,,,,,14號,120.29021876408,23.250157020205
臺南市下營區賀建里13鄰洲子16號,67,6700800,6700800-013,13鄰,洲子,,,,,,16號,120.29045058352,23.250154094392
臺南市下營區賀建里13鄰洲子17號,67,6700800,6700800-013,13鄰,洲子,,,,,,17號,120.29070219972,23.250343776613
臺南市下營區賀建里13鄰洲子18號,67,6700800,6700800-013,13鄰,洲子,,,,,,18號,120.29053619995,23.250300134552
臺南市下營區賀建里13鄰洲子19號,67,6700800,6700800-013,13鄰,洲子,,,,,,19號,120.29051015097,23.250458131675
臺南市下營區賀建里13鄰洲子20號,67,6700800,6700800-013,13鄰,洲子,,,,,,20號,120.29087873282,23.250206595734
臺南市下營區賀建里13鄰洲子21號,67,6700800,6700800-013,13鄰,洲子,,,,,,21號,120.29059380996,23.250142912064
臺南市下營區賀建里13鄰洲子22號,67,6700800,6700800-013,13鄰,洲子,,,,,,22號,120.29091420454,23.25005920614
臺南市下營區賀建里13鄰洲子23號,67,6700800,6700800-013,13鄰,洲子,,,,,,23號,120.2904213355,23.249937784767
臺南市下營區賀建里13鄰洲子23之17號,67,6700800,6700800-013,13鄰,洲子,,,,,,23之17號,120.2946108695,23.250260062208
臺南市下營區賀建里14鄰洲子24號,67,6700800,6700800-013,14鄰,洲子,,,,,,24號,120.29000182388,23.249896789303
臺南市下營區賀建里14鄰洲子27號,67,6700800,6700800-013,14鄰,洲子,,,,,,27號,120.28995603738,23.249795717567
臺南市下營區賀建里14鄰洲子28號,67,6700800,6700800-013,14鄰,洲子,,,,,,28號,120.29027138982,23.249685983832
臺南市下營區賀建里14鄰洲子29號,67,6700800,6700800-013,14鄰,洲子,,,,,,29號,120.29024629688,23.249811025846
臺南市下營區賀建里14鄰洲子30號,67,6700800,6700800-013,14鄰,洲子,,,,,,30號,120.28980694772,23.248939544128
臺南市下營區賀建里14鄰洲子32號,67,6700800,6700800-013,14鄰,洲子,,,,,,32號,120.28963307135,23.248833558734
臺南市下營區賀建里15鄰洲子33號,67,6700800,6700800-013,15鄰,洲子,,,,,,33號,120.28964570761,23.248606512103
臺南市下營區賀建里15鄰洲子34號,67,6700800,6700800-013,15鄰,洲子,,,,,,34號,120.28888113874,23.248215034867
臺南市下營區賀建里15鄰洲子34之7號,67,6700800,6700800-013,15鄰,洲子,,,,,,34之7號,120.28902888551,23.248161885024
臺南市下營區賀建里15鄰洲子35號,67,6700800,6700800-013,15鄰,洲子,,,,,,35號,120.28976347473,23.248364770489
臺南市下營區賀建里15鄰洲子36號,67,6700800,6700800-013,15鄰,洲子,,,,,,36號,120.28969026772,23.248127131814
