FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市安定區港口里6鄰港口212號,67,6702100,6702100-008,6鄰,港口,,,,,,212號,120.23318860602,23.091170449928
臺南市安定區港口里6鄰港口212之1號,67,6702100,6702100-008,6鄰,港口,,,,,,212之1號,120.23311731428,23.091228618551
臺南市安定區港口里6鄰港口212之3號,67,6702100,6702100-008,6鄰,港口,,,,,,212之3號,120.23316137901,23.091203819261
臺南市安定區港口里6鄰港口213號,67,6702100,6702100-008,6鄰,港口,,,,,,213號,120.23322803224,23.09113741073
臺南市安定區港口里6鄰港口214號,67,6702100,6702100-008,6鄰,港口,,,,,,214號,120.2332594199,23.091110472936
臺南市安定區港口里6鄰港口216號,67,6702100,6702100-008,6鄰,港口,,,,,,216號,120.2333221957,23.09105650703
臺南市安定區港口里6鄰港口217號,67,6702100,6702100-008,6鄰,港口,,,,,,217號,120.23335255553,23.091038684596
臺南市安定區港口里6鄰港口218號,67,6702100,6702100-008,6鄰,港口,,,,,,218號,120.23347903077,23.090939967835
臺南市安定區港口里6鄰港口219號,67,6702100,6702100-008,6鄰,港口,,,,,,219號,120.23350944227,23.09091302525
臺南市安定區港口里6鄰港口220號,67,6702100,6702100-008,6鄰,港口,,,,,,220號,120.23353199408,23.090895074578
臺南市安定區港口里6鄰港口221號,67,6702100,6702100-008,6鄰,港口,,,,,,221號,120.23355087321,23.090870694726
臺南市安定區港口里6鄰港口222號,67,6702100,6702100-008,6鄰,港口,,,,,,222號,120.23356726815,23.090854068675
臺南市安定區港口里6鄰港口223號,67,6702100,6702100-008,6鄰,港口,,,,,,223號,120.23359407465,23.090843182099
臺南市安定區港口里6鄰港口224號,67,6702100,6702100-008,6鄰,港口,,,,,,224號,120.23363180822,23.090850408692
臺南市安定區港口里6鄰港口225號,67,6702100,6702100-008,6鄰,港口,,,,,,225號,120.2336659703,23.090850574489
臺南市安定區港口里6鄰港口226號,67,6702100,6702100-008,6鄰,港口,,,,,,226號,120.23369622815,23.090850721331
臺南市安定區港口里6鄰港口227號,67,6702100,6702100-008,6鄰,港口,,,,,,227號,120.23372843812,23.09085087764
臺南市安定區港口里6鄰港口228號,67,6702100,6702100-008,6鄰,港口,,,,,,228號,120.23376557958,23.090842027803
臺南市安定區港口里6鄰港口229號,67,6702100,6702100-008,6鄰,港口,,,,,,229號,120.23380559803,23.090842221987
臺南市安定區港口里6鄰港口230號,67,6702100,6702100-008,6鄰,港口,,,,,,230號,120.23384561647,23.090842416161
臺南市安定區港口里6鄰港口231號,67,6702100,6702100-008,6鄰,港口,,,,,,231號,120.23393813739,23.090878985326
臺南市安定區港口里6鄰港口231之1號,67,6702100,6702100-008,6鄰,港口,,,,,,231之1號,120.23393726115,23.090861372437
臺南市安定區港口里1鄰港口233號,67,6702100,6702100-008,1鄰,港口,,,,,,233號,120.23404431447,23.090676052905
臺南市安定區港口里1鄰港口233之2號,67,6702100,6702100-008,1鄰,港口,,,,,,233之2號,120.23448972407,23.090603263231
臺南市安定區港口里1鄰港口233之3號,67,6702100,6702100-008,1鄰,港口,,,,,,233之3號,120.23422905186,23.090871817834
臺南市安定區港口里1鄰港口233之5號,67,6702100,6702100-008,1鄰,港口,,,,,,233之5號,120.23432434762,23.090935490445
臺南市安定區港口里1鄰港口233之6號,67,6702100,6702100-008,1鄰,港口,,,,,,233之6號,120.23436161614,23.090955898513
臺南市安定區港口里1鄰港口233之7號,67,6702100,6702100-008,1鄰,港口,,,,,,233之7號,120.23416884316,23.090817345412
臺南市安定區港口里1鄰港口233之8號,67,6702100,6702100-008,1鄰,港口,,,,,,233之8號,120.23411916647,23.090799044334
臺南市安定區港口里1鄰港口233之9號,67,6702100,6702100-008,1鄰,港口,,,,,,233之9號,120.23405705691,23.09073553258
臺南市安定區港口里1鄰港口234號,67,6702100,6702100-008,1鄰,港口,,,,,,234號,120.2344869316,23.091015264758
臺南市安定區港口里1鄰港口234之2號,67,6702100,6702100-008,1鄰,港口,,,,,,234之2號,120.23456661952,23.091072116096
臺南市安定區港口里1鄰港口234之5號,67,6702100,6702100-008,1鄰,港口,,,,,,234之5號,120.23444785828,23.090998125884
臺南市安定區港口里1鄰港口235號,67,6702100,6702100-008,1鄰,港口,,,,,,235號,120.23474534815,23.091226042082
臺南市安定區港口里1鄰港口235之4號,67,6702100,6702100-008,1鄰,港口,,,,,,235之4號,120.23495602008,23.091341112734
臺南市安定區港口里1鄰港口235之12號,67,6702100,6702100-008,1鄰,港口,,,,,,235之12號,120.235208702,23.091535760919
臺南市安定區港口里1鄰港口235之13號,67,6702100,6702100-008,1鄰,港口,,,,,,235之13號,120.234666359,23.091126779974
臺南市安定區港口里1鄰港口235之14號,67,6702100,6702100-008,1鄰,港口,,,,,,235之14號,120.23502016324,23.091390366484
臺南市安定區港口里1鄰港口235之15號,67,6702100,6702100-008,1鄰,港口,,,,,,235之15號,120.23505211778,23.091435671646
臺南市安定區港口里1鄰港口236號,67,6702100,6702100-008,1鄰,港口,,,,,,236號,120.23464895583,23.090494139111
臺南市安定區港口里1鄰港口236之1號,67,6702100,6702100-008,1鄰,港口,,,,,,236之1號,120.23468969201,23.090539938411
臺南市安定區港口里1鄰港口236之2號,67,6702100,6702100-008,1鄰,港口,,,,,,236之2號,120.23470900864,23.090576152317
臺南市安定區港口里1鄰港口236之3號,67,6702100,6702100-008,1鄰,港口,,,,,,236之3號,120.23472734921,23.090612361491
臺南市安定區港口里1鄰港口236之5號,67,6702100,6702100-008,1鄰,港口,,,,,,236之5號,120.23475719798,23.090684746721
臺南市安定區港口里1鄰港口236之7號,67,6702100,6702100-008,1鄰,港口,,,,,,236之7號,120.23479475866,23.090756988716
臺南市安定區港口里1鄰港口236之8號,67,6702100,6702100-008,1鄰,港口,,,,,,236之8號,120.23481715174,23.090784277747
臺南市安定區港口里1鄰港口236之9號,67,6702100,6702100-008,1鄰,港口,,,,,,236之9號,120.2348345158,23.090820572477
臺南市安定區港口里1鄰港口236之10號,67,6702100,6702100-008,1鄰,港口,,,,,,236之10號,120.23485092933,23.090869595
臺南市安定區港口里2鄰港口245號,67,6702100,6702100-008,2鄰,港口,,,,,,245號,120.23524530286,23.091824268371
臺南市安定區港口里2鄰港口245之4號,67,6702100,6702100-008,2鄰,港口,,,,,,245之4號,120.23526526488,23.091855157595
臺南市安定區港口里2鄰港口245之6號,67,6702100,6702100-008,2鄰,港口,,,,,,245之6號,120.23471586369,23.091434042326
臺南市安定區港口里2鄰港口245之10號,67,6702100,6702100-008,2鄰,港口,,,,,,245之10號,120.23557001561,23.092059719567
臺南市安定區港口里2鄰港口245之13號,67,6702100,6702100-008,2鄰,港口,,,,,,245之13號,120.23515284753,23.091729366012
臺南市安定區港口里2鄰港口245之17號,67,6702100,6702100-008,2鄰,港口,,,,,,245之17號,120.23560988723,23.092223988989
臺南市安定區港口里2鄰港口245之18號,67,6702100,6702100-008,2鄰,港口,,,,,,245之18號,120.23568371105,23.092287556856
臺南市安定區港口里2鄰港口245之19號,67,6702100,6702100-008,2鄰,港口,,,,,,245之19號,120.23570873139,23.092350888466
臺南市安定區港口里2鄰港口245之20號,67,6702100,6702100-008,2鄰,港口,,,,,,245之20號,120.23570889003,23.092409133194
臺南市安定區港口里2鄰港口245之21號,67,6702100,6702100-008,2鄰,港口,,,,,,245之21號,120.23508341355,23.091656003484
臺南市安定區港口里2鄰港口245之23號,67,6702100,6702100-008,2鄰,港口,,,,,,245之23號,120.23498011015,23.091861813051
臺南市安定區港口里2鄰港口246號,67,6702100,6702100-008,2鄰,港口,,,,,,246號,120.23490023521,23.091832710415
臺南市安定區港口里2鄰港口246之10號,67,6702100,6702100-008,2鄰,港口,,,,,,246之10號,120.23490973365,23.092103207054
臺南市安定區港口里2鄰港口246之11號,67,6702100,6702100-008,2鄰,港口,,,,,,246之11號,120.2349329037,23.092148469674
臺南市安定區港口里2鄰港口247號,67,6702100,6702100-008,2鄰,港口,,,,,,247號,120.23459864064,23.091622654133
臺南市安定區港口里2鄰港口247之5號,67,6702100,6702100-008,2鄰,港口,,,,,,247之5號,120.23459028659,23.091908505667
臺南市安定區港口里2鄰港口247之6號,67,6702100,6702100-008,2鄰,港口,,,,,,247之6號,120.23461717783,23.091951619153
臺南市安定區港口里2鄰港口247之7號,67,6702100,6702100-008,2鄰,港口,,,,,,247之7號,120.23462856955,23.091991135778
臺南市安定區港口里2鄰港口247之8號,67,6702100,6702100-008,2鄰,港口,,,,,,247之8號,120.23464772942,23.092037823811
臺南市安定區港口里2鄰港口248號,67,6702100,6702100-008,2鄰,港口,,,,,,248號,120.23472172823,23.092725370792
臺南市安定區港口里2鄰港口249號,67,6702100,6702100-008,2鄰,港口,,,,,,249號,120.23532766077,23.093368989896
臺南市安定區港口里2鄰港口249之2號,67,6702100,6702100-008,2鄰,港口,,,,,,249之2號,120.23561495397,23.093243689113
臺南市安定區港口里2鄰港口250號,67,6702100,6702100-008,2鄰,港口,,,,,,250號,120.2348268678,23.092860879882
臺南市安定區港口里2鄰港口250之3號,67,6702100,6702100-008,2鄰,港口,,,,,,250之3號,120.23449945855,23.092985894452
臺南市安定區港口里2鄰港口250之6號,67,6702100,6702100-008,2鄰,港口,,,,,,250之6號,120.23464916856,23.092869500207
臺南市安定區港口里2鄰港口250之7號,67,6702100,6702100-008,2鄰,港口,,,,,,250之7號,120.23468733774,23.092851625078
臺南市安定區港口里2鄰港口250之8號,67,6702100,6702100-008,2鄰,港口,,,,,,250之8號,120.23508917982,23.092822174734
臺南市安定區港口里2鄰港口250之9號,67,6702100,6702100-008,2鄰,港口,,,,,,250之9號,120.23507748598,23.092787713517
臺南市安定區港口里2鄰港口250之10號,67,6702100,6702100-008,2鄰,港口,,,,,,250之10號,120.23506839499,23.092750393346
臺南市安定區港口里2鄰港口250之11號,67,6702100,6702100-008,2鄰,港口,,,,,,250之11號,120.23505777368,23.092709246042
臺南市安定區港口里2鄰港口250之12號,67,6702100,6702100-008,2鄰,港口,,,,,,250之12號,120.23504611231,23.092669050885
臺南市安定區港口里2鄰港口250之13號,67,6702100,6702100-008,2鄰,港口,,,,,,250之13號,120.23503650939,23.092630780076
臺南市安定區港口里2鄰港口250之15號,67,6702100,6702100-008,2鄰,港口,,,,,,250之15號,120.23502484262,23.092591542079
臺南市安定區港口里2鄰港口250之16號,67,6702100,6702100-008,2鄰,港口,,,,,,250之16號,120.23501525054,23.092551356945
臺南市安定區港口里2鄰港口250之17號,67,6702100,6702100-008,2鄰,港口,,,,,,250之17號,120.23500669311,23.092511176824
臺南市安定區港口里2鄰港口250之18號,67,6702100,6702100-008,2鄰,港口,,,,,,250之18號,120.23499501015,23.092474801278
臺南市安定區港口里2鄰港口250之19號,67,6702100,6702100-008,2鄰,港口,,,,,,250之19號,120.23448868184,23.09280334451
臺南市安定區港口里2鄰港口251號,67,6702100,6702100-008,2鄰,港口,,,,,,251號,120.2349504331,23.093150413777
臺南市安定區港口里2鄰港口251之8號,67,6702100,6702100-008,2鄰,港口,,,,,,251之8號,120.23602672645,23.092923760003
臺南市安定區港口里2鄰港口251之14號,67,6702100,6702100-008,2鄰,港口,,,,,,251之14號,120.23579469421,23.092856988528
臺南市安定區港口里2鄰港口251之16號,67,6702100,6702100-008,2鄰,港口,,,,,,251之16號,120.23602923792,23.093670829911
臺南市安定區港口里2鄰港口251之17號,67,6702100,6702100-008,2鄰,港口,,,,,,251之17號,120.23602600337,23.093724994682
臺南市安定區港口里2鄰港口251之19號,67,6702100,6702100-008,2鄰,港口,,,,,,251之19號,120.23601974069,23.092415604081
臺南市安定區港口里2鄰港口251之23號,67,6702100,6702100-008,2鄰,港口,,,,,,251之23號,120.23605160603,23.092822111478
臺南市安定區港口里2鄰港口251之26號,67,6702100,6702100-008,2鄰,港口,,,,,,251之26號,120.23672303949,23.093241554692
臺南市安定區港口里2鄰港口251之27號,67,6702100,6702100-008,2鄰,港口,,,,,,251之27號,120.23579924619,23.093778077743
臺南市安定區港口里2鄰港口251之28號,67,6702100,6702100-008,2鄰,港口,,,,,,251之28號,120.235800018,23.093814201758
臺南市安定區港口里2鄰港口251之29號,67,6702100,6702100-008,2鄰,港口,,,,,,251之29號,120.23580073875,23.093859355596
臺南市安定區港口里2鄰港口251之30號,67,6702100,6702100-008,2鄰,港口,,,,,,251之30號,120.23491058462,23.093159729355
臺南市安定區港口里2鄰港口251之31號,67,6702100,6702100-008,2鄰,港口,,,,,,251之31號,120.23471418868,23.09319489785
臺南市安定區港口里2鄰港口251之32號,67,6702100,6702100-008,2鄰,港口,,,,,,251之32號,120.23790098725,23.094438401588
臺南市安定區港口里2鄰港口251之33號,67,6702100,6702100-008,2鄰,港口,,,,,,251之33號,120.2361021253,23.093382220308
臺南市安定區港口里2鄰港口251之34號,67,6702100,6702100-008,2鄰,港口,,,,,,251之34號,120.23716229959,23.093360255764
臺南市安定區港口里2鄰港口251之35號,67,6702100,6702100-008,2鄰,港口,,,,,,251之35號,120.23463302088,23.093221594626
臺南市安定區港口里2鄰港口251之36號,67,6702100,6702100-008,2鄰,港口,,,,,,251之36號,120.23711697209,23.095337622355
臺南市安定區港口里2鄰港口251之37號,67,6702100,6702100-008,2鄰,港口,,,,,,251之37號,120.23509497373,23.092955685295
臺南市安定區港口里2鄰港口251之38號,67,6702100,6702100-008,2鄰,港口,,,,,,251之38號,120.23511019796,23.093004494333
臺南市安定區港口里2鄰港口251之39號,67,6702100,6702100-008,2鄰,港口,,,,,,251之39號,120.23512650442,23.093046626361
臺南市安定區港口里2鄰港口251之40號,67,6702100,6702100-008,2鄰,港口,,,,,,251之40號,120.23514484878,23.093092587978
臺南市安定區港口里2鄰港口251之41號,67,6702100,6702100-008,2鄰,港口,,,,,,251之41號,120.23516633496,23.093131873531
臺南市安定區港口里2鄰港口251之42號,67,6702100,6702100-008,2鄰,港口,,,,,,251之42號,120.23518570858,23.093178797317
臺南市安定區港口里2鄰港口251之43號,67,6702100,6702100-008,2鄰,港口,,,,,,251之43號,120.2350086909,23.09303936432
