FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市七股區玉成里1鄰玉成1號,67,6701500,6701500-011,1鄰,玉成,,,,,,1號,120.13845515937,23.140438418817
臺南市七股區玉成里1鄰玉成2號,67,6701500,6701500-011,1鄰,玉成,,,,,,2號,120.1382996211,23.140315123712
臺南市七股區玉成里1鄰玉成3號,67,6701500,6701500-011,1鄰,玉成,,,,,,3號,120.13798947527,23.139999459672
臺南市七股區玉成里1鄰玉成4號,67,6701500,6701500-011,1鄰,玉成,,,,,,4號,120.13677833288,23.139219153637
臺南市七股區玉成里1鄰玉成5號,67,6701500,6701500-011,1鄰,玉成,,,,,,5號,120.1363638997,23.138752929393
臺南市七股區玉成里2鄰玉成6號,67,6701500,6701500-011,2鄰,玉成,,,,,,6號,120.13600086477,23.13908865711
臺南市七股區玉成里2鄰玉成7號,67,6701500,6701500-011,2鄰,玉成,,,,,,7號,120.13575227459,23.138767817948
臺南市七股區玉成里2鄰玉成8號,67,6701500,6701500-011,2鄰,玉成,,,,,,8號,120.13579759688,23.139054674262
臺南市七股區玉成里2鄰玉成9號,67,6701500,6701500-011,2鄰,玉成,,,,,,9號,120.13555086925,23.138915525848
臺南市七股區玉成里2鄰玉成10號,67,6701500,6701500-011,2鄰,玉成,,,,,,10號,120.13537985407,23.139089947949
臺南市七股區玉成里2鄰玉成11號,67,6701500,6701500-011,2鄰,玉成,,,,,,11號,120.1352469643,23.139150712424
臺南市七股區玉成里2鄰玉成12號,67,6701500,6701500-011,2鄰,玉成,,,,,,12號,120.13508947505,23.139469234675
臺南市七股區玉成里2鄰玉成13號,67,6701500,6701500-011,2鄰,玉成,,,,,,13號,120.13554697379,23.139553554575
臺南市七股區玉成里2鄰玉成14號,67,6701500,6701500-011,2鄰,玉成,,,,,,14號,120.1354096101,23.139747024581
臺南市七股區玉成里2鄰玉成15號,67,6701500,6701500-011,2鄰,玉成,,,,,,15號,120.13534890048,23.139866617205
臺南市七股區玉成里2鄰玉成16號,67,6701500,6701500-011,2鄰,玉成,,,,,,16號,120.13473060493,23.140235435601
臺南市七股區玉成里3鄰玉成17號,67,6701500,6701500-011,3鄰,玉成,,,,,,17號,120.13428560602,23.137200403935
臺南市七股區玉成里3鄰玉成18號,67,6701500,6701500-011,3鄰,玉成,,,,,,18號,120.13435682737,23.136524729141
臺南市七股區玉成里3鄰玉成19號,67,6701500,6701500-011,3鄰,玉成,,,,,,19號,120.13436121388,23.136480235997
臺南市七股區玉成里3鄰玉成20號,67,6701500,6701500-011,3鄰,玉成,,,,,,20號,120.13435623771,23.136434066072
臺南市七股區玉成里3鄰玉成21號,67,6701500,6701500-011,3鄰,玉成,,,,,,21號,120.13436040459,23.136393364265
臺南市七股區玉成里3鄰玉成22號,67,6701500,6701500-011,3鄰,玉成,,,,,,22號,120.13469099908,23.136289078122
臺南市七股區玉成里3鄰玉成23號,67,6701500,6701500-011,3鄰,玉成,,,,,,23號,120.13469325803,23.136256583008
臺南市七股區玉成里3鄰玉成24號,67,6701500,6701500-011,3鄰,玉成,,,,,,24號,120.13468531442,23.136216356514
臺南市七股區玉成里3鄰玉成25號,67,6701500,6701500-011,3鄰,玉成,,,,,,25號,120.13473156532,23.136114572878
臺南市七股區玉成里3鄰玉成26號,67,6701500,6701500-011,3鄰,玉成,,,,,,26號,120.13457567825,23.135910003543
臺南市七股區玉成里3鄰玉成27號,67,6701500,6701500-011,3鄰,玉成,,,,,,27號,120.13417144778,23.135271720564
臺南市七股區玉成里3鄰玉成28號,67,6701500,6701500-011,3鄰,玉成,,,,,,28號,120.13363870463,23.134773957586
臺南市七股區玉成里3鄰玉成29號,67,6701500,6701500-011,3鄰,玉成,,,,,,29號,120.13385029379,23.135305082811
臺南市七股區玉成里3鄰玉成32號,67,6701500,6701500-011,3鄰,玉成,,,,,,32號,120.13388339011,23.135488029071
臺南市七股區玉成里3鄰玉成33號,67,6701500,6701500-011,3鄰,玉成,,,,,,33號,120.13390359961,23.135533921497
臺南市七股區玉成里3鄰玉成34號,67,6701500,6701500-011,3鄰,玉成,,,,,,34號,120.13391590351,23.135579319001
臺南市七股區玉成里3鄰玉成35號,67,6701500,6701500-011,3鄰,玉成,,,,,,35號,120.13399521681,23.135772271357
臺南市七股區玉成里3鄰玉成36號,67,6701500,6701500-011,3鄰,玉成,,,,,,36號,120.13408269836,23.135739350371
臺南市七股區玉成里3鄰玉成37號,67,6701500,6701500-011,3鄰,玉成,,,,,,37號,120.1341872987,23.135950853406
臺南市七股區玉成里4鄰玉成39號,67,6701500,6701500-011,4鄰,玉成,,,,,,39號,120.13419420171,23.135833773977
臺南市七股區玉成里4鄰玉成40號,67,6701500,6701500-011,4鄰,玉成,,,,,,40號,120.13368866256,23.136025410005
臺南市七股區玉成里4鄰玉成41號,67,6701500,6701500-011,4鄰,玉成,,,,,,41號,120.13432243662,23.136088524312
臺南市七股區玉成里4鄰玉成42號,67,6701500,6701500-011,4鄰,玉成,,,,,,42號,120.13388584706,23.136336849737
臺南市七股區玉成里4鄰玉成43號,67,6701500,6701500-011,4鄰,玉成,,,,,,43號,120.13393969271,23.136572915249
臺南市七股區玉成里4鄰玉成44號,67,6701500,6701500-011,4鄰,玉成,,,,,,44號,120.13384626281,23.136586307986
臺南市七股區玉成里4鄰玉成45號,67,6701500,6701500-011,4鄰,玉成,,,,,,45號,120.13357889684,23.136499416423
臺南市七股區玉成里4鄰玉成46號,67,6701500,6701500-011,4鄰,玉成,,,,,,46號,120.1335885348,23.136275889992
臺南市七股區玉成里4鄰玉成47號,67,6701500,6701500-011,4鄰,玉成,,,,,,47號,120.13348169722,23.136412656085
臺南市七股區玉成里5鄰玉成48號,67,6701500,6701500-011,5鄰,玉成,,,,,,48號,120.13350757249,23.136749874018
臺南市七股區玉成里5鄰玉成49號,67,6701500,6701500-011,5鄰,玉成,,,,,,49號,120.13335504558,23.137025349432
