FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市安南區東和里7鄰環館五路1號,67,6703500,6703500-001,7鄰,環館五路,,,,,,1號,120.23150697365,23.062922317396
臺南市安南區東和里7鄰環館五路3號,67,6703500,6703500-001,7鄰,環館五路,,,,,,3號,120.23147923479,23.062995236014
臺南市安南區東和里7鄰環館五路5號,67,6703500,6703500-001,7鄰,環館五路,,,,,,5號,120.23145404081,23.063066812486
臺南市安南區東和里7鄰環館五路7號,67,6703500,6703500-001,7鄰,環館五路,,,,,,7號,120.23142426885,23.063119674388
臺南市安南區東和里7鄰環館五路9號,67,6703500,6703500-001,7鄰,環館五路,,,,,,9號,120.23139142246,23.063181190227
臺南市安南區東和里7鄰環館五路11號,67,6703500,6703500-001,7鄰,環館五路,,,,,,11號,120.23137245787,23.063238439121
臺南市安南區東和里7鄰環館五路13號,67,6703500,6703500-001,7鄰,環館五路,,,,,,13號,120.23135243777,23.063292522345
臺南市安南區東和里7鄰環館五路15號,67,6703500,6703500-001,7鄰,環館五路,,,,,,15號,120.2313211773,23.063349711432
臺南市安南區東和里7鄰環館五路17號,67,6703500,6703500-001,7鄰,環館五路,,,,,,17號,120.23128981101,23.063408344813
臺南市安南區東和里7鄰環館五路19號,67,6703500,6703500-001,7鄰,環館五路,,,,,,19號,120.23125699731,23.063464081515
臺南市安南區東和里7鄰環館五路21號,67,6703500,6703500-001,7鄰,環館五路,,,,,,21號,120.23124114717,23.063522790353
臺南市安南區東和里7鄰環館五路23號,67,6703500,6703500-001,7鄰,環館五路,,,,,,23號,120.23120367392,23.063574169932
臺南市安南區東和里7鄰環館五路41號,67,6703500,6703500-001,7鄰,環館五路,,,,,,41號,120.23113654702,23.063588833355
臺南市安南區東和里7鄰環館五路43號,67,6703500,6703500-001,7鄰,環館五路,,,,,,43號,120.23110085426,23.063618820239
臺南市安南區東和里7鄰環館五路45號,67,6703500,6703500-001,7鄰,環館五路,,,,,,45號,120.23109757409,23.063663683863
臺南市安南區東和里7鄰環館五路47號,67,6703500,6703500-001,7鄰,環館五路,,,,,,47號,120.23106198044,23.063693400317
臺南市安南區東和里7鄰環館五路49號,67,6703500,6703500-001,7鄰,環館五路,,,,,,49號,120.23105860113,23.063738534359
臺南市安南區東和里7鄰環館五路51號,67,6703500,6703500-001,7鄰,環館五路,,,,,,51號,120.23103906609,23.063775914216
臺南市安南區東和里7鄰環館五路53號,67,6703500,6703500-001,7鄰,環館五路,,,,,,53號,120.23100475436,23.063803289068
臺南市安南區東和里7鄰環館五路55號,67,6703500,6703500-001,7鄰,環館五路,,,,,,55號,120.23100009306,23.063850764696
臺南市安南區東和里7鄰環館五路57號,67,6703500,6703500-001,7鄰,環館五路,,,,,,57號,120.23096380802,23.063881922577
臺南市安南區東和里7鄰環館五路59號,67,6703500,6703500-001,7鄰,環館五路,,,,,,59號,120.23096111998,23.063925615164
臺南市安南區東和里7鄰環館五路61號,67,6703500,6703500-001,7鄰,環館五路,,,,,,61號,120.23092493353,23.063956592913
臺南市安南區東和里7鄰環館五路63號,67,6703500,6703500-001,7鄰,環館五路,,,,,,63號,120.23092214686,23.06400046562
臺南市安南區東和里7鄰環館五路65號,67,6703500,6703500-001,7鄰,環館五路,,,,,,65號,120.23090162562,23.064039646678
臺南市安南區東和里7鄰環館五路111號,67,6703500,6703500-001,7鄰,環館五路,,,,,,111號,120.23021547321,23.065398739725
臺南市安南區東和里7鄰環館五路113號,67,6703500,6703500-001,7鄰,環館五路,,,,,,113號,120.23014669405,23.065497798937
臺南市安南區東和里7鄰環館五路115號,67,6703500,6703500-001,7鄰,環館五路,,,,,,115號,120.23011114067,23.065568340402
臺南市安南區東和里7鄰環館五路117號,67,6703500,6703500-001,7鄰,環館五路,,,,,,117號,120.23008385065,23.065642750875
臺南市安南區東和里7鄰環館五路119號,67,6703500,6703500-001,7鄰,環館五路,,,,,,119號,120.23004414745,23.065717100865
臺南市安南區東和里7鄰環館五路121號,67,6703500,6703500-001,7鄰,環館五路,,,,,,121號,120.22999825935,23.06578760098
臺南市安南區東和里7鄰環館五路161號,67,6703500,6703500-001,7鄰,環館五路,,,,,,161號,120.22965438776,23.066533553566
臺南市安南區東和里7鄰環館五路163號,67,6703500,6703500-001,7鄰,環館五路,,,,,,163號,120.22961094517,23.066690375084
臺南市安南區東和里7鄰環館五路165號,67,6703500,6703500-001,7鄰,環館五路,,,,,,165號,120.229549474,23.066808369601
臺南市安南區東和里7鄰環館五路167號,67,6703500,6703500-001,7鄰,環館五路,,,,,,167號,120.22946480389,23.066921465029
