FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市東區大德里12鄰立德十路66巷1號,67,6703200,6703200-016,12鄰,立德十路,,66巷,,,,1號,120.2154376782,22.977802826082
臺南市東區大德里13鄰立德十路80巷1號,67,6703200,6703200-016,13鄰,立德十路,,80巷,,,,1號,120.21568143606,22.977982107388
臺南市東區大德里20鄰立德十路1巷1號,67,6703200,6703200-016,20鄰,立德十路,,1巷,,,,1號,120.21392681673,22.977832093244
臺南市東區大德里6鄰立德十路30巷1號,67,6703200,6703200-016,6鄰,立德十路,,30巷,,,,1號,120.21466395749,22.977691535449
臺南市東區大德里7鄰立德十路46巷2號,67,6703200,6703200-016,7鄰,立德十路,,46巷,,,,2號,120.21486563669,22.977709511285
臺南市東區大德里5鄰立德十路2號,67,6703200,6703200-016,5鄰,立德十路,,,,,,2號,120.21402202001,22.977660540668
臺南市東區大德里6鄰立德十路30巷2號,67,6703200,6703200-016,6鄰,立德十路,,30巷,,,,2號,120.2145707183,22.977675270661
臺南市東區大德里6鄰立德十路30巷35弄2號,67,6703200,6703200-016,6鄰,立德十路,,30巷,35弄,,,2號,120.2149754574,22.97715144896
臺南市東區大德里20鄰立德十路1巷2號,67,6703200,6703200-016,20鄰,立德十路,,1巷,,,,2號,120.21409042198,22.978042223807
臺南市東區大德里13鄰立德十路80巷2號,67,6703200,6703200-016,13鄰,立德十路,,80巷,,,,2號,120.21557174747,22.977836792903
臺南市東區大德里12鄰立德十路66巷3號,67,6703200,6703200-016,12鄰,立德十路,,66巷,,,,3號,120.21544596456,22.977769636073
臺南市東區大德里14鄰立德十路3號,67,6703200,6703200-016,14鄰,立德十路,,,,,,3號,120.21410549622,22.977948384809
臺南市東區大德里13鄰立德十路80巷3號,67,6703200,6703200-016,13鄰,立德十路,,80巷,,,,3號,120.21569565051,22.977952558767
臺南市東區大德里20鄰立德十路1巷3號,67,6703200,6703200-016,20鄰,立德十路,,1巷,,,,3號,120.2139265681,22.977875075607
臺南市東區大德里6鄰立德十路30巷3號,67,6703200,6703200-016,6鄰,立德十路,,30巷,,,,3號,120.21470257024,22.977692900678
臺南市東區大德里7鄰立德十路46巷3號,67,6703200,6703200-016,7鄰,立德十路,,46巷,,,,3號,120.21499953516,22.977710535683
臺南市東區大德里7鄰立德十路46巷4號,67,6703200,6703200-016,7鄰,立德十路,,46巷,,,,4號,120.21487840522,22.977626406677
臺南市東區大德里6鄰立德十路30巷4號,67,6703200,6703200-016,6鄰,立德十路,,30巷,,,,4號,120.2145341333,22.977660550799
臺南市東區大德里6鄰立德十路30巷35弄4號,67,6703200,6703200-016,6鄰,立德十路,,30巷,35弄,,,4號,120.21500767567,22.977162354422
臺南市東區大德里5鄰立德十路4號,67,6703200,6703200-016,5鄰,立德十路,,,,,,4號,120.21406158552,22.97766579375
臺南市東區大德里13鄰立德十路80巷4號,67,6703200,6703200-016,13鄰,立德十路,,80巷,,,,4號,120.215586431,22.977798631831
臺南市東區大德里13鄰立德十路80巷5號,67,6703200,6703200-016,13鄰,立德十路,,80巷,,,,5號,120.21570386118,22.977915575699
臺南市東區大德里12鄰立德十路66巷5號,67,6703200,6703200-016,12鄰,立德十路,,66巷,,,,5號,120.21548803748,22.977712231834
臺南市東區大德里14鄰立德十路5號,67,6703200,6703200-016,14鄰,立德十路,,,,,,5號,120.21412595072,22.977885455657
臺南市東區大德里20鄰立德十路1巷5號,67,6703200,6703200-016,20鄰,立德十路,,1巷,,,,5號,120.21391596779,22.977920444777
臺南市東區大德里6鄰立德十路30巷5號,67,6703200,6703200-016,6鄰,立德十路,,30巷,,,,5號,120.21474502498,22.977704489023
臺南市東區大德里7鄰立德十路46巷5號,67,6703200,6703200-016,7鄰,立德十路,,46巷,,,,5號,120.21500839692,22.977628405033
臺南市東區大德里7鄰立德十路46巷6號,67,6703200,6703200-016,7鄰,立德十路,,46巷,,,,6號,120.2148849233,22.977561692651
臺南市東區大德里6鄰立德十路30巷6號,67,6703200,6703200-016,6鄰,立德十路,,30巷,,,,6號,120.21448804045,22.977654091566
臺南市東區大德里6鄰立德十路30巷35弄6號,67,6703200,6703200-016,6鄰,立德十路,,30巷,35弄,,,6號,120.21509553772,22.977180849863
臺南市東區大德里5鄰立德十路6號,67,6703200,6703200-016,5鄰,立德十路,,,,,,6號,120.2141031271,22.977666631837
臺南市東區大德里12鄰立德十路66巷6號,67,6703200,6703200-016,12鄰,立德十路,,66巷,,,,6號,120.21531360085,22.977773044432
臺南市東區大德里13鄰立德十路80巷6號,67,6703200,6703200-016,13鄰,立德十路,,80巷,,,,6號,120.21557730653,22.977740486563
臺南市東區大德里13鄰立德十路80巷7號,67,6703200,6703200-016,13鄰,立德十路,,80巷,,,,7號,120.21571009947,22.977882375542
臺南市東區大德里12鄰立德十路66巷7號,67,6703200,6703200-016,12鄰,立德十路,,66巷,,,,7號,120.21548755239,22.97767800509
臺南市東區大德里14鄰立德十路7號,67,6703200,6703200-016,14鄰,立德十路,,,,,,7號,120.21413652903,22.977843879033
臺南市東區大德里20鄰立德十路1巷7號,67,6703200,6703200-016,20鄰,立德十路,,1巷,,,,7號,120.21390279057,22.977972934997
臺南市東區大德里6鄰立德十路30巷7號,67,6703200,6703200-016,6鄰,立德十路,,30巷,,,,7號,120.214793375,22.977708521218
臺南市東區大德里7鄰立德十路46巷7號,67,6703200,6703200-016,7鄰,立德十路,,46巷,,,,7號,120.21502260157,22.977583685741
