FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺南市仁德區太子里24鄰長興五街36巷1號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,1號,120.25480297311,22.992705903511
臺南市仁德區太子里25鄰長興五街14巷9弄1號,67,6702700,6702700-001,25鄰,長興五街,,14巷,9弄,,,1號,120.25486907757,22.992372999646
臺南市仁德區太子里26鄰長興五街14巷2弄1號,67,6702700,6702700-001,26鄰,長興五街,,14巷,2弄,,,1號,120.25505471561,22.991959837435
臺南市仁德區太子里25鄰長興五街14巷1號,67,6702700,6702700-001,25鄰,長興五街,,14巷,,,,1號,120.2547672667,22.992102968962
臺南市仁德區太子里25鄰長興五街14巷9弄1之1號,67,6702700,6702700-001,25鄰,長興五街,,14巷,9弄,,,1之1號,120.25486684554,22.99228205492
臺南市仁德區太子里26鄰長興五街2號,67,6702700,6702700-001,26鄰,長興五街,,,,,,2號,120.2545484743,22.991785882243
臺南市仁德區太子里26鄰長興五街14巷6弄2號,67,6702700,6702700-001,26鄰,長興五街,,14巷,6弄,,,2號,120.25530365027,22.991956492633
臺南市仁德區太子里26鄰長興五街14巷2弄2號,67,6702700,6702700-001,26鄰,長興五街,,14巷,2弄,,,2號,120.25488707733,22.991954533998
臺南市仁德區太子里24鄰長興五街36巷2號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,2號,120.25474490384,22.992555701767
臺南市仁德區太子里24鄰長興五街36巷2之1號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,2之1號,120.25477993278,22.992571154689
臺南市仁德區太子里24鄰長興五街42巷10弄3號,67,6702700,6702700-001,24鄰,長興五街,,42巷,10弄,,,3號,120.25573570161,22.992939176867
臺南市仁德區太子里25鄰長興五街14巷3號,67,6702700,6702700-001,25鄰,長興五街,,14巷,,,,3號,120.25481223049,22.99210318046
臺南市仁德區太子里24鄰長興五街36巷3號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,3號,120.25486658963,22.99271974805
臺南市仁德區太子里25鄰長興五街14巷9弄3號,67,6702700,6702700-001,25鄰,長興五街,,14巷,9弄,,,3號,120.25494017515,22.992353061197
臺南市仁德區太子里26鄰長興五街14巷2弄3號,67,6702700,6702700-001,26鄰,長興五街,,14巷,2弄,,,3號,120.25505854886,22.99190115908
臺南市仁德區太子里26鄰長興五街14巷2弄4號,67,6702700,6702700-001,26鄰,長興五街,,14巷,2弄,,,4號,120.25488894757,22.991898103971
臺南市仁德區太子里26鄰長興五街14巷6弄4號,67,6702700,6702700-001,26鄰,長興五街,,14巷,6弄,,,4號,120.25530376469,22.991900054344
臺南市仁德區太子里26鄰長興五街4號,67,6702700,6702700-001,26鄰,長興五街,,,,,,4號,120.2545523601,22.991824278925
臺南市仁德區太子里24鄰長興五街36巷4號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,4號,120.2548352463,22.992548116923
臺南市仁德區太子里24鄰長興五街36巷5號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,5號,120.25490933196,22.992751554815
臺南市仁德區太子里25鄰長興五街14巷5號,67,6702700,6702700-001,25鄰,長興五街,,14巷,,,,5號,120.25485396322,22.992105634301
臺南市仁德區太子里24鄰長興五街42巷10弄5號,67,6702700,6702700-001,24鄰,長興五街,,42巷,10弄,,,5號,120.25574915652,22.992746183174
臺南市仁德區太子里25鄰長興五街14巷9弄5號,67,6702700,6702700-001,25鄰,長興五街,,14巷,9弄,,,5號,120.2549835852,22.992348479329
臺南市仁德區太子里26鄰長興五街14巷2弄5號,67,6702700,6702700-001,26鄰,長興五街,,14巷,2弄,,,5號,120.25506118691,22.991846990212
臺南市仁德區太子里26鄰長興五街14巷2弄6號,67,6702700,6702700-001,26鄰,長興五街,,14巷,2弄,,,6號,120.2548918783,22.991843936483
臺南市仁德區太子里26鄰長興五街14巷6弄6號,67,6702700,6702700-001,26鄰,長興五街,,14巷,6弄,,,6號,120.25530298892,22.991845869423
臺南市仁德區太子里26鄰長興五街6號,67,6702700,6702700-001,26鄰,長興五街,,,,,,6號,120.25455110133,22.991858136295
臺南市仁德區太子里24鄰長興五街36巷6號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,6號,120.25487362579,22.992557327648
臺南市仁德區太子里24鄰長興五街36巷7號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,7號,120.2549474189,22.992760764147
臺南市仁德區太子里25鄰長興五街14巷7號,67,6702700,6702700-001,25鄰,長興五街,,14巷,,,,7號,120.25490097525,22.992105855407
臺南市仁德區太子里25鄰長興五街14巷9弄7號,67,6702700,6702700-001,25鄰,長興五街,,14巷,9弄,,,7號,120.25502883299,22.992384054411
臺南市仁德區太子里26鄰長興五街14巷2弄7號,67,6702700,6702700-001,26鄰,長興五街,,14巷,2弄,,,7號,120.25506149651,22.991790552842
臺南市仁德區太子里26鄰長興五街14巷2弄8號,67,6702700,6702700-001,26鄰,長興五街,,14巷,2弄,,,8號,120.25489121261,22.991787494527
臺南市仁德區太子里26鄰長興五街14巷6弄8號,67,6702700,6702700-001,26鄰,長興五街,,14巷,6弄,,,8號,120.25530329842,22.991789432049
臺南市仁德區太子里26鄰長興五街8號,67,6702700,6702700-001,26鄰,長興五街,,,,,,8號,120.25455179326,22.991892002844
臺南市仁德區太子里24鄰長興五街36巷8號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,8號,120.25491696722,22.992568819253
臺南市仁德區太子里24鄰長興五街36巷9號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,9號,120.25498983459,22.992763221169
臺南市仁德區太子里25鄰長興五街14巷9弄9號,67,6702700,6702700-001,25鄰,長興五街,,14巷,9弄,,,9號,120.25507840055,22.992384287483
臺南市仁德區太子里24鄰長興五街36巷10號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,10號,120.25497026968,22.992578100137
臺南市仁德區太子里26鄰長興五街10號,67,6702700,6702700-001,26鄰,長興五街,,,,,,10號,120.2545666154,22.99192819343
臺南市仁德區太子里24鄰長興五街36巷11號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,11號,120.25503915055,22.992770225731
臺南市仁德區太子里25鄰長興五街14巷9弄11號,67,6702700,6702700-001,25鄰,長興五街,,14巷,9弄,,,11號,120.25511972185,22.992383524566
臺南市仁德區太子里25鄰長興五街14巷11號,67,6702700,6702700-001,25鄰,長興五街,,14巷,,,,11號,120.25501517364,22.992144770845
臺南市仁德區太子里24鄰長興五街42巷12號,67,6702700,6702700-001,24鄰,長興五街,,42巷,,,,12號,120.25603820175,22.993185885346
臺南市仁德區太子里26鄰長興五街12號,67,6702700,6702700-001,26鄰,長興五街,,,,,,12號,120.25456909854,22.99197335617
臺南市仁德區太子里24鄰長興五街36巷12號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,12號,120.25500786891,22.99258730716
臺南市仁德區太子里24鄰長興五街36巷13號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,13號,120.25508132164,22.992781711789
臺南市仁德區太子里25鄰長興五街14巷13號,67,6702700,6702700-001,25鄰,長興五街,,14巷,,,,13號,120.25505894175,22.992149582058
臺南市仁德區太子里25鄰長興五街14巷9弄13號,67,6702700,6702700-001,25鄰,長興五街,,14巷,9弄,,,13號,120.2551651479,22.992386609747
臺南市仁德區太子里24鄰長興五街36巷14號,67,6702700,6702700-001,24鄰,長興五街,,36巷,,,,14號,120.25504741886,22.992596523348
