FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區福林里17鄰介新街20號,68,6800100,6800100-033,17鄰,介新街,,,,,,20號,121.30668562909,24.977567637856
桃園市桃園區福林里17鄰介新街77號,68,6800100,6800100-033,17鄰,介新街,,,,,,77號,121.30774654705,24.977406369263
桃園市桃園區福林里17鄰介新街79號,68,6800100,6800100-033,17鄰,介新街,,,,,,79號,121.30780610116,24.977336908591
桃園市桃園區福林里17鄰介新街81號,68,6800100,6800100-033,17鄰,介新街,,,,,,81號,121.30782838807,24.977297408722
桃園市桃園區福林里17鄰介新街85號,68,6800100,6800100-033,17鄰,介新街,,,,,,85號,121.30795800445,24.977162167165
桃園市桃園區福林里17鄰介新街87號,68,6800100,6800100-033,17鄰,介新街,,,,,,87號,121.3080235459,24.97707084547
桃園市桃園區福林里17鄰介新街91號,68,6800100,6800100-033,17鄰,介新街,,,,,,91號,121.30821558329,24.976943780575
桃園市桃園區福林里17鄰介新街93號,68,6800100,6800100-033,17鄰,介新街,,,,,,93號,121.30822903329,24.976895722033
桃園市桃園區福林里17鄰介新街95號,68,6800100,6800100-033,17鄰,介新街,,,,,,95號,121.30824646344,24.976854968191
桃園市桃園區福林里17鄰介新街97號,68,6800100,6800100-033,17鄰,介新街,,,,,,97號,121.3082613154,24.976813046004
桃園市桃園區福林里17鄰介新街99號,68,6800100,6800100-033,17鄰,介新街,,,,,,99號,121.30827875184,24.976774820076
桃園市桃園區福林里17鄰介新街103號,68,6800100,6800100-033,17鄰,介新街,,,,,,103號,121.30832593732,24.976710621238
桃園市桃園區福林里17鄰介新街105號,68,6800100,6800100-033,17鄰,介新街,,,,,,105號,121.30835972283,24.976674799086
桃園市桃園區福林里17鄰介新街107號,68,6800100,6800100-033,17鄰,介新街,,,,,,107號,121.30838668026,24.976641519003
桃園市桃園區福林里17鄰介新街109號,68,6800100,6800100-033,17鄰,介新街,,,,,,109號,121.30841363138,24.976605710997
桃園市桃園區福林里17鄰介新街112號,68,6800100,6800100-033,17鄰,介新街,,,,,,112號,121.30835575309,24.976353850303
桃園市桃園區福林里17鄰介新街114號,68,6800100,6800100-033,17鄰,介新街,,,,,,114號,121.30839290951,24.976319375409
桃園市桃園區福林里17鄰介新街114之6號,68,6800100,6800100-033,17鄰,介新街,,,,,,114之6號,121.30839290951,24.976319375409
桃園市桃園區福林里17鄰介新街115號,68,6800100,6800100-033,17鄰,介新街,,,,,,115號,121.30850132213,24.976499536746
桃園市桃園區福林里17鄰介新街117號,68,6800100,6800100-033,17鄰,介新街,,,,,,117號,121.30852827949,24.976466256637
桃園市桃園區福林里17鄰介新街118號,68,6800100,6800100-033,17鄰,介新街,,,,,,118號,121.30840828087,24.975929680975
桃園市桃園區福林里17鄰介新街127號,68,6800100,6800100-033,17鄰,介新街,,,,,,127號,121.30869580587,24.976321365834
桃園市桃園區福林里17鄰介新街129號,68,6800100,6800100-033,17鄰,介新街,,,,,,129號,121.30871348166,24.976299751479
桃園市桃園區福林里17鄰介新街133號,68,6800100,6800100-033,17鄰,介新街,,,,,,133號,121.30881231291,24.97621260371
