FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市龜山區楓樹里4鄰光路281巷12弄1號,68,6800700,6800700-001,4鄰,光路,,281巷,12弄,,,1號,121.34266749376,25.00645967083
桃園市龜山區楓樹里4鄰光路281巷2號,68,6800700,6800700-001,4鄰,光路,,281巷,,,,2號,121.3431917086,25.006431467653
桃園市龜山區楓樹里4鄰光路281巷12弄2號,68,6800700,6800700-001,4鄰,光路,,281巷,12弄,,,2號,121.34284413791,25.006565797347
桃園市龜山區楓樹里4鄰光路260巷2號,68,6800700,6800700-001,4鄰,光路,,260巷,,,,2號,121.34331095685,25.005135545309
桃園市龜山區楓樹里4鄰光路281巷12弄3號,68,6800700,6800700-001,4鄰,光路,,281巷,12弄,,,3號,121.34266523776,25.006503553421
桃園市龜山區楓樹里4鄰光路281巷12弄5號,68,6800700,6800700-001,4鄰,光路,,281巷,12弄,,,5號,121.34266603446,25.00654074806
桃園市龜山區楓樹里4鄰光路281巷12弄6號,68,6800700,6800700-001,4鄰,光路,,281巷,12弄,,,6號,121.34284140457,25.006651843062
桃園市龜山區楓樹里4鄰光路260巷6號,68,6800700,6800700-001,4鄰,光路,,260巷,,,,6號,121.34330010261,25.005079956208
桃園市龜山區楓樹里4鄰光路281巷6號,68,6800700,6800700-001,4鄰,光路,,281巷,,,,6號,121.34311422969,25.006394359652
桃園市龜山區楓樹里4鄰光路281巷6之1號,68,6800700,6800700-001,4鄰,光路,,281巷,,,,6之1號,121.34299771084,25.006640739044
桃園市龜山區楓樹里4鄰光路260巷7號,68,6800700,6800700-001,4鄰,光路,,260巷,,,,7號,121.34351878013,25.005125044103
桃園市龜山區楓樹里4鄰光路281巷12弄7號,68,6800700,6800700-001,4鄰,光路,,281巷,12弄,,,7號,121.34266157807,25.006577142256
桃園市龜山區楓樹里4鄰光路281巷8號,68,6800700,6800700-001,4鄰,光路,,281巷,,,,8號,121.34294395883,25.006407030795
桃園市龜山區楓樹里4鄰光路260巷8號,68,6800700,6800700-001,4鄰,光路,,260巷,,,,8號,121.34329294963,25.00503717871
桃園市龜山區楓樹里4鄰光路281巷8之1號,68,6800700,6800700-001,4鄰,光路,,281巷,,,,8之1號,121.3428970915,25.006511957069
桃園市龜山區楓樹里4鄰光路260巷9號,68,6800700,6800700-001,4鄰,光路,,260巷,,,,9號,121.34351499398,25.005081717144
桃園市龜山區楓樹里4鄰光路281巷12弄9號,68,6800700,6800700-001,4鄰,光路,,281巷,12弄,,,9號,121.34266167876,25.00661343567
桃園市龜山區楓樹里4鄰光路260巷10號,68,6800700,6800700-001,4鄰,光路,,260巷,,,,10號,121.34328809913,25.005002972754
桃園市龜山區楓樹里4鄰光路281巷10號,68,6800700,6800700-001,4鄰,光路,,281巷,,,,10號,121.34285550222,25.006412561406
桃園市龜山區楓樹里4鄰光路281巷12弄11號,68,6800700,6800700-001,4鄰,光路,,281巷,12弄,,,11號,121.34266049176,25.006649822333
桃園市龜山區楓樹里4鄰光路260巷11號,68,6800700,6800700-001,4鄰,光路,,260巷,,,,11號,121.3435101983,25.005031621312
桃園市龜山區楓樹里4鄰光路260巷12號,68,6800700,6800700-001,4鄰,光路,,260巷,,,,12號,121.34328571963,25.004966684594
桃園市龜山區楓樹里4鄰光路281巷12弄13號,68,6800700,6800700-001,4鄰,光路,,281巷,12弄,,,13號,121.3426628889,25.006692520528
桃園市龜山區楓樹里4鄰光路260巷13號,68,6800700,6800700-001,4鄰,光路,,260巷,,,,13號,121.34350534196,25.004995338876
