FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市蘆竹區長興里10鄰厚生路1號,68,6800500,6800500-019,10鄰,厚生路,,,,,,1號,121.27829511214,25.055968604004
桃園市蘆竹區長興里10鄰厚生路2號,68,6800500,6800500-019,10鄰,厚生路,,,,,,2號,121.27778123523,25.055979135943
桃園市蘆竹區長興里10鄰厚生路6號,68,6800500,6800500-019,10鄰,厚生路,,,,,,6號,121.27791132135,25.055737567561
桃園市蘆竹區長興里10鄰厚生路20號,68,6800500,6800500-019,10鄰,厚生路,,,,,,20號,121.27802250592,25.05542119028
桃園市蘆竹區長興里10鄰厚生路29號,68,6800500,6800500-019,10鄰,厚生路,,,,,,29號,121.2785759078,25.056016288424
桃園市蘆竹區長興里10鄰厚生路29之1號,68,6800500,6800500-019,10鄰,厚生路,,,,,,29之1號,121.2786938169,25.055869177661
桃園市蘆竹區長興里10鄰厚生路33號,68,6800500,6800500-019,10鄰,厚生路,,,,,,33號,121.27857296222,25.05554628346
桃園市蘆竹區長興里10鄰厚生路51號,68,6800500,6800500-019,10鄰,厚生路,,,,,,51號,121.27903469011,25.054566574211
桃園市蘆竹區長興里10鄰厚生路53號,68,6800500,6800500-019,10鄰,厚生路,,,,,,53號,121.27910959404,25.054424419141
桃園市蘆竹區長興里10鄰厚生路53之1號,68,6800500,6800500-019,10鄰,厚生路,,,,,,53之1號,121.279179146,25.054282364375
桃園市蘆竹區長興里10鄰厚生路76號,68,6800500,6800500-019,10鄰,厚生路,,,,,,76號,121.27832921201,25.054785930075
桃園市蘆竹區長興里10鄰厚生路78號,68,6800500,6800500-019,10鄰,厚生路,,,,,,78號,121.2781462626,25.054703122638
桃園市蘆竹區長興里16鄰厚生路80號,68,6800500,6800500-019,16鄰,厚生路,,,,,,80號,121.27844960903,25.054599812796
桃園市蘆竹區長興里16鄰厚生路82號,68,6800500,6800500-019,16鄰,厚生路,,,,,,82號,121.2782613076,25.054516925248
桃園市蘆竹區長興里16鄰厚生路84號,68,6800500,6800500-019,16鄰,厚生路,,,,,,84號,121.27856433451,25.054404045828
桃園市蘆竹區長興里16鄰厚生路86號,68,6800500,6800500-019,16鄰,厚生路,,,,,,86號,121.27837075838,25.054311417801
桃園市蘆竹區長興里17鄰厚生路88號,68,6800500,6800500-019,17鄰,厚生路,,,,,,88號,121.27863819788,25.054195986732
桃園市蘆竹區長興里17鄰厚生路90號,68,6800500,6800500-019,17鄰,厚生路,,,,,,90號,121.2784660853,25.05412778511
桃園市蘆竹區長興里17鄰厚生路92號,68,6800500,6800500-019,17鄰,厚生路,,,,,,92號,121.27873693806,25.053987971195
桃園市蘆竹區長興里17鄰厚生路94號,68,6800500,6800500-019,17鄰,厚生路,,,,,,94號,121.2785809918,25.053924614618
桃園市蘆竹區長興里18鄰厚生路96號,68,6800500,6800500-019,18鄰,厚生路,,,,,,96號,121.27895207829,25.053755541321
桃園市蘆竹區長興里18鄰厚生路98號,68,6800500,6800500-019,18鄰,厚生路,,,,,,98號,121.27880146214,25.053682424453
桃園市蘆竹區長興里18鄰厚生路100號,68,6800500,6800500-019,18鄰,厚生路,,,,,,100號,121.27864577269,25.053469469375
桃園市蘆竹區長興里18鄰厚生路102號,68,6800500,6800500-019,18鄰,厚生路,,,,,,102號,121.27862305859,25.053330115822
