FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區寶慶里12鄰同德七街126巷1號,68,6800100,6800100-068,12鄰,同德七街,,126巷,,,,1號,121.2930673934,25.013590137152
桃園市桃園區寶慶里5鄰同德七街1號,68,6800100,6800100-068,5鄰,同德七街,,,,,,1號,121.29471894184,25.01396524869
桃園市桃園區寶慶里6鄰同德七街25巷1號,68,6800100,6800100-068,6鄰,同德七街,,25巷,,,,1號,121.29480226904,25.013799956121
桃園市桃園區寶慶里6鄰同德七街25巷2號,68,6800100,6800100-068,6鄰,同德七街,,25巷,,,,2號,121.29419043912,25.013543229581
桃園市桃園區寶慶里12鄰同德七街126巷2號,68,6800100,6800100-068,12鄰,同德七街,,126巷,,,,2號,121.29319059832,25.013694622449
桃園市桃園區寶慶里9鄰同德七街2號,68,6800100,6800100-068,9鄰,同德七街,,,,,,2號,121.2947817868,25.014226312503
桃園市桃園區寶慶里12鄰同德七街126巷3號,68,6800100,6800100-068,12鄰,同德七街,,126巷,,,,3號,121.29308742281,25.013638399027
桃園市桃園區寶慶里5鄰同德七街3號,68,6800100,6800100-068,5鄰,同德七街,,,,,,3號,121.29467669038,25.013946914715
桃園市桃園區寶慶里6鄰同德七街25巷3號,68,6800100,6800100-068,6鄰,同德七街,,25巷,,,,3號,121.2947667513,25.013780074011
桃園市桃園區寶慶里6鄰同德七街25巷4號,68,6800100,6800100-068,6鄰,同德七街,,25巷,,,,4號,121.2941505292,25.01350954273
桃園市桃園區寶慶里6鄰同德七街25巷5號,68,6800100,6800100-068,6鄰,同德七街,,25巷,,,,5號,121.29473044805,25.013763172786
桃園市桃園區寶慶里5鄰同德七街5號,68,6800100,6800100-068,5鄰,同德七街,,,,,,5號,121.29463444971,25.01393309485
桃園市桃園區寶慶里12鄰同德七街126巷5號,68,6800100,6800100-068,12鄰,同德七街,,126巷,,,,5號,121.29308644374,25.013685077214
桃園市桃園區寶慶里9鄰同德七街6號,68,6800100,6800100-068,9鄰,同德七街,,,,,,6號,121.29474161418,25.014207252163
桃園市桃園區寶慶里6鄰同德七街25巷6號,68,6800100,6800100-068,6鄰,同德七街,,25巷,,,,6號,121.29410600456,25.013493470158
桃園市桃園區寶慶里5鄰同德七街7號,68,6800100,6800100-068,5鄰,同德七街,,,,,,7號,121.29459983465,25.01391781534
桃園市桃園區寶慶里6鄰同德七街25巷7號,68,6800100,6800100-068,6鄰,同德七街,,25巷,,,,7號,121.29469235602,25.013744018024
桃園市桃園區寶慶里12鄰同德七街126巷7號,68,6800100,6800100-068,12鄰,同德七街,,126巷,,,,7號,121.29309211021,25.013734811922
桃園市桃園區寶慶里9鄰同德七街8號,68,6800100,6800100-068,9鄰,同德七街,,,,,,8號,121.29470134636,25.014189817093
桃園市桃園區寶慶里6鄰同德七街25巷8號,68,6800100,6800100-068,6鄰,同德七街,,25巷,,,,8號,121.29406206472,25.013473333687
桃園市桃園區寶慶里6鄰同德七街25巷9號,68,6800100,6800100-068,6鄰,同德七街,,25巷,,,,9號,121.29465011197,25.013728753644
桃園市桃園區寶慶里5鄰同德七街9號,68,6800100,6800100-068,5鄰,同德七街,,,,,,9號,121.2945620506,25.01390317408
桃園市桃園區寶慶里12鄰同德七街126巷9號,68,6800100,6800100-068,12鄰,同德七街,,126巷,,,,9號,121.2930944166,25.013788164568
桃園市桃園區寶慶里9鄰同德七街10號,68,6800100,6800100-068,9鄰,同德七街,,,,,,10號,121.29466197027,25.014172380245
