FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市八德區大湳里29鄰和義街1號,68,6800800,6800800-014,29鄰,和義街,,,,,,1號,121.30698902997,24.95940949208
桃園市八德區大湳里28鄰和義街2號,68,6800800,6800800-014,28鄰,和義街,,,,,,2號,121.30701490936,24.959142560768
桃園市八德區大湳里29鄰和義街3號,68,6800800,6800800-014,29鄰,和義街,,,,,,3號,121.30703329563,24.95940822715
桃園市八德區大湳里29鄰和義街5號,68,6800800,6800800-014,29鄰,和義街,,,,,,5號,121.30707785838,24.959406961594
桃園市八德區大湳里28鄰和義街6號,68,6800800,6800800-014,28鄰,和義街,,,,,,6號,121.30706055581,24.959139035897
桃園市八德區大湳里29鄰和義街7號,68,6800800,6800800-014,29鄰,和義街,,,,,,7號,121.30712351343,24.959406867458
桃園市八德區大湳里28鄰和義街8號,68,6800800,6800800-014,28鄰,和義街,,,,,,8號,121.30711017214,24.959138933599
桃園市八德區大湳里29鄰和義街9號,68,6800800,6800800-014,29鄰,和義街,,,,,,9號,121.30716540516,24.959406781069
桃園市八德區大湳里28鄰和義街10號,68,6800800,6800800-014,28鄰,和義街,,,,,,10號,121.30715969213,24.959139914885
桃園市八德區大湳里31鄰和義街11號,68,6800800,6800800-014,31鄰,和義街,,,,,,11號,121.30741312852,24.959461162327
桃園市八德區大湳里29鄰和義街12號,68,6800800,6800800-014,29鄰,和義街,,,,,,12號,121.30738196921,24.959117066017
桃園市八德區大湳里31鄰和義街13號,68,6800800,6800800-014,31鄰,和義街,,,,,,13號,121.30740501582,24.959384708967
桃園市八德區大湳里31鄰和義街15號,68,6800800,6800800-014,31鄰,和義街,,,,,,15號,121.30748887474,24.959375056098
桃園市八德區大湳里29鄰和義街16號,68,6800800,6800800-014,29鄰,和義街,,,,,,16號,121.30743158508,24.959116783046
桃園市八德區大湳里31鄰和義街17號,68,6800800,6800800-014,31鄰,和義街,,,,,,17號,121.30756343605,24.959370117123
桃園市八德區大湳里29鄰和義街18號,68,6800800,6800800-014,29鄰,和義街,,,,,,18號,121.30747990185,24.959111807999
桃園市八德區大湳里31鄰和義街19號,68,6800800,6800800-014,31鄰,和義街,,,,,,19號,121.30764068318,24.959369957587
桃園市八德區大湳里29鄰和義街20號,68,6800800,6800800-014,29鄰,和義街,,,,,,20號,121.30752564977,24.959109275895
桃園市八德區大湳里31鄰和義街21號,68,6800800,6800800-014,31鄰,和義街,,,,,,21號,121.30741588916,24.959575816643
