FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市大溪區南興里20鄰員東路536巷97號,68,6800300,6800300-021,20鄰,員東路,,536巷,,,,97號,121.25198224711,24.89018882375
桃園市大溪區南興里20鄰員東路536巷99號,68,6800300,6800300-021,20鄰,員東路,,536巷,,,,99號,121.25219012444,24.890295459864
桃園市大溪區南興里17鄰員東路116號,68,6800300,6800300-021,17鄰,員東路,,,,,,116號,121.2628790739,24.884102904271
桃園市大溪區南興里17鄰員東路202號,68,6800300,6800300-021,17鄰,員東路,,,,,,202號,121.26129567985,24.885286245981
桃園市大溪區南興里17鄰員東路206號,68,6800300,6800300-021,17鄰,員東路,,,,,,206號,121.26142063006,24.885447275502
桃園市大溪區南興里20鄰員東路286號,68,6800300,6800300-021,20鄰,員東路,,,,,,286號,121.25815879774,24.885941753516
桃園市大溪區南興里20鄰員東路502號,68,6800300,6800300-021,20鄰,員東路,,,,,,502號,121.25330162117,24.887648961066
桃園市大溪區南興里20鄰員東路522號,68,6800300,6800300-021,20鄰,員東路,,,,,,522號,121.25266384033,24.887617720192
桃園市大溪區南興里20鄰員東路522之1號,68,6800300,6800300-021,20鄰,員東路,,,,,,522之1號,121.25225479024,24.889336528199
桃園市大溪區南興里20鄰員東路550號,68,6800300,6800300-021,20鄰,員東路,,,,,,550號,121.25146681943,24.887482238265
桃園市大溪區南興里20鄰員東路552號,68,6800300,6800300-021,20鄰,員東路,,,,,,552號,121.25141563665,24.88733010461
桃園市大溪區南興里20鄰員東路556號,68,6800300,6800300-021,20鄰,員東路,,,,,,556號,121.25132291381,24.88743760919
桃園市大溪區南興里20鄰員東路558號,68,6800300,6800300-021,20鄰,員東路,,,,,,558號,121.25121318428,24.887358162876
桃園市大溪區南興里20鄰員東路560號,68,6800300,6800300-021,20鄰,員東路,,,,,,560號,121.25111562185,24.887275084624
桃園市大溪區南興里20鄰員東路562號,68,6800300,6800300-021,20鄰,員東路,,,,,,562號,121.25106553559,24.887175494651
桃園市大溪區南興里20鄰員東路566號,68,6800300,6800300-021,20鄰,員東路,,,,,,566號,121.25093251308,24.887471310225
桃園市大溪區瑞源里20鄰員東路485巷12號,68,6800300,6800300-022,20鄰,員東路,,485巷,,,,12號,121.25188460048,24.886942534582
桃園市大溪區瑞源里21鄰員東路16號,68,6800300,6800300-022,21鄰,員東路,,,,,,16號,121.26544089944,24.882641628497
