FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區信義里7鄰嘉興街78巷1號,68,6800200,6800200-037,7鄰,嘉興街,,78巷,,,,1號,121.23428737603,24.950842203951
桃園市中壢區信義里7鄰嘉興街78巷2號,68,6800200,6800200-037,7鄰,嘉興街,,78巷,,,,2號,121.23420559777,24.951009628663
桃園市中壢區信義里7鄰嘉興街78巷2之1號,68,6800200,6800200-037,7鄰,嘉興街,,78巷,,,,2之1號,121.23414287147,24.950987968834
桃園市中壢區信義里7鄰嘉興街78巷3號,68,6800200,6800200-037,7鄰,嘉興街,,78巷,,,,3號,121.23422316437,24.95082054649
桃園市中壢區信義里7鄰嘉興街78巷5號,68,6800200,6800200-037,7鄰,嘉興街,,78巷,,,,5號,121.23417242061,24.950798867833
桃園市中壢區信義里7鄰嘉興街78巷6號,68,6800200,6800200-037,7鄰,嘉興街,,78巷,,,,6號,121.23409360796,24.950963579305
桃園市中壢區信義里20鄰嘉興街6號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,6號,121.23339858483,24.952782265772
桃園市中壢區信義里20鄰嘉興街6之1號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,6之1號,121.23322835845,24.952680782404
桃園市中壢區信義里7鄰嘉興街78巷7號,68,6800200,6800200-037,7鄰,嘉興街,,78巷,,,,7號,121.23411562588,24.95077178163
桃園市中壢區信義里8鄰嘉興街7號,68,6800200,6800200-037,8鄰,嘉興街,,,,,,7號,121.23357727163,24.952906306654
桃園市中壢區信義里7鄰嘉興街78巷8號,68,6800200,6800200-037,7鄰,嘉興街,,78巷,,,,8號,121.23403690435,24.95093233987
桃園市中壢區信義里20鄰嘉興街8號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,8號,121.2334252239,24.952729678795
桃園市中壢區信義里8鄰嘉興街9號,68,6800200,6800200-037,8鄰,嘉興街,,,,,,9號,121.23358906583,24.952858889107
桃園市中壢區信義里20鄰嘉興街10號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,10號,121.23347934886,24.952653484635
桃園市中壢區信義里20鄰嘉興街10之1號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,10之1號,121.23329292864,24.952576945079
桃園市中壢區信義里20鄰嘉興街12號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,12號,121.23350558988,24.952599905144
桃園市中壢區信義里20鄰嘉興街12之1號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,12之1號,121.23334871875,24.952490997695
桃園市中壢區信義里8鄰嘉興街13號,68,6800200,6800200-037,8鄰,嘉興街,,,,,,13號,121.23366683807,24.952666642971
桃園市中壢區信義里20鄰嘉興街14號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,14號,121.23353785791,24.952539003202
桃園市中壢區信義里8鄰嘉興街15號,68,6800200,6800200-037,8鄰,嘉興街,,,,,,15號,121.23368351314,24.952634295173
桃園市中壢區信義里8鄰嘉興街17號,68,6800200,6800200-037,8鄰,嘉興街,,,,,,17號,121.23369652734,24.952603668511
桃園市中壢區信義里8鄰嘉興街19號,68,6800200,6800200-037,8鄰,嘉興街,,,,,,19號,121.2337133079,24.952574751333
桃園市中壢區信義里11鄰嘉興街33號,68,6800200,6800200-037,11鄰,嘉興街,,,,,,33號,121.23392895667,24.95223954981
桃園市中壢區信義里11鄰嘉興街35號,68,6800200,6800200-037,11鄰,嘉興街,,,,,,35號,121.23395314832,24.952202134278
桃園市中壢區信義里11鄰嘉興街37號,68,6800200,6800200-037,11鄰,嘉興街,,,,,,37號,121.23396803748,24.952168073857
桃園市中壢區信義里11鄰嘉興街41號,68,6800200,6800200-037,11鄰,嘉興街,,,,,,41號,121.2339813564,24.952089144793
桃園市中壢區信義里20鄰嘉興街46號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,46號,121.23371749946,24.951857348733
桃園市中壢區信義里20鄰嘉興街48號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,48號,121.23370620962,24.951804640633
桃園市中壢區信義里20鄰嘉興街52號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,52號,121.23376767752,24.951736560396
桃園市中壢區信義里12鄰嘉興街55號,68,6800200,6800200-037,12鄰,嘉興街,,,,,,55號,121.23405679924,24.951817723098
桃園市中壢區信義里20鄰嘉興街56號,68,6800200,6800200-037,20鄰,嘉興街,,,,,,56號,121.23380158592,24.951705449514
桃園市中壢區信義里12鄰嘉興街57號,68,6800200,6800200-037,12鄰,嘉興街,,,,,,57號,121.23407721161,24.951771826794
桃園市中壢區信義里12鄰嘉興街59號,68,6800200,6800200-037,12鄰,嘉興街,,,,,,59號,121.23415907539,24.951649273141
桃園市中壢區信義里12鄰嘉興街61號,68,6800200,6800200-037,12鄰,嘉興街,,,,,,61號,121.23417571161,24.95159652118
桃園市中壢區信義里12鄰嘉興街63號,68,6800200,6800200-037,12鄰,嘉興街,,,,,,63號,121.23420917953,24.95154202736
桃園市中壢區信義里12鄰嘉興街65號,68,6800200,6800200-037,12鄰,嘉興街,,,,,,65號,121.23426117756,24.951389004632
桃園市中壢區信義里7鄰嘉興街66號,68,6800200,6800200-037,7鄰,嘉興街,,,,,,66號,121.23394397105,24.951328290591
桃園市中壢區信義里12鄰嘉興街67號,68,6800200,6800200-037,12鄰,嘉興街,,,,,,67號,121.23428535271,24.951343012096
桃園市中壢區信義里7鄰嘉興街68號,68,6800200,6800200-037,7鄰,嘉興街,,,,,,68號,121.23397437251,24.951275607316
桃園市中壢區信義里8鄰嘉興街70號,68,6800200,6800200-037,8鄰,嘉興街,,,,,,70號,121.23407780118,24.951088376537
桃園市中壢區信義里12鄰嘉興街71號,68,6800200,6800200-037,12鄰,嘉興街,,,,,,71號,121.23436533847,24.951274902489
桃園市中壢區信義里12鄰嘉興街73號,68,6800200,6800200-037,12鄰,嘉興街,,,,,,73號,121.23438765475,24.951240920623
桃園市中壢區信義里12鄰嘉興街75號,68,6800200,6800200-037,12鄰,嘉興街,,,,,,75號,121.23440806998,24.951196649377
桃園市中壢區信義里7鄰嘉興街76號,68,6800200,6800200-037,7鄰,嘉興街,,,,,,76號,121.23426050852,24.951035363533
桃園市中壢區信義里12鄰嘉興街77號,68,6800200,6800200-037,12鄰,嘉興街,,,,,,77號,121.23442484694,24.951166016726
桃園市中壢區信義里7鄰嘉興街80號,68,6800200,6800200-037,7鄰,嘉興街,,,,,,80號,121.23433844528,24.950878869191
桃園市中壢區信義里7鄰嘉興街82號,68,6800200,6800200-037,7鄰,嘉興街,,,,,,82號,121.23435709727,24.950844802808
桃園市中壢區信義里14鄰嘉興街85號,68,6800200,6800200-037,14鄰,嘉興街,,,,,,85號,121.23470009522,24.950615754209
桃園市中壢區信義里14鄰嘉興街87號,68,6800200,6800200-037,14鄰,嘉興街,,,,,,87號,121.2347194584,24.950591256757
桃園市中壢區信義里7鄰嘉興街88號,68,6800200,6800200-037,7鄰,嘉興街,,,,,,88號,121.23439397808,24.950657766758
桃園市中壢區信義里14鄰嘉興街89號,68,6800200,6800200-037,14鄰,嘉興街,,,,,,89號,121.23473433433,24.95055042498
桃園市中壢區信義里7鄰嘉興街100號,68,6800200,6800200-037,7鄰,嘉興街,,,,,,100號,121.23428940262,24.950552479616
桃園市中壢區信義里7鄰嘉興街100之1號,68,6800200,6800200-037,7鄰,嘉興街,,,,,,100之1號,121.23443277491,24.950436690636
