FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區龍鳳里25鄰國強六街1號,68,6800100,6800100-059,25鄰,國強六街,,,,,,1號,121.27958926492,24.987877634846
桃園市桃園區龍鳳里25鄰國強六街3號,68,6800100,6800100-059,25鄰,國強六街,,,,,,3號,121.27956766057,24.987785767056
桃園市桃園區龍鳳里25鄰國強六街5號,68,6800100,6800100-059,25鄰,國強六街,,,,,,5號,121.27941960428,24.987801573845
桃園市桃園區龍鳳里25鄰國強六街7號,68,6800100,6800100-059,25鄰,國強六街,,,,,,7號,121.27935886228,24.987705355622
桃園市桃園區龍鳳里24鄰國強六街8號,68,6800100,6800100-059,24鄰,國強六街,,,,,,8號,121.27948732668,24.988137300466
桃園市桃園區龍鳳里24鄰國強六街10號,68,6800100,6800100-059,24鄰,國強六街,,,,,,10號,121.27941602609,24.988146823817
桃園市桃園區龍鳳里25鄰國強六街11號,68,6800100,6800100-059,25鄰,國強六街,,,,,,11號,121.27918338643,24.987729790557
桃園市桃園區龍鳳里24鄰國強六街12號,68,6800100,6800100-059,24鄰,國強六街,,,,,,12號,121.27935267637,24.988124101081
桃園市桃園區龍鳳里24鄰國強六街14號,68,6800100,6800100-059,24鄰,國強六街,,,,,,14號,121.27926329894,24.988156138827
桃園市桃園區龍鳳里26鄰國強六街15號,68,6800100,6800100-059,26鄰,國強六街,,,,,,15號,121.27904430652,24.987684909766
桃園市桃園區龍鳳里24鄰國強六街16號,68,6800100,6800100-059,24鄰,國強六街,,,,,,16號,121.27919681339,24.988104621543
桃園市桃園區龍鳳里26鄰國強六街17號,68,6800100,6800100-059,26鄰,國強六街,,,,,,17號,121.27896776633,24.987655079215
桃園市桃園區龍鳳里24鄰國強六街18號,68,6800100,6800100-059,24鄰,國強六街,,,,,,18號,121.2790669218,24.988093128353
桃園市桃園區龍鳳里24鄰國強六街20號,68,6800100,6800100-059,24鄰,國強六街,,,,,,20號,121.27900152722,24.988042150635
桃園市桃園區龍鳳里24鄰國強六街28號,68,6800100,6800100-059,24鄰,國強六街,,,,,,28號,121.27888134571,24.987987754519
桃園市桃園區龍鳳里24鄰國強六街30號,68,6800100,6800100-059,24鄰,國強六街,,,,,,30號,121.27884853215,24.987932652924
桃園市桃園區龍鳳里24鄰國強六街32號,68,6800100,6800100-059,24鄰,國強六街,,,,,,32號,121.2787861722,24.987821631039
