FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區龍安里10鄰國強十街90巷15號,68,6800100,6800100-060,10鄰,國強十街,,90巷,,,,15號,121.27792339738,24.991620558901
桃園市桃園區龍安里10鄰國強十街90巷17號,68,6800100,6800100-060,10鄰,國強十街,,90巷,,,,17號,121.27790771917,24.9916528193
桃園市桃園區龍安里10鄰國強十街96號,68,6800100,6800100-060,10鄰,國強十街,,,,,,96號,121.27808245807,24.991342279627
桃園市桃園區龍安里10鄰國強十街98號,68,6800100,6800100-060,10鄰,國強十街,,,,,,98號,121.27800208862,24.991328526181
桃園市桃園區龍安里10鄰國強十街100號,68,6800100,6800100-060,10鄰,國強十街,,,,,,100號,121.27791465624,24.991301604529
桃園市桃園區龍安里10鄰國強十街106號,68,6800100,6800100-060,10鄰,國強十街,,,,,,106號,121.27774077814,24.991245953565
桃園市桃園區龍安里10鄰國強十街108號,68,6800100,6800100-060,10鄰,國強十街,,,,,,108號,121.27770968779,24.991208453761
桃園市桃園區龍安里10鄰國強十街109號,68,6800100,6800100-060,10鄰,國強十街,,,,,,109號,121.27781669061,24.990951578749
桃園市桃園區龍安里10鄰國強十街110號,68,6800100,6800100-060,10鄰,國強十街,,,,,,110號,121.27766804971,24.991193995862
桃園市桃園區龍安里10鄰國強十街112號,68,6800100,6800100-060,10鄰,國強十街,,,,,,112號,121.27762150667,24.991200944232
桃園市桃園區龍安里10鄰國強十街113號,68,6800100,6800100-060,10鄰,國強十街,,,,,,113號,121.27766409664,24.990977684574
桃園市桃園區龍安里10鄰國強十街114號,68,6800100,6800100-060,10鄰,國強十街,,,,,,114號,121.27755539619,24.991184545725
桃園市桃園區龍安里10鄰國強十街115號,68,6800100,6800100-060,10鄰,國強十街,,,,,,115號,121.27760339109,24.990986013613
桃園市桃園區龍安里10鄰國強十街116號,68,6800100,6800100-060,10鄰,國強十街,,,,,,116號,121.27752168521,24.991171066114
桃園市桃園區龍安里10鄰國強十街117號,68,6800100,6800100-060,10鄰,國強十街,,,,,,117號,121.27756137462,24.990935352805
桃園市桃園區龍安里10鄰國強十街118號,68,6800100,6800100-060,10鄰,國強十街,,,,,,118號,121.27746874656,24.991153198471
桃園市桃園區龍安里10鄰國強十街119號,68,6800100,6800100-060,10鄰,國強十街,,,,,,119號,121.27750963655,24.990922719364
桃園市桃園區龍安里10鄰國強十街120號,68,6800100,6800100-060,10鄰,國強十街,,,,,,120號,121.27742690169,24.991134858709
桃園市桃園區龍安里10鄰國強十街121號,68,6800100,6800100-060,10鄰,國強十街,,,,,,121號,121.27744478406,24.99093710505
桃園市桃園區龍安里10鄰國強十街122號,68,6800100,6800100-060,10鄰,國強十街,,,,,,122號,121.27736276681,24.991115928503
桃園市桃園區龍安里10鄰國強十街123號,68,6800100,6800100-060,10鄰,國強十街,,,,,,123號,121.27738760334,24.990882861135
桃園市桃園區龍安里10鄰國強十街124號,68,6800100,6800100-060,10鄰,國強十街,,,,,,124號,121.27732488722,24.991098845287
